EntryName,Status,Week_1,Week_2,Planner,Contrarian,EV Hunter,Sprinter,Hoarder,Tourist,Picks_Used,Primary_Archetype,Archetype_Mix,Confidence
0Money0-1,Alive,JAC,SF,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
101-Ways-1,Eliminated,PIT,TB,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
10-4goodbuddy-1,Alive,DET,SF,80.7,12.5,96.9,93.8,23.4,23.4,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
10--FOR-THE-BIG-GUY-1,Eliminated,DET,TB,80.7,12.5,96.9,93.8,23.4,23.4,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
13LUCKY-1,Eliminated,JAC,LAC,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
13LUCKY-2,Alive,PIT,SF,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
13LUCKY-3,Eliminated,LV,TB,46.7,9.4,71.9,78.1,63.5,39.1,1,Sprinter,Sprinter (78) / EV Hunter (72) / Hoarder (64),Low
16th_Floor-1,Eliminated,LV,LAC,46.7,9.4,71.9,78.1,63.5,39.1,1,Sprinter,Sprinter (78) / EV Hunter (72) / Hoarder (64),Low
16th_Floor-2,Eliminated,PIT,TB,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
17billsmafia-1,Alive,PIT,BUF,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
17chuckstump-1,Alive,BAL,SF,91.2,37.5,65.6,65.6,16.4,65.6,1,Planner,Planner (91),Low
17rjakubik-1,Eliminated,JAC,TB,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
1958lou-2,Eliminated,JAC,BAL,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
1abe-1,Eliminated,JAC,TB,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
1calloway-1,Eliminated,PIT,TB,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
1calloway-2,Alive,JAC,NE,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
1calloway-3,Alive,JAC,SF,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
1calloway-4,Alive,LV,SF,46.7,9.4,71.9,78.1,63.5,39.1,1,Sprinter,Sprinter (78) / EV Hunter (72) / Hoarder (64),Low
1calloway-5,Eliminated,LV,TB,46.7,9.4,71.9,78.1,63.5,39.1,1,Sprinter,Sprinter (78) / EV Hunter (72) / Hoarder (64),Low
1Rona-1,Eliminated,LV,TB,46.7,9.4,71.9,78.1,63.5,39.1,1,Sprinter,Sprinter (78) / EV Hunter (72) / Hoarder (64),Low
20short-1,Eliminated,LV,LAC,46.7,9.4,71.9,78.1,63.5,39.1,1,Sprinter,Sprinter (78) / EV Hunter (72) / Hoarder (64),Low
20short-2,Eliminated,JAC,BAL,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
20short-3,Alive,PIT,DAL,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
21Mill-1,Alive,DET,SF,80.7,12.5,96.9,93.8,23.4,23.4,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
2baconneggs-1,Eliminated,JAC,TB,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
2livebrew-1,Eliminated,PIT,LAC,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
305Player-1,Alive,JAC,SF,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
305Player-3,Alive,JAC,SF,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
