timestamp,model_label,target_col,n_features,features,n_train_rows,n_val_rows,mae_ratio_scale,mae_pct_points,mean_weekly_spearman
2026-09-25T22:20:22.810348,circa_pick_pct_model_9,Pick %,17,Team_FV_RelativeToWeekMean;Star Rating Rank;FV_Rank_Density;Team_FV_RelativeToTopTeam;Future Value (Stars);Team_80_RelativeToWeekMean;Availability_Rank;Future_Weeks_Over_80;Holiday_Lookahead_Strength;Pre Thanksgiving;Pre Christmas;christmas_week;thanksgiving_week;Christmas_WinPct_Lookahead;Thanksgiving_WinPct_Lookahead;Weeks_To_Christmas;Weeks_To_Thanksgiving,2760,480,1.17513,0.00196,0.2844
2026-09-25T22:20:39.484392,circa_pick_pct_model_7,Pick %,16,Team_FV_RelativeToWeekMean;Team_WinPct_RelativeToWeekMean;Win %;Rank_Density;Team_WinPct_RelativeToTopTeam;Win % Rank;FV_Rank_Density;Pre Thanksgiving;Pre Christmas;christmas_week;thanksgiving_week;Christmas_WinPct_Lookahead;Thanksgiving_WinPct_Lookahead;Weeks_To_Christmas;Weeks_To_Thanksgiving;Holiday_Lookahead_Strength,2760,480,1.05808,0.00083,0.6287
