EV,Win %,Pick %,Team,Opponent,Future Value (Stars),Year,Week
1.07,79.8%,26.8%,LAC,ARI,2.0,2026,Week 1
1.07,78.5%,22.8%,JAX,CLE,1.0,2026,Week 1
1.05,73.9%,12.6%,DET,NO,3.5,2026,Week 1
1.04,71.8%,7.7%,PIT,ATL,1.0,2026,Week 1
1.03,69.5%,3.4%,PHI,WSH,2.5,2026,Week 1
0.96,63.9%,1.2%,CIN,TB,2.5,2026,Week 1
0.96,64.1%,1.8%,LAR,()S,5.0,2026,Week 1
0.92,61.2%,2.0%,SEA,NE,3.5,2026,Week 1
0.91,60.9%,1.9%,DAL,NYG,2.0,2026,Week 1
0.89,59.3%,1.6%,BAL,IND,4.0,2026,Week 1
0.88,59.3%,3.1%,CHI,CAR,2.5,2026,Week 1
0.88,59.9%,4.9%,LV,MIA,0.0,2026,Week 1
0.85,56.2%,0.4%,MIN,GB,1.5,2026,Week 1
0.81,53.7%,0.9%,KC,DEN,4.0,2026,Week 1
0.77,51.8%,2.6%,TEN,NYJ,0.0,2026,Week 1
0.77,51.2%,1.1%,BUF,HOU,3.0,2026,Week 1
0.74,48.8%,0.2%,HOU,BUF,1.5,2026,Week 1
0.74,48.2%,0.9%,NYJ,TEN,0.5,2026,Week 1
0.70,46.3%,1.1%,DEN,KC,2.0,2026,Week 1
0.66,43.8%,0.5%,GB,MIN,3.0,2026,Week 1
0.63,40.1%,0.4%,MIA,LV,0.0,2026,Week 1
0.63,40.7%,0.2%,CAR,CHI,0.5,2026,Week 1
0.62,40.7%,0.2%,IND,BAL,1.0,2026,Week 1
0.60,39.1%,0.3%,NYG,DAL,1.0,2026,Week 1
0.60,38.8%,0.4%,NE,SEA,3.5,2026,Week 1
0.55,35.9%,0.3%,SF,()L,5.0,2026,Week 1
0.55,36.1%,0.3%,TB,CIN,1.5,2026,Week 1
0.48,30.5%,0.1%,WSH,PHI,0.5,2026,Week 1
0.47,28.2%,0.2%,ATL,PIT,0.0,2026,Week 1
0.46,26.1%,0.1%,NO,DET,1.0,2026,Week 1
0.44,21.5%,0.1%,CLE,JAX,0.0,2026,Week 1
0.44,20.2%,0.1%,ARI,LAC,0.0,2026,Week 1
1.13,87.4%,29.3%,SF,MIA,3.5,2026,Week 2
1.06,77.3%,7.1%,BAL,NO,3.5,2026,Week 2
1.01,72.7%,2.9%,LAC,LV,1.5,2026,Week 2
1.00,71.8%,1.5%,LAR,NYG,5.0,2026,Week 2
0.98,74.0%,12.5%,PHI,TEN,2.5,2026,Week 2
0.98,70.7%,2.9%,KC,IND,4.5,2026,Week 2
0.96,68.4%,1.4%,BUF,DET,4.0,2026,Week 2
0.95,77.4%,29.5%,TB,CLE,1.0,2026,Week 2
0.93,66.4%,1.0%,NE,PIT,3.5,2026,Week 2
0.92,65.8%,1.5%,CHI,MIN,2.0,2026,Week 2
0.92,65.6%,1.2%,DAL,WSH,2.0,2026,Week 2
0.91,64.9%,1.4%,SEA,ARI,4.0,2026,Week 2
0.83,60.2%,3.0%,GB,NYJ,3.0,2026,Week 2
0.81,57.9%,0.4%,HOU,CIN,1.5,2026,Week 2
0.80,57.0%,0.2%,DEN,JAX,2.5,2026,Week 2
0.77,55.8%,2.8%,CAR,ATL,0.5,2026,Week 2
0.64,44.2%,0.2%,ATL,CAR,0.0,2026,Week 2
0.61,43.0%,0.2%,JAX,DEN,1.0,2026,Week 2
0.59,42.1%,0.2%,CIN,HOU,3.0,2026,Week 2
0.58,39.8%,0.1%,NYJ,GB,0.5,2026,Week 2
0.50,35.1%,0.1%,ARI,SEA,0.0,2026,Week 2
0.49,34.4%,0.1%,WSH,DAL,0.5,2026,Week 2
0.49,34.2%,0.1%,MIN,CHI,1.5,2026,Week 2
0.48,33.6%,0.1%,PIT,NE,1.0,2026,Week 2
0.46,22.6%,0.0%,CLE,TB,0.0,2026,Week 2
0.45,31.6%,0.1%,DET,BUF,4.0,2026,Week 2
0.43,29.3%,0.0%,IND,KC,1.0,2026,Week 2
0.43,26.0%,0.0%,TEN,PHI,0.0,2026,Week 2
0.40,28.2%,0.2%,NYG,LAR,1.5,2026,Week 2
0.40,27.3%,0.1%,LV,LAC,0.0,2026,Week 2
0.35,22.7%,0.0%,NO,BAL,1.0,2026,Week 2
0.28,12.6%,0.0%,MIA,SF,0.0,2026,Week 2
1.08,77.4%,8.3%,SF,ARI,2.5,2026,Week 3
1.05,84.2%,39.9%,KC,MIA,2.5,2026,Week 3
1.04,74.6%,7.5%,BUF,LAC,4.0,2026,Week 3
1.02,73.3%,9.0%,SEA,WSH,3.5,2026,Week 3
1.00,72.4%,9.0%,DET,NYJ,3.0,2026,Week 3
0.96,67.0%,1.9%,PHI,CHI,2.0,2026,Week 3
0.94,69.5%,13.1%,GB,ATL,1.5,2026,Week 3
0.90,62.8%,1.7%,CIN,PIT,3.0,2026,Week 3
0.89,61.6%,0.2%,BAL,()D,5.0,2026,Week 3
0.89,61.6%,1.5%,NO,LV,1.0,2026,Week 3
0.85,58.2%,0.2%,JAX,NE,1.0,2026,Week 3
0.83,57.2%,0.4%,HOU,IND,2.0,2026,Week 3
0.82,57.1%,1.7%,NYG,TEN,0.5,2026,Week 3
0.82,56.3%,0.2%,LAR,DEN,5.0,2026,Week 3
0.82,57.9%,3.9%,CAR,CLE,0.0,2026,Week 3
0.76,52.8%,0.5%,MIN,TB,2.5,2026,Week 3
0.69,47.2%,0.1%,TB,MIN,0.5,2026,Week 3
0.64,42.1%,0.1%,CLE,CAR,0.0,2026,Week 3
0.63,43.7%,0.0%,DEN,LAR,2.0,2026,Week 3
0.63,42.9%,0.3%,TEN,NYG,0.0,2026,Week 3
0.62,42.8%,0.2%,IND,HOU,1.5,2026,Week 3
0.61,41.8%,0.1%,NE,JAX,2.5,2026,Week 3
0.57,38.4%,0.2%,LV,NO,0.0,2026,Week 3
0.56,38.4%,0.1%,DAL,()B,1.5,2026,Week 3
0.55,37.2%,0.0%,PIT,CIN,0.5,2026,Week 3
0.52,30.5%,0.1%,ATL,GB,0.0,2026,Week 3
0.49,33.0%,0.0%,CHI,PHI,1.0,2026,Week 3
