EV,Win %,Pick %,Team,Opponent,Future Value (Stars),Year,Week
1.06,79.1%,34.6%,BAL,HOU,3.0,2023,Week 1
1.03,65.3%,4.8%,SEA,LAR,2.0,2023,Week 1
1.02,64.6%,4.6%,KC,DET,5.0,2023,Week 1
1.00,62.5%,2.0%,ATL,CAR,1.5,2023,Week 1
1.00,62.8%,2.5%,PHI,NE,5.0,2023,Week 1
0.98,72.5%,27.1%,WAS,ARI,0.0,2023,Week 1
0.98,60.4%,0.6%,DAL,NYG,4.0,2023,Week 1
0.98,63.2%,6.2%,JAX,IND,3.0,2023,Week 1
0.98,60.0%,0.4%,LAC,MIA,2.0,2023,Week 1
0.98,65.2%,10.4%,MIN,TB,1.0,2023,Week 1
0.97,59.9%,0.8%,DEN,LV,1.0,2023,Week 1
0.94,58.2%,0.6%,NO,TEN,2.5,2023,Week 1
0.90,55.5%,0.7%,BUF,NYJ,4.5,2023,Week 1
0.88,53.9%,0.7%,SF,PIT,5.0,2023,Week 1
0.86,52.8%,0.8%,CHI,GB,0.5,2023,Week 1
0.82,49.5%,0.1%,CLE,CIN,2.5,2023,Week 1
0.82,50.5%,1.0%,CIN,CLE,4.5,2023,Week 1
0.77,47.2%,0.2%,GB,CHI,1.0,2023,Week 1
0.76,46.1%,0.2%,PIT,SF,2.0,2023,Week 1
0.73,44.5%,0.3%,NYJ,BUF,2.5,2023,Week 1
0.69,41.8%,0.1%,TEN,NO,0.5,2023,Week 1
0.66,40.1%,0.3%,LV,DEN,0.5,2023,Week 1
0.65,34.8%,0.1%,TB,MIN,0.5,2023,Week 1
0.65,40.0%,0.1%,MIA,LAC,3.0,2023,Week 1
0.65,36.8%,0.0%,IND,JAX,0.5,2023,Week 1
0.65,39.6%,0.1%,NYG,DAL,1.0,2023,Week 1
0.65,27.5%,0.1%,ARI,WAS,0.0,2023,Week 1
0.63,37.2%,0.0%,NE,PHI,0.5,2023,Week 1
0.63,37.5%,0.1%,CAR,ATL,0.5,2023,Week 1
0.62,35.4%,0.2%,DET,KC,3.5,2023,Week 1
0.61,34.7%,0.1%,LAR,SEA,0.5,2023,Week 1
0.58,20.9%,0.1%,HOU,BAL,0.0,2023,Week 1
1.10,73.6%,9.2%,SF,LAR,5.0,2023,Week 2
1.05,69.1%,5.8%,PHI,MIN,4.5,2023,Week 2
1.05,75.3%,22.6%,DAL,NYJ,4.0,2023,Week 2
1.02,75.4%,28.0%,BUF,LV,4.0,2023,Week 2
1.00,66.2%,6.0%,DET,SEA,3.0,2023,Week 2
0.99,64.0%,2.3%,DEN,WAS,0.5,2023,Week 2
0.95,60.4%,0.3%,CIN,BAL,4.0,2023,Week 2
0.95,61.6%,3.2%,NO,CAR,2.5,2023,Week 2
0.93,59.3%,0.9%,KC,JAX,5.0,2023,Week 2
0.93,64.6%,13.2%,NYG,ARI,0.5,2023,Week 2
0.92,58.2%,0.2%,ATL,GB,2.0,2023,Week 2
0.89,57.1%,1.6%,LAC,TEN,2.0,2023,Week 2
0.88,56.2%,0.9%,CLE,PIT,2.5,2023,Week 2
0.86,55.1%,1.7%,TB,CHI,0.5,2023,Week 2
0.83,52.9%,1.2%,MIA,NE,3.5,2023,Week 2
0.79,50.3%,0.9%,IND,HOU,0.0,2023,Week 2
0.79,49.7%,0.2%,HOU,IND,0.0,2023,Week 2
0.75,47.1%,0.1%,NE,MIA,1.0,2023,Week 2
0.72,44.9%,0.1%,CHI,TB,0.5,2023,Week 2
0.70,43.8%,0.1%,PIT,CLE,1.5,2023,Week 2
0.69,42.9%,0.0%,TEN,LAC,1.0,2023,Week 2
0.66,41.8%,0.7%,GB,ATL,1.0,2023,Week 2
0.65,35.4%,0.1%,ARI,NYG,0.0,2023,Week 2
0.65,40.7%,0.0%,JAX,KC,3.0,2023,Week 2
0.63,38.4%,0.0%,CAR,NO,0.5,2023,Week 2
0.63,39.6%,0.1%,BAL,CIN,3.0,2023,Week 2
0.58,36.0%,0.1%,WAS,DEN,0.0,2023,Week 2
0.57,33.8%,0.0%,SEA,DET,2.0,2023,Week 2
0.56,24.6%,0.0%,LV,BUF,0.5,2023,Week 2
0.53,24.7%,0.0%,NYJ,DAL,1.5,2023,Week 2
0.53,30.9%,0.0%,MIN,PHI,1.0,2023,Week 2
0.47,26.4%,0.0%,LAR,SF,1.0,2023,Week 2
1.07,83.8%,23.3%,KC,CHI,5.0,2023,Week 3
1.07,82.0%,16.6%,DAL,ARI,3.5,2023,Week 3
1.05,80.8%,16.0%,SF,NYG,4.5,2023,Week 3
1.01,75.3%,5.1%,BAL,IND,3.0,2023,Week 3
0.95,69.2%,0.5%,PHI,TB,4.0,2023,Week 3
0.95,75.9%,22.0%,JAX,HOU,2.5,2023,Week 3
0.93,69.7%,4.9%,MIA,DEN,3.5,2023,Week 3
0.93,67.8%,1.0%,BUF,WAS,3.5,2023,Week 3
0.87,65.5%,7.1%,SEA,CAR,1.5,2023,Week 3
0.85,62.1%,0.2%,CLE,TEN,3.0,2023,Week 3
0.84,61.2%,0.8%,DET,ATL,3.0,2023,Week 3
0.83,60.4%,0.1%,CIN,LAR,3.5,2023,Week 3
0.82,59.7%,0.2%,LV,PIT,0.5,2023,Week 3
0.75,55.3%,1.0%,NE,NYJ,0.5,2023,Week 3
0.73,53.2%,0.1%,NO,GB,3.0,2023,Week 3
0.70,51.3%,0.2%,MIN,LAC,1.0,2023,Week 3
0.67,48.7%,0.1%,LAC,MIN,2.0,2023,Week 3
0.64,46.8%,0.1%,GB,NO,1.5,2023,Week 3
0.62,44.7%,0.1%,NYJ,NE,1.0,2023,Week 3
0.55,40.3%,0.1%,PIT,LV,2.0,2023,Week 3
0.54,39.6%,0.1%,LAR,CIN,1.0,2023,Week 3
0.54,38.8%,0.0%,ATL,DET,2.5,2023,Week 3
0.52,37.9%,0.1%,TEN,CLE,1.5,2023,Week 3
0.51,34.5%,0.0%,CAR,SEA,0.5,2023,Week 3
0.45,32.2%,0.0%,WAS,BUF,0.5,2023,Week 3
0.44,30.3%,0.0%,DEN,MIA,1.0,2023,Week 3
0.43,24.1%,0.0%,HOU,JAX,0.0,2023,Week 3
0.43,30.8%,0.0%,TB,PHI,0.5,2023,Week 3
0.36,24.7%,0.0%,IND,BAL,0.5,2023,Week 3
0.32,19.2%,0.0%,NYG,SF,0.0,2023,Week 3
0.31,18.0%,0.0%,ARI,DAL,0.0,2023,Week 3
0.31,16.2%,0.0%,CHI,KC,0.5,2023,Week 3
