EV,Win %,Pick %,Team,Opponent,Future Value (Stars),Year,Week
1.14,78.0%,9.9%,KC,HOU,5.0,2020,Week 1
1.10,74.7%,5.8%,NE,MIA,1.5,2020,Week 1
1.07,72.5%,6.3%,SF,ARI,3.5,2020,Week 1
1.03,73.2%,14.3%,BAL,CLE,4.5,2020,Week 1
1.02,69.1%,5.6%,PIT,NYG,2.5,2020,Week 1
0.99,72.9%,20.9%,IND,JAX,2.0,2020,Week 1
0.98,71.6%,19.0%,BUF,NYJ,2.0,2020,Week 1
0.98,64.6%,0.6%,NO,TB,3.5,2020,Week 1
0.97,67.3%,8.7%,PHI,WAS,1.5,2020,Week 1
0.92,61.3%,1.4%,TEN,DEN,2.0,2020,Week 1
0.87,57.6%,0.9%,LV,CAR,0.5,2020,Week 1
0.86,57.4%,1.3%,LAC,CIN,1.5,2020,Week 1
0.84,55.4%,1.1%,DET,CHI,0.5,2020,Week 1
0.80,53.1%,0.2%,MIN,GB,2.0,2020,Week 1
0.78,51.3%,0.2%,ATL,SEA,1.0,2020,Week 1
0.76,50.2%,0.1%,LAR,DAL,1.5,2020,Week 1
0.75,49.8%,0.5%,DAL,LAR,3.0,2020,Week 1
0.73,48.7%,1.0%,SEA,ATL,2.5,2020,Week 1
0.71,46.9%,0.2%,GB,MIN,2.0,2020,Week 1
0.68,44.6%,0.3%,CHI,DET,1.0,2020,Week 1
0.65,42.6%,0.3%,CIN,LAC,0.0,2020,Week 1
0.65,42.4%,0.3%,CAR,LV,0.0,2020,Week 1
0.59,38.7%,0.2%,DEN,TEN,0.5,2020,Week 1
0.55,32.7%,0.1%,WAS,PHI,0.0,2020,Week 1
0.54,35.4%,0.2%,TB,NO,3.0,2020,Week 1
0.54,28.4%,0.1%,NYJ,BUF,0.5,2020,Week 1
0.53,27.1%,0.2%,JAX,IND,0.0,2020,Week 1
0.50,30.9%,0.1%,NYG,PIT,0.5,2020,Week 1
0.48,26.8%,0.0%,CLE,BAL,1.5,2020,Week 1
0.45,27.5%,0.1%,ARI,SF,1.0,2020,Week 1
0.41,25.3%,0.1%,MIA,NE,0.5,2020,Week 1
0.38,22.0%,0.2%,HOU,KC,1.0,2020,Week 1
1.10,75.0%,2.1%,BAL,HOU,5.0,2020,Week 2
1.09,76.3%,8.8%,KC,LAC,5.0,2020,Week 2
1.05,75.0%,10.9%,TB,CAR,2.5,2020,Week 2
1.05,73.9%,8.7%,ARI,WAS,1.5,2020,Week 2
1.01,72.9%,13.1%,TEN,JAX,2.0,2020,Week 2
1.00,68.7%,2.8%,CLE,CIN,1.0,2020,Week 2
0.99,71.8%,12.7%,GB,DET,2.5,2020,Week 2
0.99,70.2%,9.2%,PIT,DEN,2.5,2020,Week 2
0.99,67.6%,2.0%,CHI,NYG,0.5,2020,Week 2
0.98,68.5%,5.3%,BUF,MIA,1.5,2020,Week 2
0.98,72.6%,18.5%,SF,NYJ,2.5,2020,Week 2
