EV,Win %,Pick %,Team,Opponent,Future Value (Stars),Year,Week
1.14,78.0%,9.9%,KC,HOU,5.0,2020,1
1.10,74.7%,5.8%,NE,MIA,1.5,2020,1
1.07,72.5%,6.3%,SF,ARI,3.5,2020,1
1.03,73.2%,14.3%,BAL,CLE,4.5,2020,1
1.02,69.1%,5.6%,PIT,NYG,2.5,2020,1
0.99,72.9%,20.9%,IND,JAX,2.0,2020,1
0.98,71.6%,19.0%,BUF,NYJ,2.0,2020,1
0.98,64.6%,0.6%,NO,TB,3.5,2020,1
0.97,67.3%,8.7%,PHI,WAS,1.5,2020,1
0.92,61.3%,1.4%,TEN,DEN,2.0,2020,1
0.87,57.6%,0.9%,LV,CAR,0.5,2020,1
0.86,57.4%,1.3%,LAC,CIN,1.5,2020,1
0.84,55.4%,1.1%,DET,CHI,0.5,2020,1
0.80,53.1%,0.2%,MIN,GB,2.0,2020,1
0.78,51.3%,0.2%,ATL,SEA,1.0,2020,1
0.76,50.2%,0.1%,LAR,DAL,1.5,2020,1
0.75,49.8%,0.5%,DAL,LAR,3.0,2020,1
0.73,48.7%,1.0%,SEA,ATL,2.5,2020,1
0.71,46.9%,0.2%,GB,MIN,2.0,2020,1
0.68,44.6%,0.3%,CHI,DET,1.0,2020,1
0.65,42.6%,0.3%,CIN,LAC,0.0,2020,1
0.65,42.4%,0.3%,CAR,LV,0.0,2020,1
0.59,38.7%,0.2%,DEN,TEN,0.5,2020,1
0.55,32.7%,0.1%,WAS,PHI,0.0,2020,1
0.54,35.4%,0.2%,TB,NO,3.0,2020,1
0.54,28.4%,0.1%,NYJ,BUF,0.5,2020,1
0.53,27.1%,0.2%,JAX,IND,0.0,2020,1
0.50,30.9%,0.1%,NYG,PIT,0.5,2020,1
0.48,26.8%,0.0%,CLE,BAL,1.5,2020,1
0.45,27.5%,0.1%,ARI,SF,1.0,2020,1
0.41,25.3%,0.1%,MIA,NE,0.5,2020,1
0.38,22.0%,0.2%,HOU,KC,1.0,2020,1
1.10,75.0%,2.1%,BAL,HOU,5.0,2020,2
1.09,76.3%,8.8%,KC,LAC,5.0,2020,2
1.05,75.0%,10.9%,TB,CAR,2.5,2020,2
1.05,73.9%,8.7%,ARI,WAS,1.5,2020,2
1.01,72.9%,13.1%,TEN,JAX,2.0,2020,2
1.00,68.7%,2.8%,CLE,CIN,1.0,2020,2
0.99,71.8%,12.7%,GB,DET,2.5,2020,2
0.99,70.2%,9.2%,PIT,DEN,2.5,2020,2
0.99,67.6%,2.0%,CHI,NYG,0.5,2020,2
0.98,68.5%,5.3%,BUF,MIA,1.5,2020,2
0.98,72.6%,18.5%,SF,NYJ,2.5,2020,2
0.95,65.0%,0.9%,SEA,NE,3.0,2020,2
0.95,65.0%,1.5%,NO,LV,3.5,2020,2
0.93,62.7%,0.2%,IND,MIN,2.0,2020,2
0.85,58.1%,1.1%,DAL,ATL,3.0,2020,2
0.80,54.0%,0.1%,PHI,LAR,1.0,2020,2
0.68,46.0%,0.7%,LAR,PHI,2.0,2020,2
0.62,41.9%,0.0%,ATL,DAL,1.0,2020,2
0.55,37.3%,0.4%,MIN,IND,1.5,2020,2
0.52,35.0%,0.1%,LV,NO,0.5,2020,2
0.52,35.0%,0.0%,NE,SEA,2.0,2020,2
0.50,27.4%,0.0%,NYJ,SF,0.0,2020,2
0.49,31.5%,0.0%,MIA,BUF,0.5,2020,2
0.49,32.4%,0.2%,NYG,CHI,0.0,2020,2
0.49,29.8%,0.0%,DEN,PIT,0.5,2020,2
0.48,28.2%,0.0%,DET,GB,0.5,2020,2
0.47,31.3%,0.4%,CIN,CLE,0.0,2020,2
0.47,27.1%,0.0%,JAX,TEN,0.0,2020,2
0.43,26.1%,0.0%,WAS,ARI,0.5,2020,2
0.42,25.0%,0.0%,CAR,TB,0.0,2020,2
0.39,23.7%,0.0%,LAC,KC,1.5,2020,2
0.38,25.0%,0.0%,HOU,BAL,1.0,2020,2
1.08,73.0%,3.6%,NE,LV,1.5,2020,3
1.07,74.5%,8.6%,CLE,WAS,1.0,2020,3
1.03,83.6%,43.9%,IND,NYJ,2.0,2020,3
1.02,71.2%,8.3%,LAC,CAR,1.5,2020,3
1.01,67.7%,1.2%,SEA,DAL,3.0,2020,3
1.01,70.7%,9.0%,TB,DEN,2.5,2020,3
1.00,68.5%,4.0%,PHI (tie),CIN,1.0,2020,3
0.94,63.6%,1.8%,PIT,HOU,2.5,2020,3
0.93,62.2%,0.2%,BAL,KC,5.0,2020,3
0.93,66.8%,10.9%,ARI,DET,1.5,2020,3
0.92,61.6%,0.1%,NO,GB,3.5,2020,3
0.89,59.9%,1.6%,SF,NYG,2.0,2020,3
0.88,58.7%,0.8%,TEN,MIN,2.0,2020,3
0.83,56.7%,2.4%,JAX,MIA,0.0,2020,3
0.81,54.8%,1.8%,ATL,CHI,1.0,2020,3
0.81,54.1%,0.4%,BUF,LAR,2.0,2020,3
0.69,45.9%,0.2%,LAR,BUF,2.0,2020,3
0.69,45.2%,0.1%,CHI,ATL,1.0,2020,3
0.67,43.3%,0.2%,MIA,JAX,0.5,2020,3
0.62,41.3%,0.1%,MIN,TEN,1.5,2020,3
0.61,40.1%,0.2%,NYG,SF,0.0,2020,3
0.58,38.4%,0.1%,GB,NO,3.0,2020,3
0.57,33.2%,0.0%,DET,ARI,0.0,2020,3
0.57,37.8%,0.1%,KC,BAL,5.0,2020,3
0.56,36.4%,0.0%,HOU,PIT,1.0,2020,3
0.50,31.5%,0.1%,CIN (tie),PHI,0.0,2020,3
0.49,29.3%,0.0%,DEN,TB,0.5,2020,3
0.49,32.3%,0.0%,DAL,SEA,3.0,2020,3
0.48,28.8%,0.0%,CAR,LAC,0.0,2020,3
0.47,16.4%,0.0%,NYJ,IND,0.0,2020,3
0.43,25.5%,0.1%,WAS,CLE,0.5,2020,3
0.42,27.0%,0.1%,LV,NE,1.0,2020,3
1.16,84.0%,0.6%,KC,NE,5.0,2020,4
1.13,87.7%,21.4%,BAL,WAS,3.5,2020,4
1.04,76.6%,2.6%,SF,PHI,1.0,2020,4
1.02,75.7%,4.9%,TB,LAC,3.0,2020,4
1.01,87.3%,48.9%,LAR,NYG,2.0,2020,4
0.91,67.1%,3.0%,GB,ATL,3.0,2020,4
0.85,61.9%,0.4%,IND,CHI,2.0,2020,4
0.85,65.3%,9.2%,SEA,MIA,2.5,2020,4
0.85,61.4%,0.2%,BUF,LV,2.0,2020,4
0.84,61.4%,0.6%,HOU,MIN,1.0,2020,4
0.84,62.1%,3.0%,DAL,CLE,2.5,2020,4
0.82,60.2%,1.5%,NO,DET,2.5,2020,4
0.82,59.7%,0.8%,ARI,CAR,1.5,2020,4
0.72,52.2%,0.4%,NYJ,DEN,0.0,2020,4
0.71,52.0%,0.7%,CIN,JAX,0.0,2020,4
0.67,48.0%,0.1%,JAX,CIN,0.0,2020,4
0.66,47.8%,1.1%,DEN,NYJ,0.0,2020,4
0.56,40.3%,0.0%,CAR,ARI,0.0,2020,4
0.56,39.8%,0.0%,DET,NO,0.5,2020,4
0.54,37.9%,0.0%,CLE,DAL,1.5,2020,4
0.54,38.6%,0.0%,MIN,HOU,0.5,2020,4
0.53,38.6%,0.0%,LV,BUF,1.0,2020,4
0.53,34.7%,0.0%,MIA,SEA,0.5,2020,4
0.53,38.1%,0.2%,CHI,IND,1.0,2020,4
0.47,32.9%,0.0%,ATL,GB,0.5,2020,4
0.37,12.7%,0.0%,NYG,LAR,0.0,2020,4
0.36,24.3%,0.0%,LAC,TB,1.5,2020,4
0.33,23.4%,0.0%,PHI,SF,1.0,2020,4
0.25,12.3%,0.0%,WAS,BAL,0.5,2020,4
