Team,Category,Side,Plays,Weight_Score,EPA_Adj,EPA_Pct,SR_Adj,SR_Pct,Season
ARI,Overall,Offense,2556.0,608.4711510109834,-0.01712855520344597,40.625,0.4317530116138417,37.5,2025
ATL,Overall,Offense,2871.0,693.3941017656568,0.007885614402780121,46.875,0.44373784503524977,53.125,2025
BAL,Overall,Offense,2755.0,637.4660595081792,0.08773720701872871,84.375,0.46827670319119663,84.375,2025
BUF,Overall,Offense,3134.0,813.2901294216956,0.15208859475519235,96.875,0.4895139691417204,96.875,2025
CAR,Overall,Offense,2628.0,675.1270835647455,-0.06406386559932536,21.875,0.41356901193724266,25.0,2025
CHI,Overall,Offense,2951.0,870.3846975051301,0.05116226833623883,71.875,0.4526882239489865,62.5,2025
CIN,Overall,Offense,2716.0,657.0896547641609,0.02156900892403962,56.25,0.473170426793481,87.5,2025
CLE,Overall,Offense,2770.0,639.3162815548163,-0.22065139192781982,3.125,0.3421618232621684,3.125,2025
DAL,Overall,Offense,2676.0,700.6238490453869,0.09087144941767954,87.5,0.46295424147034925,78.125,2025
DEN,Overall,Offense,2758.0,786.6858348060562,0.015228713616522538,50.0,0.43267891269662745,40.625,2025
DET,Overall,Offense,2930.0,695.50544534466,0.06929243490223401,81.25,0.45786955018338077,71.875,2025
GB,Overall,Offense,2820.0,727.8301252403585,0.13140073144876216,93.75,0.4787958188652453,90.625,2025
HOU,Overall,Offense,3091.0,825.9878131376918,-0.051605064674452625,25.0,0.4113392987668402,21.875,2025
IND,Overall,Offense,2776.0,655.6586575196579,0.06556152906091738,78.125,0.4493385518696358,56.25,2025
JAX,Overall,Offense,2696.0,683.6222964405,0.04284976148949074,65.625,0.46231468137122844,75.0,2025
KC,Overall,Offense,3232.0,724.4995063605475,0.018790573336116244,53.125,0.4534377720897203,65.625,2025
LA,Overall,Offense,3107.0,860.8771837649448,0.15664730485121242,100.0,0.5008066904011859,100.0,2025
LAC,Overall,Offense,2834.0,718.5243448391984,-0.02382870138193482,31.25,0.4314657226856772,34.375,2025
LV,Overall,Offense,2469.0,577.1445833469184,-0.19793436456480165,6.25,0.3791337464631616,6.25,2025
MIA,Overall,Offense,2518.0,558.4592807986944,-0.020547384956882297,34.375,0.4327961475449742,46.875,2025
MIN,Overall,Offense,2659.0,597.6135940195496,-0.10557921702140428,18.75,0.4257223190333305,31.25,2025
NE,Overall,Offense,2815.0,800.0580933949797,0.053621940575222855,75.0,0.46488543995991793,81.25,2025
NO,Overall,Offense,2685.0,664.3791455882309,-0.10558724089141835,15.625,0.40291714091270797,15.625,2025
NYG,Overall,Offense,2636.0,673.9580926142385,-0.030090886866651567,28.125,0.40617481520491655,18.75,2025
NYJ,Overall,Offense,2516.0,568.4378819884635,-0.13307314211076143,9.375,0.39562612047565165,12.5,2025
PHI,Overall,Offense,3090.0,752.904381106498,-0.018463141949525443,37.5,0.41891531790404124,28.125,2025
PIT,Overall,Offense,2834.0,715.4385231646312,0.0037749079315406147,43.75,0.43274708712822474,43.75,2025
SEA,Overall,Offense,2773.0,743.8639689008131,0.04934939450358873,68.75,0.4536324856753956,68.75,2025
SF,Overall,Offense,2868.0,759.6004732141304,0.11559867443956184,90.625,0.48627996696726744,93.75,2025
TB,Overall,Offense,2890.0,713.5254352401868,0.030760436292272195,59.375,0.44368867564094955,50.0,2025
TEN,Overall,Offense,2436.0,567.5651557689456,-0.12025320824974277,12.5,0.3835118036927147,9.375,2025
WAS,Overall,Offense,2762.0,623.624032880941,0.036011616857343984,62.5,0.45157939572478356,59.375,2025
ARI,Overall,Defense,2633.0,632.8141000967606,0.0541345147979014,31.25,0.4630439694767887,28.125,2025
ATL,Overall,Defense,2863.0,702.3979466123799,-0.014722420373781795,68.75,0.441499363705284,56.25,2025
BAL,Overall,Defense,2763.0,662.7715618212593,0.03685253098536964,40.625,0.4370739737099894,62.5,2025
BUF,Overall,Defense,2899.0,743.9505868966091,0.002302638934954675,59.375,0.4436966699459344,53.125,2025
CAR,Overall,Defense,2672.0,705.8361368403182,0.05922943513862286,28.125,0.45064940993052904,37.5,2025
CHI,Overall,Defense,2715.0,793.513744073185,0.011755132793561903,53.125,0.44068272110797063,59.375,2025
CIN,Overall,Defense,2691.0,632.6595863788474,0.12458955831670153,12.5,0.48303645348097474,9.375,2025
CLE,Overall,Defense,2554.0,647.0355920448928,-0.06603023160358847,87.5,0.4133828590371629,84.375,2025
DAL,Overall,Defense,2442.0,633.8532957214331,0.19403447301319218,3.125,0.49365419843895186,3.125,2025
DEN,Overall,Defense,2925.0,819.0758922981587,-0.049915638184295806,78.125,0.3891325600326084,93.75,2025
DET,Overall,Defense,2752.0,666.162296490383,-0.009920594998989432,65.625,0.4242806742655344,81.25,2025
GB,Overall,Defense,2916.0,769.480579080557,0.035826406693630505,43.75,0.44958191349281845,40.625,2025
HOU,Overall,Defense,2990.0,760.4261261304413,-0.14538103225769608,100.0,0.3749482090282471,100.0,2025
IND,Overall,Defense,2893.0,697.3601885669781,0.05036442464445358,37.5,0.46390246444680006,21.875,2025
JAX,Overall,Defense,2765.0,677.6590767437948,0.001049583844793955,62.5,0.4439899932667575,50.0,2025
KC,Overall,Defense,3138.0,707.1747296522321,0.012744026927873122,50.0,0.44770831665951166,43.75,2025
LA,Overall,Defense,3104.0,851.9992995689373,-0.029972382465321603,75.0,0.43275243148744136,68.75,2025
LAC,Overall,Defense,2747.0,674.4005153189833,-0.050842323332531476,84.375,0.42473162577581935,78.125,2025
LV,Overall,Defense,2625.0,621.2822647847823,0.02016913923634626,46.875,0.44521898586240394,46.875,2025
MIA,Overall,Defense,2501.0,598.1542082852479,0.06266558011179489,25.0,0.48386342769550095,6.25,2025
MIN,Overall,Defense,2749.0,645.8324495526048,-0.12252792256381545,90.625,0.4052464936287942,87.5,2025
NE,Overall,Defense,2810.0,767.4844409804367,-0.05069862437576203,81.25,0.4317446220962566,71.875,2025
NO,Overall,Defense,2682.0,661.8104017399114,-0.02078144013708076,71.875,0.432884684664415,65.625,2025
NYG,Overall,Defense,2639.0,648.2974501190494,0.06681148103769136,18.75,0.46356669855191385,25.0,2025
NYJ,Overall,Defense,2704.0,635.3476214711084,0.13953571833032172,9.375,0.4589559201648979,31.25,2025
PHI,Overall,Defense,3141.0,803.6868999402059,-0.12354799717875811,93.75,0.4039301141737951,90.625,2025
PIT,Overall,Defense,2950.0,747.3461636027351,0.006093356011284395,56.25,0.43081325463359155,75.0,2025
SEA,Overall,Defense,2917.0,736.909669348413,-0.14388369808276513,96.875,0.38520103900022495,96.875,2025
SF,Overall,Defense,2848.0,724.5155979592234,0.06583220231943226,21.875,0.47829500348115406,15.625,2025
TB,Overall,Defense,2829.0,657.1710054390483,0.05303621957669888,34.375,0.45523035337222756,34.375,2025
TEN,Overall,Defense,2525.0,576.8592412401172,0.1528717380840994,6.25,0.47566203902488846,18.75,2025
WAS,Overall,Defense,2870.0,687.6581888225563,0.10477769015278582,15.625,0.4785460687844064,12.5,2025
ARI,Run,Offense,1063.0,220.93906558323312,-0.01859723595099612,31.25,0.4167170550756906,21.875,2025
ATL,Run,Offense,1308.0,311.2718655354071,0.013005443267347554,59.375,0.44186196881714557,50.0,2025
BAL,Run,Offense,1324.0,325.9194022172469,0.12350205879258508,96.875,0.4677065187558683,87.5,2025
BUF,Run,Offense,1417.0,380.88970868270474,0.15520925142091657,100.0,0.5146909507933785,100.0,2025
CAR,Run,Offense,1169.0,301.5234672672111,-0.0004177800278245924,37.5,0.44042978429046503,46.875,2025
CHI,Run,Offense,1310.0,383.5176517257145,0.06304923777085315,87.5,0.480693011110233,90.625,2025
CIN,Run,Offense,927.0,229.17687858051164,0.08469119023072694,93.75,0.48831514766441214,93.75,2025
CLE,Run,Offense,1130.0,273.2941575710546,-0.08310133508250954,9.375,0.36936627387278537,6.25,2025
DAL,Run,Offense,1064.0,289.23422632354146,0.008921395576080805,50.0,0.4519951628585789,68.75,2025
DEN,Run,Offense,1133.0,310.7882014963373,0.002380246123906382,43.75,0.44762206670799826,62.5,2025
DET,Run,Offense,1264.0,281.274492759719,-0.023831074639242725,28.125,0.4249694323485318,40.625,2025
GB,Run,Offense,1290.0,338.49964174095953,0.0010130498474166946,40.625,0.45828299230184083,78.125,2025
HOU,Run,Offense,1281.0,346.9879579369598,-0.06690843733229764,18.75,0.40061753952635065,15.625,2025
IND,Run,Offense,1242.0,282.676103138268,0.062174488229695644,84.375,0.4592535710814902,81.25,2025
JAX,Run,Offense,1103.0,283.8777725069093,0.03689829846936927,68.75,0.4580492406298363,75.0,2025
KC,Run,Offense,1246.0,280.2290971838113,0.048769794182536685,81.25,0.4662370643840424,84.375,2025
LA,Run,Offense,1236.0,329.4428559375062,0.07858515846334475,90.625,0.49667179451051086,96.875,2025
LAC,Run,Offense,1150.0,299.03343328876986,0.007472638461544848,46.875,0.4228484984231898,31.25,2025
LV,Run,Offense,990.0,229.08499049420962,-0.20140810152047933,3.125,0.35986911821417245,3.125,2025
MIA,Run,Offense,1059.0,253.92515987193292,-0.052357780132019124,21.875,0.41888494741296906,25.0,2025
MIN,Run,Offense,1028.0,248.09789121891322,-0.0304624405902104,25.0,0.43856955365505507,43.75,2025
NE,Run,Offense,1219.0,355.07212601387084,0.02429527311111483,65.625,0.4452788041955714,59.375,2025
NO,Run,Offense,1127.0,278.51163589996554,-0.09006652919988849,6.25,0.39527448051590836,12.5,2025
NYG,Run,Offense,1187.0,313.82017454498725,-0.007148989798602274,34.375,0.41197238830455946,18.75,2025
