EntryName,Status,Week_1,Week_2,Planner,Contrarian,EV Hunter,Sprinter,Hoarder,Tourist,Picks_Used,Primary_Archetype,Archetype_Mix,Confidence
1btmCO-26,Eliminated,PIT,TB,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
1btmCO-27,Eliminated,PIT,TB,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
1btmCO-28,Eliminated,PIT,TB,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
1btmCO-29,Eliminated,PIT,TB,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
1btmCO-30,Eliminated,PIT,TB,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
2001-Odyssey-1,Eliminated,DET,TB,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
2001-Odyssey-2,Alive,JAC,SF,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
21million-1,Eliminated,JAC,TB,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
27BOB27-1,Eliminated,JAC,TB,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
3mmm-1,Eliminated,JAC,TB,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
3putt-357-2,Eliminated,PIT,TB,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
3putt-357-3,Alive,JAC,SF,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
3putt-357-4,Alive,JAC,SF,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
4_degens-1,Eliminated,JAC,TB,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
6ixty-1,Alive,JAC,SF,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
757sports-1,Alive,PIT,SF,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
7_Shots-1,Alive,PIT,PHI,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
810ofclubs-1,Alive,JAC,PHI,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
810ofclubs-2,Alive,JAC,PHI,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
810ofclubs-126,Eliminated,DET,TB,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
810ofclubs-127,Eliminated,DET,TB,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
810ofclubs-128,Eliminated,DET,TB,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
810ofclubs-129,Eliminated,DET,TB,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
810ofclubs-130,Eliminated,DET,TB,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
810ofclubs-131,Eliminated,DET,TB,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
810ofclubs-132,Eliminated,DET,TB,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
810ofclubs-133,Alive,DET,SF,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
810ofclubs-134,Alive,DET,SF,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
810ofclubs-135,Alive,DET,SF,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
810ofclubs-136,Alive,DET,SF,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
810ofclubs-137,Alive,DET,SF,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
810ofclubs-138,Alive,DET,SF,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
810ofclubs-139,Alive,DET,SF,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
810ofclubs-140,Alive,DET,SF,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
810ofclubs-141,Eliminated,DET,LAC,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
810ofclubs-142,Eliminated,DET,LAC,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
810ofclubs-143,Eliminated,DET,LAC,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
810ofclubs-144,Eliminated,DET,LAC,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
810ofclubs-145,Eliminated,DET,LAC,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
810ofclubs-146,Alive,DET,PHI,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
