team,net_delta,inbound_value,outbound_value,offense_delta,defense_delta,coaching_delta,inbound_moves,outbound_moves,num_moves
ARI,13.37,15.1,1.73,6.74,6.63,0.0,38,32,70
DEN,8.6,10.54,1.94,3.89,4.71,0.0,38,29,67
IND,8.11,10.16,2.05,4.01,4.1,0.0,41,31,72
MIA,7.74,9.89,2.15,3.89,3.85,0.0,43,49,92
BUF,6.65,8.62,1.97,5.16,1.49,0.0,35,23,58
NYJ,5.22,10.42,5.2,3.75,1.47,0.0,49,43,92
BAL,4.78,6.53,1.75,0.97,3.81,0.0,39,30,69
CLE,4.42,6.45,2.03,2.59,1.83,0.0,51,35,86
KC,4.4,4.41,0.01,2.69,1.71,0.0,25,26,51
CIN,4.22,5.95,1.73,2.6,1.62,0.0,37,25,62
LV,4.02,5.69,1.67,3.04,0.98,0.0,39,33,72
NO,3.3,7.32,4.02,5.33,-2.03,0.0,30,26,56
PHI,2.88,4.41,1.53,1.29,1.59,0.0,38,29,67
WAS,2.6,4.62,2.02,1.07,1.53,0.0,49,35,84
DET,1.63,8.49,6.86,0.8,0.83,0.0,46,39,85
LA,1.13,3.25,2.12,1.32,-0.19,0.0,20,19,39
CAR,0.83,6.29,5.46,-2.77,3.6,0.0,42,36,78
LAC,0.7,7.31,6.61,-0.34,1.04,0.0,23,30,53
ATL,0.45,2.11,1.66,-0.17,0.62,0.0,27,27,54
NYG,0.36,6.22,5.86,-0.14,0.5,0.0,45,24,69
TB,0.2,5.94,5.74,-0.38,0.58,0.0,31,23,54
PIT,-0.07,0.88,0.95,-0.26,0.19,0.0,32,21,53
SF,-0.16,5.34,5.5,0.64,-0.8,0.0,45,34,79
DAL,-0.26,3.65,3.91,0.4,-0.66,0.0,32,36,68
CHI,-0.36,3.51,3.87,1.72,-2.08,0.0,37,26,63
GB,-0.52,2.34,2.86,0.41,-0.93,0.0,31,22,53
JAX,-0.76,6.67,7.43,1.44,-2.2,0.0,54,40,94
SEA,-1.3,6.11,7.41,-2.8,1.5,0.0,44,35,79
NE,-2.88,3.79,6.67,-2.24,-0.64,0.0,46,33,79
TEN,-4.44,1.46,5.9,-0.15,-4.29,0.0,39,28,67
MIN,-5.74,6.27,12.01,-4.5,-1.24,0.0,50,31,81
HOU,-6.34,2.21,8.55,-6.39,0.05,0.0,37,32,69
