type,player,position,from_team,to_team,value,epa,season
Released / Retired,Caleb Johnson,LB,MIA,,-9.0,,2026
Released / Retired,Charles Snowden,LB,LV,,-9.0,,2026
Released / Retired,Amen Ogbongbemiga,LB,CHI,,-9.0,,2026
Released / Retired,Buddy Johnson,LB,IND,,-9.0,,2026
Released / Retired,Victor Dimukeje,LB,NYG,,-9.0,,2026
Released / Retired,Marlon Tuipulotu,DT,KC,,-11.0,,2026
Released / Retired,Patrick Johnson,LB,NE,,-9.0,,2026
Released / Retired,Drew Dalman,C,CHI,,-8.0,,2026
Released / Retired,Richie Grant,SAF,NE,,-2.0,,2026
Released / Retired,Brady Christensen,OT,CAR,,-10.0,,2026
Released / Retired,Ifeatu Melifonwu,SAF,MIA,,-2.0,,2026
Released / Retired,Monty Rice,LB,DET,,-9.0,,2026
Released / Retired,Jeremiah Moon,LB,PIT,,-9.0,,2026
Released / Retired,Nazeeh Johnson,CB,KC,,-12.0,,2026
Released / Retired,Delarrin Turner-Yell,SAF,DEN,,-2.0,,2026
Released / Retired,Mark Robinson,LB,CLE,,-9.0,,2026
Released / Retired,Baylon Spector,LB,BUF,,-9.0,,2026
Released / Retired,Sam Webb,CB,CLE,,-12.0,,2026
Released / Retired,John Parker Romo,K,ATL,,-4.0,,2026
Released / Retired,C.J. Brewer,DT,TB,,-11.0,,2026
Released / Retired,DeMarvin Leal,DE,PIT,,-14.0,,2026
Released / Retired,Jalyn Armour-Davis,CB,TEN,,-12.0,,2026
Released / Retired,Perrion Winfrey,DT,DAL,,-11.0,,2026
Released / Retired,Kyu Blu Kelly,CB,LV,,-12.0,,2026
Released / Retired,Chris Smith II,S,NYJ,,-9.0,,2026
Released / Retired,Ameer Speed,CB,HOU,,-12.0,,2026
Released / Retired,Brad Robbins,P,LV,,-2.0,,2026
Released / Retired,Jordan Colbert,SAF,MIA,,-2.0,,2026
Released / Retired,Isaiah Johnson,CB,MIA,,-12.0,,2026
Released / Retired,Gabriel Murphy,LB,MIN,,-9.0,,2026
Released / Retired,Joshua Karty,K,ARI,,-4.0,,2026
Released / Retired,DJ James,CB,NE,,-12.0,,2026
Released / Retired,Marshawn Kneeland,DE,DAL,,-14.0,,2026
Released / Retired,Jude McAtamney,K,NYG,,-4.0,,2026
Released / Retired,Jamon Johnson,LB,GB,,-9.0,,2026
Draft Pick,Fernando Mendoza (R1 #1),QB,,LV,6.88,,2026
Draft Pick,David Bailey (R1 #2),OLB,,NYJ,6.77,,2026
Draft Pick,Jeremiyah Love (R1 #3),RB,,ARI,6.66,,2026
Draft Pick,Carnell Tate (R1 #4),WR,,TEN,6.55,,2026
Draft Pick,Arvell Reese (R1 #5),LB,,NYG,6.44,,2026
Draft Pick,Mansoor Delane (R1 #6),CB,,KC,6.33,,2026
Draft Pick,Sonny Styles (R1 #7),LB,,WAS,6.23,,2026
Draft Pick,Jordyn Tyson (R1 #8),WR,,NO,6.13,,2026
Draft Pick,Spencer Fano (R1 #9),OT,,CLE,6.02,,2026
Draft Pick,Francis Mauigoa (R1 #10),OT,,NYG,5.93,,2026
Draft Pick,Caleb Downs (R1 #11),S,,DAL,5.83,,2026
Draft Pick,Kadyn Proctor (R1 #12),OT,,MIA,5.73,,2026
Draft Pick,Ty Simpson (R1 #13),QB,,LA,5.64,,2026
Draft Pick,Olaivavega Ioane (R1 #14),OG,,BAL,5.54,,2026
Draft Pick,Rueben Bain Jr. (R1 #15),DE,,TB,5.45,,2026
Draft Pick,Kenyon Sadiq (R1 #16),TE,,NYJ,5.36,,2026
Draft Pick,Blake Miller (R1 #17),OT,,DET,5.27,,2026
Draft Pick,Caleb Banks (R1 #18),DT,,MIN,5.19,,2026
Draft Pick,Monroe Freeling (R1 #19),OT,,CAR,5.1,,2026
Draft Pick,Makai Lemon (R1 #20),WR,,PHI,5.02,,2026
Draft Pick,Max Iheanachor (R1 #21),OT,,PIT,4.93,,2026
Draft Pick,Akheem Mesidor (R1 #22),DE,,LAC,4.85,,2026
Draft Pick,Malachi Lawrence (R1 #23),DE,,DAL,4.77,,2026
Draft Pick,KC Concepcion (R1 #24),WR,,CLE,4.69,,2026
Draft Pick,Dillon Thieneman (R1 #25),S,,CHI,4.61,,2026
Draft Pick,Keylan Rutledge (R1 #26),G,,HOU,4.54,,2026
Draft Pick,Chris Johnson (R1 #27),CB,,MIA,4.46,,2026
Draft Pick,Caleb Lomu (R1 #28),OT,,NWE,4.39,,2026
Draft Pick,Peter Woods (R1 #29),DT,,KC,4.32,,2026
Draft Pick,Omar Cooper Jr. (R1 #30),WR,,NYJ,4.25,,2026
Draft Pick,Keldric Faulk (R1 #31),DE,,TEN,4.18,,2026
Draft Pick,Jadarian Price (R1 #32),RB,,SEA,4.11,,2026
Draft Pick,De'Zhaun Stribling (R2 #33),WR,,SF,4.04,,2026
Draft Pick,Chase Bisontis (R2 #34),G,,ARI,3.97,,2026
Draft Pick,T.J. Parker (R2 #35),DE,,BUF,3.91,,2026
Draft Pick,Kayden McDonald (R2 #36),DT,,HOU,3.84,,2026
Draft Pick,Colton Hood (R2 #37),CB,,NYG,3.78,,2026
Draft Pick,Treydan Stukes (R2 #38),CB,,LV,3.72,,2026
Draft Pick,Denzel Boston (R2 #39),WR,,CLE,3.65,,2026
Draft Pick,R Mason Thomas (R2 #40),DE,,KC,3.59,,2026
Draft Pick,Cashius Howell (R2 #41),DE,,CIN,3.53,,2026
Draft Pick,Christen Miller (R2 #42),DT,,NO,3.48,,2026
Draft Pick,Jacob Rodriguez (R2 #43),LB,,MIA,3.42,,2026
Draft Pick,Derrick Moore (R2 #44),DE,,DET,3.36,,2026
Draft Pick,Zion Young (R2 #45),DE,,BAL,3.31,,2026
Draft Pick,Josiah Trotter (R2 #46),LB,,TB,3.25,,2026
Draft Pick,Germie Bernard (R2 #47),WR,,PIT,3.2,,2026
Draft Pick,Avieon Terrell (R2 #48),CB,,ATL,3.15,,2026
Draft Pick,Lee Hunter (R2 #49),DT,,CAR,3.09,,2026
Draft Pick,D'Angelo Ponds (R2 #50),CB,,NYJ,3.04,,2026
Draft Pick,Jake Golday (R2 #51),LB,,MIN,2.99,,2026
Draft Pick,Brandon Cisse (R2 #52),CB,,GB,2.94,,2026
Draft Pick,CJ Allen (R2 #53),LB,,IND,2.89,,2026
Draft Pick,Eli Stowers (R2 #54),TE,,PHI,2.85,,2026
Draft Pick,Gabe Jacas (R2 #55),DE,,NWE,2.8,,2026
Draft Pick,Nate Boerkircher (R2 #56),TE,,JAX,2.75,,2026
Draft Pick,Logan Jones (R2 #57),C,,CHI,2.71,,2026
Draft Pick,Emmanuel McNeil-Warren (R2 #58),S,,CLE,2.66,,2026
Draft Pick,Marlin Klein (R2 #59),TE,,HOU,2.62,,2026
Draft Pick,Anthony Hill Jr. (R2 #60),LB,,TEN,2.58,,2026
Draft Pick,Max Klare (R2 #61),TE,,LA,2.53,,2026
Draft Pick,Davison Igbinosun (R2 #62),CB,,BUF,2.49,,2026
Draft Pick,Jake Slaughter (R2 #63),C,,LAC,2.45,,2026
Draft Pick,Bud Clark (R2 #64),S,,SEA,2.41,,2026
Draft Pick,Carson Beck (R3 #65),QB,,ARI,2.37,,2026
Draft Pick,Tyler Onyedim (R3 #66),DT,,DEN,2.33,,2026
Draft Pick,Keyron Crawford (R3 #67),DE,,LV,2.29,,2026
Draft Pick,Markel Bell (R3 #68),OT,,PHI,2.25,,2026
Draft Pick,Sam Roush (R3 #69),TE,,CHI,2.22,,2026
Draft Pick,Romello Height (R3 #70),DE,,SF,2.18,,2026
Draft Pick,Antonio Williams (R3 #71),WR,,WAS,2.14,,2026
Draft Pick,Tacario Davis (R3 #72),CB,,CIN,2.11,,2026
Draft Pick,Oscar Delp (R3 #73),TE,,NO,2.07,,2026
Draft Pick,Malachi Fields (R3 #74),WR,,NYG,2.04,,2026
Draft Pick,Caleb Douglas (R3 #75),WR,,MIA,2.01,,2026
Draft Pick,Drew Allar (R3 #76),QB,,PIT,1.97,,2026
Draft Pick,Chris McClellan (R3 #77),DT,,GB,1.94,,2026
Draft Pick,A.J. Haulcy (R3 #78),S,,IND,1.91,,2026
Draft Pick,Zachariah Branch (R3 #79),WR,,ATL,1.88,,2026
Draft Pick,Ja'Kobi Lane (R3 #80),WR,,BAL,1.85,,2026
Draft Pick,Albert Regis (R3 #81),DT,,JAX,1.81,,2026
Draft Pick,Domonique Orange (R3 #82),DT,,MIN,1.78,,2026
Draft Pick,Chris Brazzell II (R3 #83),WR,,CAR,1.76,,2026
Draft Pick,Ted Hurst (R3 #84),WR,,TB,1.73,,2026
Draft Pick,Daylen Everette (R3 #85),CB,,PIT,1.7,,2026
Draft Pick,Austin Barber (R3 #86),OT,,CLE,1.67,,2026
Draft Pick,Will Kacmarek (R3 #87),TE,,MIA,1.64,,2026
Draft Pick,Emmanuel Pregnon (R3 #88),G,,JAX,1.61,,2026
Draft Pick,Zavion Thomas (R3 #89),WR,,CHI,1.59,,2026
Draft Pick,Kaelon Black (R3 #90),RB,,SF,1.56,,2026
Draft Pick,Trey Zuhn III (R3 #91),OT,,LV,1.54,,2026
Draft Pick,Jaishawn Barham (R3 #92),DE,,DAL,1.51,,2026
Draft Pick,Keagen Trost (R3 #93),OL,,LA,1.49,,2026
Draft Pick,Chris Bell (R3 #94),WR,,MIA,1.46,,2026
Draft Pick,Eli Raridon (R3 #95),TE,,NWE,1.44,,2026
Draft Pick,Gennings Dunker (R3 #96),OT,,PIT,1.41,,2026
Draft Pick,Caleb Tiernan (R3 #97),OT,,MIN,1.39,,2026
Draft Pick,Jakobe Thomas (R3 #98),S,,MIN,1.37,,2026
Draft Pick,Julian Neal (R3 #99),CB,,SEA,1.34,,2026
Draft Pick,Jalen Huskey (R3 #100),S,,JAX,1.32,,2026
Draft Pick,Jermod McCoy (R4 #101),CB,,LV,1.3,,2026
Draft Pick,Jude Bowry (R4 #102),OT,,BUF,1.28,,2026
Draft Pick,Darrell Jackson Jr. (R4 #103),DT,,NYJ,1.26,,2026
Draft Pick,Kaleb Proctor (R4 #104),DT,,ARI,1.24,,2026
Draft Pick,Brenen Thompson (R4 #105),WR,,LAC,1.22,,2026
Draft Pick,Febechi Nwaiwu (R4 #106),OL,,HOU,1.2,,2026
Draft Pick,Gracen Halton (R4 #107),DT,,SF,1.18,,2026
Draft Pick,Jonah Coleman (R4 #108),RB,,DEN,1.16,,2026
Draft Pick,Jadon Canady (R4 #109),CB,,KC,1.14,,2026
Draft Pick,Cade Klubnik (R4 #110),QB,,NYJ,1.12,,2026
Draft Pick,Kage Casey (R4 #111),OT,,DEN,1.1,,2026
Draft Pick,Drew Shelton (R4 #112),OT,,DAL,1.08,,2026
Draft Pick,Jalen Farmer (R4 #113),G,,IND,1.06,,2026
Draft Pick,Devin Moore (R4 #114),CB,,DAL,1.05,,2026
Draft Pick,Elijah Sarratt (R4 #115),WR,,BAL,1.03,,2026
Draft Pick,Keionte Scott (R4 #116),CB,,TB,1.01,,2026
Draft Pick,Travis Burke (R4 #117),OT,,LAC,1.0,,2026
Draft Pick,Jimmy Rolder (R4 #118),LB,,DET,0.98,,2026
Draft Pick,Wesley Williams (R4 #119),DE,,JAX,0.96,,2026
Draft Pick,Dani Dennis-Sutton (R4 #120),DE,,GB,0.95,,2026
Draft Pick,Kaden Wetjen (R4 #121),WR,,PIT,0.93,,2026
Draft Pick,Mike Washington Jr. (R4 #122),RB,,LV,0.92,,2026
Draft Pick,Wade Woodaz (R4 #123),LB,,HOU,0.9,,2026
Draft Pick,Malik Muhammad (R4 #124),CB,,CHI,0.89,,2026
Draft Pick,Skyler Bell (R4 #125),WR,,BUF,0.87,,2026
Draft Pick,Kaleb Elarms-Orr (R4 #126),LB,,BUF,0.86,,2026
Draft Pick,Carver Willis (R4 #127),OL,,SF,0.84,,2026
Draft Pick,Connor Lew (R4 #128),C,,CIN,0.83,,2026
Draft Pick,Will Lee III (R4 #129),CB,,CAR,0.82,,2026
Draft Pick,Trey Moore (R4 #130),LB,,MIA,0.8,,2026
Draft Pick,Genesis Smith (R4 #131),S,,LAC,0.79,,2026
Draft Pick,Jeremiah Wright (R4 #132),G,,NO,0.78,,2026
Draft Pick,Matthew Hibner (R4 #133),TE,,BAL,0.76,,2026
Draft Pick,Kendal Daniels (R4 #134),LB,,ATL,0.75,,2026
Draft Pick,Bryce Boettcher (R4 #135),LB,,IND,0.74,,2026
Draft Pick,Bryce Lance (R4 #136),WR,,NO,0.73,,2026
Draft Pick,LT Overton (R4 #137),DE,,DAL,0.71,,2026
Draft Pick,Kyle Louis (R4 #138),LB,,MIA,0.7,,2026
Draft Pick,Ephesians Prysock (R4 #139),CB,,SF,0.69,,2026
Draft Pick,Colbie Young (R4 #140),WR,,CIN,0.68,,2026
Draft Pick,Kamari Ramsey (R5 #141),S,,HOU,0.67,,2026
Draft Pick,Fernando Carmona (R5 #142),G,,TEN,0.66,,2026
Draft Pick,Reggie Virgil (R5 #143),WR,,ARI,0.65,,2026
Draft Pick,Sam Hecht (R5 #144),C,,CAR,0.64,,2026
Draft Pick,Nick Barrett (R5 #145),DT,,LAC,0.62,,2026
Draft Pick,Parker Brailsford (R5 #146),C,,CLE,0.61,,2026
Draft Pick,Joshua Josephs (R5 #147),DE,,WAS,0.6,,2026
Draft Pick,Beau Stephens (R5 #148),G,,SEA,0.59,,2026
Draft Pick,Justin Jefferson (R5 #149),LB,,CLE,0.58,,2026
Draft Pick,Dalton Johnson (R5 #150),S,,LV,0.57,,2026
Draft Pick,Zakee Wheatley (R5 #151),S,,CAR,0.57,,2026
Draft Pick,Justin Joly (R5 #152),TE,,DEN,0.56,,2026
Draft Pick,Jager Burton (R5 #153),C,,GB,0.55,,2026
Draft Pick,Jaden Dugger (R5 #154),OLB,,SF,0.54,,2026
Draft Pick,DeMonte Capehart (R5 #155),DT,,TB,0.53,,2026
Draft Pick,George Gumbs Jr. (R5 #156),DE,,IND,0.52,,2026
Draft Pick,Keith Abney II (R5 #157),CB,,DET,0.51,,2026
Draft Pick,Michael Taaffe (R5 #158),S,,MIA,0.5,,2026
Draft Pick,Max Bredeson (R5 #159),TE,,MIN,0.49,,2026
Draft Pick,Billy Schrauth (R5 #160),G,,TB,0.49,,2026
Draft Pick,Emmett Johnson (R5 #161),RB,,KC,0.48,,2026
Draft Pick,Chandler Rivers (R5 #162),CB,,BAL,0.47,,2026
Draft Pick,Charles Demmings (R5 #163),CB,,MIN,0.46,,2026
Draft Pick,Tanner Koziol (R5 #164),TE,,JAX,0.46,,2026
Draft Pick,Nicholas Singleton (R5 #165),RB,,TEN,0.45,,2026
Draft Pick,Keyshaun Elliott (R5 #166),LB,,CHI,0.44,,2026
Draft Pick,Jalon Kilgore (R5 #167),CB,,BUF,0.43,,2026
Draft Pick,Kendrick Law (R5 #168),WR,,DET,0.43,,2026
Draft Pick,Riley Nowakowski (R5 #169),TE,,PIT,0.42,,2026
Draft Pick,Joe Royer (R5 #170),TE,,CLE,0.41,,2026
Draft Pick,Karon Prunty (R5 #171),DB,,NWE,0.4,,2026
Draft Pick,Lorenzo Styles Jr. (R5 #172),S,,NO,0.4,,2026
Draft Pick,Josh Cuevas (R5 #173),TE,,BAL,0.39,,2026
Draft Pick,Adam Randall (R5 #174),RB,,BAL,0.39,,2026
Draft Pick,Hezekiah Masses (R5 #175),CB,,LV,0.38,,2026
Draft Pick,Cyrus Allen (R5 #176),WR,,KC,0.37,,2026
Draft Pick,Kevin Coleman Jr. (R5 #177),WR,,MIA,0.37,,2026
Draft Pick,Cole Payton (R5 #178),QB,,PHI,0.36,,2026
Draft Pick,Enrique Cruz Jr. (R5 #179),OL,,SF,0.35,,2026
Draft Pick,Seydou Traore (R5 #180),TE,,MIA,0.35,,2026
Draft Pick,Zane Durant (R5 #181),DT,,BUF,0.34,,2026
Draft Pick,Taylen Green (R6 #182),QB,,CLE,0.34,,2026
Draft Pick,Karson Sharar (R6 #183),LB,,ARI,0.33,,2026
Draft Pick,Jackie Marshall (R6 #184),DE,,TEN,0.33,,2026
Draft Pick,Bauer Sharp (R6 #185),TE,,TB,0.32,,2026
Draft Pick,Bobby Jamison-Travis (R6 #186),DL,,NYG,0.32,,2026
Draft Pick,Kaytron Allen (R6 #187),RB,,WAS,0.31,,2026
Draft Pick,Anez Cooper (R6 #188),G,,NYJ,0.31,,2026
Draft Pick,Brian Parker II (R6 #189),OT,,CIN,0.3,,2026
Draft Pick,Barion Brown (R6 #190),WR,,NO,0.3,,2026
Draft Pick,Josh Cameron (R6 #191),WR,,JAX,0.29,,2026
Draft Pick,J.C. Davis (R6 #192),OT,,NYG,0.29,,2026
Draft Pick,Jack Kelly (R6 #193),LB,,NYG,0.28,,2026
Draft Pick,Pat Coogan (R6 #194),C,,TEN,0.28,,2026
Draft Pick,Malik Benson (R6 #195),WR,,LV,0.27,,2026
Draft Pick,Dametrious Crownover (R6 #196),OT,,NWE,0.27,,2026
Draft Pick,CJ Daniels (R6 #197),WR,,LA,0.26,,2026
Draft Pick,Demond Claiborne (R6 #198),RB,,MIN,0.26,,2026
Draft Pick,Emmanuel Henderson Jr. (R6 #199),WR,,SEA,0.25,,2026
Draft Pick,DJ Campbell (R6 #200),G,,MIA,0.25,,2026
Draft Pick,Domani Jackson (R6 #201),CB,,GB,0.25,,2026
Draft Pick,Logan Taylor (R6 #202),G,,LAC,0.24,,2026
Draft Pick,CJ Williams (R6 #203),WR,,JAX,0.24,,2026
Draft Pick,Lewis Bond (R6 #204),WR,,HOU,0.23,,2026
Draft Pick,Skyler Gill-Howard (R6 #205),DT,,DET,0.23,,2026
Draft Pick,Alex Harkey (R6 #206),OT,,LAC,0.23,,2026
Draft Pick,Micah Morris (R6 #207),G,,PHI,0.22,,2026
Draft Pick,Anterio Thompson (R6 #208),DT,,ATL,0.22,,2026
Draft Pick,Matt Gulbin (R6 #209),OL,,WAS,0.21,,2026
Draft Pick,Gabriel Rubio (R6 #210),DL,,PIT,0.21,,2026
Draft Pick,Ryan Eckley (R6 #211),P,,BAL,0.21,,2026
Draft Pick,Namdi Obiazor (R6 #212),LB,,NWE,0.2,,2026
Draft Pick,Jordan van den Berg (R6 #213),DL,,CHI,0.2,,2026
Draft Pick,Caden Curry (R6 #214),DE,,IND,0.2,,2026
Draft Pick,Harold Perkins Jr. (R6 #215),LB,,ATL,0.19,,2026
Draft Pick,Trey Smack (R6 #216),K,,GB,0.19,,2026
Draft Pick,Jayden Williams (R7 #217),OL,,ARI,0.19,,2026
Draft Pick,Anthony Smith (R7 #218),WR,,DAL,0.18,,2026
Draft Pick,TJ Hall (R7 #219),CB,,NO,0.18,,2026
Draft Pick,Toriano Pride Jr. (R7 #220),CB,,BUF,0.18,,2026
Draft Pick,Jack Endries (R7 #221),TE,,CIN,0.18,,2026
Draft Pick,Tyre West (R7 #222),DT,,DET,0.17,,2026
Draft Pick,Athan Kaliakmanis (R7 #223),QB,,WAS,0.17,,2026
Draft Pick,Robert Spears-Jennings (R7 #224),S,,PIT,0.17,,2026
Draft Pick,Jaren Kanak (R7 #225),TE,,TEN,0.16,,2026
Draft Pick,Landon Robinson (R7 #226),NT,,CIN,0.16,,2026
Draft Pick,Jackson Kuwatch (R7 #227),LB,,CAR,0.16,,2026
Draft Pick,VJ Payne (R7 #228),S,,NYJ,0.16,,2026
Draft Pick,Brandon Cleveland (R7 #229),DT,,LV,0.15,,2026
Draft Pick,Eli Heidenreich (R7 #230),FB,,PIT,0.15,,2026
Draft Pick,Ethan Onianwa (R7 #231),G,,ATL,0.15,,2026
Draft Pick,Tim Keenan III (R7 #232),DT,,LA,0.15,,2026
Draft Pick,Zach Durfee (R7 #233),DE,,JAX,0.14,,2026
Draft Pick,Behren Morton (R7 #234),QB,,NWE,0.14,,2026
Draft Pick,Gavin Gerhardt (R7 #235),OL,,MIN,0.14,,2026
Draft Pick,Andre Fuller (R7 #236),CB,,SEA,0.14,,2026
Draft Pick,Seth McGowan (R7 #237),RB,,IND,0.13,,2026
Draft Pick,Max Llewellyn (R7 #238),DE,,MIA,0.13,,2026
Draft Pick,Tommy Doman (R7 #239),P,,BUF,0.13,,2026
Draft Pick,Parker Hughes (R7 #240),LB,,JAX,0.13,,2026
Draft Pick,Ar'maj Reed-Adams (R7 #241),G,,BUF,0.13,,2026
Draft Pick,Deven Eastern (R7 #242),DT,,SEA,0.12,,2026
Draft Pick,Aiden Fisher (R7 #243),LB,,HOU,0.12,,2026
Draft Pick,Cole Wisniewski (R7 #244),S,,PHI,0.12,,2026
Draft Pick,Jam Miller (R7 #245),RB,,NWE,0.12,,2026
Draft Pick,Miles Scott (R7 #246),S,,DEN,0.12,,2026
Draft Pick,Quintayvious Hutchins (R7 #247),DE,,NWE,0.11,,2026
Draft Pick,Carsen Ryan (R7 #248),TE,,CLE,0.11,,2026
Draft Pick,Garrett Nussmeier (R7 #249),QB,,KC,0.11,,2026
Draft Pick,Rayshaun Benny (R7 #250),DT,,BAL,0.11,,2026
Draft Pick,Uar Bernard (R7 #251),DT,,PHI,0.11,,2026
Draft Pick,Keyshawn James-Newby (R7 #252),DE,,PHI,0.1,,2026
Draft Pick,Evan Beerntsen (R7 #253),OL,,BAL,0.1,,2026
Draft Pick,Deion Burks (R7 #254),WR,,IND,0.1,,2026
Draft Pick,Michael Dansby (R7 #255),DB,,SEA,0.1,,2026
Draft Pick,Dallen Bentley (R7 #256),TE,,DEN,0.1,,2026
Draft Pick,Red Murdock (R7 #257),LB,,DEN,0.1,,2026
