Year,Week,Team,Opponent,Sportsbook_Win_Pct,Estimated_Pick_Pct,Estimated_EV,Is_Upcoming_Week
2026,13,TB,CAR,0.609,0.13547680091354375,4.495234578122649,False
2026,13,NE,LAC,0.6782,0.1324500082194498,5.120422483298939,False
2026,13,MIN,ATL,0.6409,0.11498166015138067,5.573932391967679,False
2026,13,JAC,TEN,0.8486,0.10534004221278906,8.055816023747271,False
2026,13,SEA,SF,0.6,0.06977236073338293,8.599393709677463,False
2026,13,BAL,HOU,0.6251,0.0634861990679294,9.846234444294753,False
2026,13,CIN,NO,0.5872,0.03745854991895587,15.675993899135106,False
2026,13,WAS,ARI,0.5475,0.03319409309840946,16.493898428760932,False
2026,13,CLE,LV,0.549,0.030804576423696512,17.822027235462333,False
2026,13,ARI,WAS,0.4525,0.029474136297886564,15.352443085243058,False
2026,13,LV,CLE,0.451,0.029082766734073884,15.50746543902924,False
2026,13,CAR,TB,0.391,0.02888854786117222,13.534775160004678,False
2026,13,ATL,MIN,0.3591,0.028099635135391095,12.77952536642437,False
2026,13,NYJ,MIA,0.5051,0.024863816129970347,20.314661167042757,False
2026,13,MIA,NYJ,0.4949,0.02385452947364068,20.746584020735593,False
2026,13,NYG,IND,0.4757,0.022850949468470903,20.81751572976683,False
2026,13,IND,NYG,0.5243,0.02251780038618773,23.283801748309404,False
2026,13,NO,CIN,0.4061,0.021862531795603716,18.575158805791272,False
2026,13,HOU,BAL,0.3749,0.014619973171089562,25.64300191339273,False
2026,13,LAC,NE,0.3218,0.012886785694221484,24.971316171130024,False
2026,13,TEN,JAC,0.1514,0.012282761356383792,12.326218478657651,False
2026,13,SF,SEA,0.4,0.005751475756370564,69.54736783110735,False
