Year,Week,Team,Opponent,Sportsbook_Win_Pct,Estimated_Pick_Pct,Estimated_EV,Is_Upcoming_Week
2026,15,DET,TEN,0.7362,0.2015731956466921,3.652271313346524,False
2026,15,ATL,CLE,0.6262,0.10193830547423798,6.142931227734155,False
2026,15,SEA,NYG,0.7083,0.09506406926482514,7.450764578853135,False
2026,15,DEN,NYJ,0.6466,0.07448366084511754,8.681098547835207,False
2026,15,HOU,WAS,0.6194,0.0576678227144969,10.740825140330664,False
2026,15,CHI,MIA,0.5935,0.05481342011762772,10.827640361181064,False
2026,15,LAC,LV,0.5247,0.028618824271463585,18.334086509737897,False
2026,15,NO,CAR,0.4972,0.02572742661711329,19.32567945483028,False
2026,15,NE,MIN,0.5451,0.022868596986745135,23.836180256967463,False
2026,15,LV,LAC,0.4748,0.022751914043392947,20.868573918416317,False
2026,15,CAR,NO,0.5025,0.02177604707453687,23.075813451357863,False
2026,15,KC,CIN,0.4995,0.021676909106340538,23.04295310505755,False
2026,15,LA,SF,0.5356,0.020800180780792998,25.749776198799964,False
2026,15,BAL,TB,0.6569,0.020732430218048582,31.684659882667148,False
2026,15,CIN,KC,0.5002,0.018394488513904825,27.192927904567014,False
2026,15,TEN,DET,0.2636,0.01798032326807482,14.66047056384343,False
2026,15,CLE,ATL,0.3735,0.01767236560703677,21.134691772746034,False
2026,15,MIA,CHI,0.4062,0.017321657252767214,23.450412051947726,False
2026,15,NYJ,DEN,0.3532,0.017001605800153495,20.774508252438793,False
2026,15,IND,PHI,0.4431,0.016077912968817547,27.559547116555134,False
2026,15,NYG,SEA,0.2913,0.01556835887321575,18.711028077671106,False
2026,15,WAS,HOU,0.3802,0.015187265584316696,25.034131252212898,False
2026,15,GB,BUF,0.4973,0.014334528689471717,34.69245559257571,False
2026,15,TB,BAL,0.343,0.014150351345888677,24.239680811858936,False
2026,15,MIN,NE,0.4544,0.013522177825120153,33.60405445607002,False
2026,15,BUF,GB,0.5023,0.012302305570548117,40.82974505222118,False
2026,15,PIT,JAC,0.3724,0.01222771839515087,30.455395517423934,False
2026,15,SF,LA,0.4642,0.011983834771565427,38.735514036076985,False
2026,15,JAC,PIT,0.6275,0.009513723883451182,65.95734831988514,False
2026,15,PHI,IND,0.5566,0.0062685784890854565,88.79206042791436,False
