EntryName,Total_Wins,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13,Week_14,Week_15,Week_16,Week_17,Week_18,Planner,Contrarian,EV Hunter,Sprinter,Hoarder,Tourist,Picks_Used,Primary_Archetype,Archetype_Mix,Confidence
PRESENCE-5,18,LV,SF,TB,BUF,LAR,MIA,LAC,KC,NE,NO,PIT,HOU,NYG,MIN,SEA,BAL,CHI,IND,70.5,25.0,68.8,68.8,43.0,62.5,1,Planner,Planner (70) / EV Hunter (69) / Sprinter (69) / Tourist (62),Low
Rip Wheeler-1,18,NE,TB,CLE,LAR,PIT,MIA,LAC,PHI,TEN,NO,KC,HOU,GB,MIN,SEA,ARI,BAL,IND,58.8,6.2,93.8,93.8,46.9,34.4,1,EV Hunter,EV Hunter (94) / Sprinter (94),Low
ROBERTRUTTER-1,18,BUF,TB,IND,LAR,ARI,MIA,LAC,PHI,KC,GB,PIT,HOU,NYG,MIN,SEA,TEN,CHI,BAL,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
SHAMWOW.-1,18,PIT,TB,IND,LAR,ARI,BAL,BUF,KC,NE,GB,LAC,HOU,CLE,MIA,SEA,TEN,CHI,NO,100.0,18.8,81.2,81.2,15.2,37.5,1,Planner,Planner (100),Low
Slick Rick11-1,18,BUF,PIT,IND,LAR,ARI,MIA,PHI,TB,NE,GB,LAC,HOU,CLE,KC,SEA,TEN,NO,BAL,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
Staying Alive-4,18,PIT,TB,NE,LAR,ARI,IND,NO,PHI,KC,GB,LAC,HOU,CLE,MIA,SEA,TEN,CHI,BAL,100.0,18.8,81.2,81.2,15.2,37.5,1,Planner,Planner (100),Low
Sting-4,18,NE,TB,IND,LAR,BAL,MIA,BUF,PHI,PIT,GB,LAC,WAS,CLE,MIN,SEA,TEN,KC,NO,58.8,6.2,93.8,93.8,46.9,34.4,1,EV Hunter,EV Hunter (94) / Sprinter (94),Low
Texas Bound.-1,18,KC,SF,IND,LAR,ARI,MIA,BUF,TB,PIT,GB,LAC,HOU,CLE,LV,SEA,TEN,BAL,NO,95.6,12.5,96.9,96.9,7.6,13.3,1,EV Hunter,EV Hunter (97) / Sprinter (97) / Planner (96),Low
THAWK-1,18,BUF,ARI,CLE,TB,PIT,IND,LAR,KC,NE,NO,LAC,HOU,GB,MIA,SEA,TEN,BAL,MIN,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
TIM'S SUNSCREEN-1,18,NE,TEN,IND,LAR,NO,MIA,BUF,TB,HOU,PIT,LAC,WAS,GB,MIN,SEA,BAL,KC,CLE,58.8,6.2,93.8,93.8,46.9,34.4,1,EV Hunter,EV Hunter (94) / Sprinter (94),Low
