week,team,actual,behavioral,topdown,behavioral_err,topdown_err
5,DAL,0.00258,0.0079,0.01201,0.00532,0.00943
5,DEN,0.0,0.00021,0.0001,0.00021,0.0001
5,DET,0.13864,0.17611,0.18347,0.03747,0.04483
5,HOU,0.00169,0.00218,0.00182,0.00049,0.00013
5,IND,0.19421,0.52634,0.25294,0.33213,0.05873
5,JAX,0.0,0.00073,5e-05,0.00073,5e-05
5,KC,0.00185,0.00514,0.0173,0.00328,0.01544
5,LA,0.28422,0.01371,0.12345,-0.27051,-0.16077
5,LAC,0.00524,0.00854,0.00493,0.0033,-0.00031
5,LV,8e-05,8e-05,0.00014,0.0,6e-05
5,MIA,0.00137,0.01971,0.00347,0.01834,0.0021
5,MIN,0.02839,0.10402,0.07967,0.07563,0.05128
5,NE,0.0,0.00025,7e-05,0.00025,7e-05
5,NO,0.00798,0.00403,0.003,-0.00395,-0.00499
5,NYG,0.00177,0.00302,0.02013,0.00124,0.01836
5,NYJ,0.0004,0.00116,0.00456,0.00076,0.00416
5,PHI,0.00226,0.01104,0.02206,0.00878,0.0198
5,SEA,0.0125,0.01388,0.00195,0.00138,-0.01055
5,SF,0.0,0.00031,0.00015,0.00031,0.00015
5,TB,0.0,0.00018,5e-05,0.00018,5e-05
5,TEN,8e-05,0.00022,0.00027,0.00014,0.00019
5,WAS,0.00024,0.00089,0.00013,0.00065,-0.00011
6,ARI,0.00022,0.00011,0.00019,-0.0001,-2e-05
6,ATL,0.0,0.00038,2e-05,0.00038,2e-05
6,BAL,0.0,0.00013,7e-05,0.00013,7e-05
6,BUF,0.00194,0.00266,0.00566,0.00072,0.00372
6,CAR,0.0,0.00024,0.00035,0.00024,0.00035
6,CHI,0.00022,0.00098,0.0,0.00076,-0.00021
6,CIN,0.00022,2e-05,1e-05,-0.00019,-0.0002
6,CLE,0.00022,6e-05,2e-05,-0.00015,-0.00019
6,DAL,0.01034,0.01212,0.00907,0.00177,-0.00127
6,DEN,0.04848,0.02611,0.10809,-0.02237,0.05961
6,DET,0.0,0.00286,0.0003,0.00286,0.0003
6,GB,0.54471,0.71838,0.26549,0.17367,-0.27922
6,IND,0.04956,0.01173,0.13856,-0.03783,0.089
6,JAX,0.00043,0.0002,0.0004,-0.00023,-3e-05
6,KC,0.0,0.00024,0.00534,0.00024,0.00534
6,LA,0.05732,0.00435,0.05362,-0.05296,-0.0037
6,LAC,0.00474,0.00381,0.01536,-0.00093,0.01062
6,LV,0.06637,0.00408,0.02991,-0.06228,-0.03646
6,MIA,0.0,0.00059,0.00011,0.00059,0.00011
6,NE,0.01422,0.00905,0.01986,-0.00517,0.00564
6,NO,0.00022,0.00015,0.0001,-7e-05,-0.00012
6,NYG,0.0,7e-05,3e-05,7e-05,3e-05
6,NYJ,0.00022,8e-05,0.00025,-0.00014,4e-05
6,PHI,0.01918,0.10923,0.21101,0.09006,0.19184
6,PIT,0.16462,0.08294,0.10495,-0.08168,-0.05967
6,SEA,0.00022,0.00216,0.00024,0.00195,3e-05
6,SF,0.0,0.00256,8e-05,0.00256,8e-05
6,TB,0.00151,0.00069,0.0033,-0.00082,0.00179
6,TEN,0.0,0.00091,0.00058,0.00091,0.00058
6,WAS,0.01508,0.0031,0.02701,-0.01198,0.01192
7,ARI,0.0,2e-05,3e-05,2e-05,3e-05
7,ATL,0.00023,0.00197,0.0006,0.00174,0.00037
7,CAR,0.00702,0.00198,0.01679,-0.00504,0.00977
7,CHI,0.18283,0.02633,0.12867,-0.1565,-0.05415
7,CIN,0.0,0.00011,0.0,0.00011,0.0
7,CLE,0.03308,0.00037,0.01597,-0.03271,-0.0171
7,DAL,0.00068,0.00152,0.00429,0.00084,0.00361
7,DEN,0.09968,0.02989,0.06409,-0.06979,-0.03559
7,DET,0.0077,0.00499,0.00362,-0.00271,-0.00409
7,GB,0.03489,0.03686,0.04913,0.00197,0.01424
7,HOU,0.0,0.00017,4e-05,0.00017,4e-05
7,IND,0.0,0.00045,0.0003,0.00045,0.0003
7,JAX,0.0,5e-05,3e-05,5e-05,3e-05
7,KC,0.28976,0.74825,0.39218,0.45849,0.10242
7,LA,0.00227,0.00346,0.00192,0.00119,-0.00034
7,LAC,0.00249,0.00132,0.00375,-0.00117,0.00125
7,LV,0.0,2e-05,0.00012,2e-05,0.00012
