rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
48,VODKA JOHNNY-7,VODKA JOHNNY,9,23,0.00798,0.0,0.00672,47567.07,LAC 33%; MIN 30%; CHI 18%
49,The Docs Picks-2,The Docs Picks,9,23,0.009865,0.0,0.00552,47530.06,LAC 33%; MIN 30%; CHI 18%
50,MUSTwIN-1,MUSTwIN,9,23,0.009373,0.0,0.00456,47362.84,MIN 48%; SF 16%; BAL 10%
51,SARABJORDAN-10,SARABJORDAN,9,23,0.006508,0.0,0.00544,47265.39,CHI 33%; SF 19%; BAL 12%
52,OMG ITS KANG-4,OMG ITS KANG,9,23,0.007229,0.0,0.00672,47227.89,MIN 46%; CHI 27%; BUF 5%
53,GODBLESS KAYLAKARIS-6,GODBLESS KAYLAKARIS,9,23,0.009805,0.0,0.00664,46938.9,CHI 32%; MIN 27%; BAL 10%
54,Amy-8,Amy,9,23,0.008232,0.0,0.00512,46685.58,CHI 40%; BAL 15%; BUF 8%
55,JED-4,JED,9,23,0.010414,0.0,0.00528,46573.74,MIN 53%; BAL 11%; BUF 6%
56,DRAKELEYRE-5,DRAKELEYRE,9,23,0.008797,0.0,0.00624,46469.45,MIN 42%; CHI 25%; BAL 9%
57,UNCJERSEYMIKE-2,UNCJERSEYMIKE,9,23,0.008295,0.0,0.0064,46335.27,LAC 32%; MIN 29%; CHI 17%
58,HOFF_66-1,HOFF_66,9,23,0.008064,0.0,0.00496,46111.38,LAC 30%; MIN 28%; CHI 16%
59,KDLV-7,KDLV,9,23,0.007496,0.0,0.0044,46057.34,CHI 37%; SF 21%; BAL 13%
60,ATTACKOFTHESURVIVOR-10,ATTACKOFTHESURVIVOR,9,23,0.010681,0.0,0.00464,46039.46,MIN 39%; CHI 23%; SF 13%
61,Bet Openly-1,Bet Openly,9,23,0.007153,0.0,0.00672,45869.21,CHI 42%; BAL 15%; BUF 8%
62,BADBOYS 305-1,BADBOYS 305,9,23,0.0,0.0,0.00568,45605.0,LAC 39%; MIN 36%; BAL 8%
63,JOEMALC-6,JOEMALC,9,23,0.007816,0.0,0.00544,45556.83,MIN 38%; CHI 22%; SF 13%
64,Tapout59-1,Tapout59,9,23,0.0,0.0,0.00584,45388.79,LAC 39%; MIN 35%; BAL 7%
65,ONLY FRIENDS-8,ONLY FRIENDS,9,23,0.008828,0.0,0.00528,45345.73,LAC 34%; MIN 31%; CHI 18%
66,PUMBAPACK9-3,PUMBAPACK9,9,23,0.006497,0.0,0.00496,44921.35,LAC 33%; MIN 30%; CHI 18%
67,PACKDAGGER-4,PACKDAGGER,9,23,0.007345,0.0,0.006,44679.25,LAC 34%; MIN 31%; CHI 18%
68,drib1364-4,drib1364,9,23,0.0,0.0,0.00552,44602.38,LAC 38%; MIN 35%; BAL 7%
69,mill dog-8,mill dog,9,23,0.011991,0.0,0.00584,44332.96,MIN 59%; BAL 12%; KC 6%
70,HAWK TUAH-3,HAWK TUAH,9,23,0.006936,0.0,0.00584,43610.56,CHI 41%; BAL 15%; BUF 8%
71,Tam Tam-2,Tam Tam,9,23,0.008748,0.0,0.00544,43306.22,LAC 37%; MIN 34%; SF 11%
72,XGONGIVEITTOYA-2,XGONGIVEITTOYA,9,23,0.008408,0.0,0.00504,43161.9,LAC 42%; MIN 38%; PHI 3%
73,DURBIFY-1,DURBIFY,9,23,0.0,0.0,0.0064,42873.39,MIN 41%; LAC 39%; BAL 7%
74,H TOWN PKR-9,H TOWN PKR,9,23,0.0,0.0,0.00584,42403.65,LAC 61%; BAL 12%; NYG 4%
75,DR STRANGE-2,DR STRANGE,9,23,0.0067,0.0,0.00608,42288.87,LAC 46%; MIN 18%; CHI 15%
76,SENIOR JIBBLES-5,SENIOR JIBBLES,9,23,0.006232,0.0,0.00488,41902.76,LAC 34%; MIN 31%; CHI 18%
77,ACESHARP26-9,ACESHARP26,9,23,0.008204,0.0,0.00496,41569.65,LAC 51%; CHI 27%; KC 4%
78,NICKEL AND DIMING-4,NICKEL AND DIMING,9,23,0.006992,0.0,0.00536,41559.92,LAC 33%; MIN 30%; CHI 18%
79,LUCKY 13-2,LUCKY 13,9,23,0.006998,0.0,0.00552,41498.69,MIN 47%; CHI 27%; BUF 5%
80,VAN BUREN BOYS-9,VAN BUREN BOYS,9,23,0.007139,0.0,0.0068,41262.79,LAC 47%; CHI 25%; BAL 9%
81,DLC-JA-1,DLC-JA,9,23,0.007939,0.0,0.00496,41157.51,LAC 49%; CHI 26%; KC 4%
