rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,TRAINWRECK-3,TRAINWRECK,15,17,0.0,0.0,0.066,589300.65,ARI 58%; KC 17%; CIN 11%
2,DALLAS-3,DALLAS,15,17,0.121553,0.0,0.08208,459336.15,BAL 66%; ARI 21%; KC 6%
3,NFL WISEGUYS-5,NFL WISEGUYS,15,17,0.097838,0.0,0.07488,429637.7,ARI 61%; WAS 12%; KC 10%
4,DR STRANGE-3,DR STRANGE,15,17,0.078581,0.0,0.0664,417201.29,ARI 55%; KC 16%; CIN 10%
5,COUNTRY SOUDED-9,COUNTRY SOUDED,15,17,0.114679,0.0,0.0984,391748.63,BAL 67%; ARI 21%; CIN 4%
6,rock-2,rock,15,17,0.106079,0.0,0.07768,391006.31,BAL 68%; ARI 22%; CIN 4%
7,PAYDATMANHISMONEY-3,PAYDATMANHISMONEY,15,17,0.102449,0.0,0.07528,362239.49,BAL 68%; ARI 21%; CIN 4%
8,Sula-locke-2,Sula-locke,15,17,0.103392,0.0,0.0776,359128.19,BAL 66%; ARI 21%; CIN 4%
9,White Lotus-4,White Lotus,15,17,0.090863,0.0,0.0648,359099.55,ARI 54%; KC 15%; CIN 10%
10,DOG @ JOE FUND 1-1,DOG @ JOE FUND 1,15,17,0.092106,0.0,0.07328,337084.9,BAL 62%; ARI 20%; MIN 11%
11,Whiskey Business-1,Whiskey Business,15,17,0.092106,0.0,0.07384,336572.09,BAL 62%; ARI 20%; MIN 11%
12,SHEENA'S POMPOMS-7,SHEENA'S POMPOMS,15,17,0.091399,0.0,0.06656,332003.96,ARI 42%; MIN 23%; KC 12%
13,NFL WISEGUYS-6,NFL WISEGUYS,15,17,0.097838,0.0,0.0728,283610.42,ARI 35%; WAS 18%; KC 16%
14,PISTONS87-7,PISTONS87,15,17,0.092106,0.0,0.07408,282291.41,BAL 74%; ARI 14%; MIN 6%
15,hotlanta-3,hotlanta,15,17,0.060741,0.0,0.03688,277906.92,ARI 56%; HOU 12%; CIN 11%
16,mill dog-8,mill dog,15,17,0.107131,0.0,0.07184,276775.94,BAL 66%; ARI 21%; WAS 6%
17,COACHD-4,COACHD,15,17,0.087897,0.0,0.0604,271393.21,ARI 43%; MIN 24%; HOU 9%
18,WHATEVERYALLWANT-6,WHATEVERYALLWANT,15,17,0.085686,0.0,0.06872,260523.27,ARI 64%; CIN 12%; ATL 9%
19,NIKKO ITALIAN PONY-4,NIKKO ITALIAN PONY,15,17,0.0,0.0,0.04432,239349.92,BAL 69%; ARI 22%; CIN 4%
20,C3 Picks-9,C3 Picks,15,17,0.09126,0.0,0.0764,235217.19,ARI 47%; PHI 17%; ATL 15%
21,NELLIELEE25-2,NELLIELEE25,15,17,0.081782,0.0,0.07928,226451.41,ARI 72%; ATL 10%; GB 5%
22,TY1823-8,TY1823,15,17,0.0,0.0,0.03736,222601.9,BAL 62%; ARI 19%; MIN 11%
23,Tarz-2,Tarz,15,17,0.090065,0.0,0.06944,221800.16,ARI 47%; MIN 26%; WAS 13%
24,DRAKEMAY-9,DRAKEMAY,15,17,0.087897,0.0,0.0648,221209.62,ARI 46%; MIN 25%; HOU 10%
25,Just Say Yes-2,Just Say Yes,15,17,0.0,0.0,0.03992,219401.87,BAL 62%; ARI 19%; MIN 11%
26,Tommy Dawg-7,Tommy Dawg,15,17,0.081209,0.0,0.05912,209519.81,ARI 48%; MIN 26%; CIN 9%
27,JOEMALC-6,JOEMALC,15,17,0.081209,0.0,0.06056,206239.91,ARI 52%; MIN 29%; ATL 7%
28,Tapout59-1,Tapout59,15,17,0.0,0.0,0.04168,201077.25,BAL 66%; ARI 21%; CIN 4%
29,njtocal11-4,njtocal11,15,17,0.07766,0.0,0.05432,189680.16,ARI 49%; MIN 27%; CIN 9%
30,MEATBALL BROTHERS-2,MEATBALL BROTHERS,15,17,0.06882,0.0,0.05456,188291.6,ARI 64%; CIN 12%; ATL 9%
31,NICKEL AND DIMING-4,NICKEL AND DIMING,15,17,0.081209,0.0,0.06136,184192.27,ARI 51%; MIN 28%; ATL 7%
32,2 make the cut-1,2 make the cut,15,17,0.0,0.0,0.03712,179106.86,BAL 64%; ARI 20%; WAS 6%
33,DREAM STAKES-1,DREAM STAKES,15,17,0.0,0.0,0.03184,173373.71,BAL 62%; ARI 19%; MIN 11%
34,Ryan Hojo-10,Ryan Hojo,15,17,0.069819,0.0,0.05,168067.58,ARI 49%; MIN 25%; CIN 9%
35,VODKA JOHNNY-7,VODKA JOHNNY,15,17,0.069819,0.0,0.054,166248.79,ARI 52%; MIN 29%; ATL 7%
36,RUBBERINWALL-3,RUBBERINWALL,15,17,0.0,0.0,0.02664,158284.43,BAL 62%; ARI 19%; MIN 11%
37,THE NIGHTMAN COMETH-10,THE NIGHTMAN COMETH,15,17,0.0,0.0,0.02728,154726.65,BAL 67%; ARI 21%; CIN 4%
38,THEBIGHORSE-2,THEBIGHORSE,15,17,0.0,0.0,0.03224,148584.18,BAL 67%; ARI 18%; MIN 9%
39,IRONGATE-1,IRONGATE,15,17,0.0,0.0,0.02792,113132.39,BAL 62%; ARI 19%; MIN 11%
40,UNCJERSEYMIKE-2,UNCJERSEYMIKE,15,17,0.0,0.0,0.01896,99756.91,BAL 67%; ARI 21%; CIN 4%
41,FLOWMASTER-5,FLOWMASTER,15,17,0.0,0.0,0.02144,97895.34,BAL 81%; ARI 14%; ATL 2%
42,BIG HOUSE-2,BIG HOUSE,15,17,0.0,0.0,0.02032,86317.21,BAL 67%; ARI 21%; CIN 4%
43,DRGUESSEDIT-2,DRGUESSEDIT,15,17,0.0,0.0,0.00488,29857.6,BAL 84%; ARI 12%; CIN 2%
44,737 KEVIN-1,737 KEVIN,15,17,0.0,0.0,0.0044,26823.94,BAL 82%; ARI 14%; PHI 2%
