year,week,team,actual_pick_pct,blended_pred,topdown_pred,blended_err,topdown_err
2020,1,Kansas City Chiefs,0.0677348871085214,0.1174661655685967,0.1174661655685967,0.0497312784600753,0.0497312784600753
2020,1,Houston Texans,0.0,7.36845843170517e-05,7.36845843170517e-05,7.36845843170517e-05,7.36845843170517e-05
2020,1,Atlanta Falcons,0.0007283321194464,0.0011855483586794,0.0011855483586794,0.00045721623923300004,0.00045721623923300004
2020,1,Seattle Seahawks,0.0007283321194464,0.0015720351213075,0.0015720351213075,0.0008437030018610999,0.0008437030018610999
2020,1,Baltimore Ravens,0.0873998543335761,0.1064649307359126,0.1064649307359126,0.019065076402336498,0.019065076402336498
2020,1,Cleveland Browns,0.0,4.749268610064975e-05,4.749268610064975e-05,4.749268610064975e-05,4.749268610064975e-05
2020,1,Buffalo Bills,0.2257829570284049,0.1557414518920871,0.1557414518920871,0.0700415051363178,0.0700415051363178
2020,1,New York Jets,0.0007283321194464,0.0004982223800355,0.0004982223800355,0.00023010973941089996,0.00023010973941089996
2020,1,Carolina Panthers,0.0014566642388929,0.0007392265916024,0.0007392265916024,0.0007174376472904999,0.0007174376472904999
2020,1,Las Vegas Raiders,0.0087399854333576,0.0115624775729776,0.0115624775729776,0.002822492139619999,0.002822492139619999
2020,1,Detroit Lions,0.0058266569555717,0.008530928027041,0.008530928027041,0.0027042710714692995,0.0027042710714692995
2020,1,Chicago Bears,0.0,0.0004975996776599,0.0004975996776599,0.0004975996776599,0.0004975996776599
2020,1,Jacksonville Jaguars,0.0007283321194464,0.0004879402446399,0.0004879402446399,0.00024039187480649998,0.00024039187480649998
2020,1,Indianapolis Colts,0.3095411507647487,0.211058843667729,0.211058843667729,0.09848230709701969,0.09848230709701969
2020,1,Minnesota Vikings,0.0014566642388929,0.0007830616555138,0.0007830616555138,0.0006736025833790999,0.0006736025833790999
2020,1,Green Bay Packers,0.0007283321194464,0.0007470296541261,0.0007470296541261,1.8697534679700065e-05,1.8697534679700065e-05
2020,1,New England Patriots,0.12163146394756,0.0958507540351633,0.0958507540351633,0.0257807099123967,0.0257807099123967
2020,1,Miami Dolphins,0.0,8.969681777046356e-05,8.969681777046356e-05,8.969681777046356e-05,8.969681777046356e-05
2020,1,Washington Commanders,0.0,0.0001616616907069,0.0001616616907069,0.0001616616907069,0.0001616616907069
2020,1,Philadelphia Eagles,0.056081573197378,0.0956036838828038,0.0956036838828038,0.0395221106854258,0.0395221106854258
2020,1,Cincinnati Bengals,0.0,0.0009907010410145,0.0009907010410145,0.0009907010410145,0.0009907010410145
2020,1,Los Angeles Chargers,0.0065549890750182,0.0070991808668969,0.0070991808668969,0.0005441917918787001,0.0005441917918787001
2020,1,New Orleans Saints,0.0080116533139111,0.0043111540902093,0.0043111540902093,0.0037004992237018005,0.0037004992237018005
2020,1,Tampa Bay Buccaneers,0.0,0.000285615165608,0.000285615165608,0.000285615165608,0.000285615165608
2020,1,San Francisco 49ers,0.0356882738528769,0.1139490250326469,0.1139490250326469,0.07826075117977,0.07826075117977
2020,1,Arizona Cardinals,0.0,4.595140010836503e-05,4.595140010836503e-05,4.595140010836503e-05,4.595140010836503e-05
2020,1,Los Angeles Rams,0.0,0.0013080513338069,0.0013080513338069,0.0013080513338069,0.0013080513338069
2020,1,Dallas Cowboys,0.0014566642388929,0.0017042806800415,0.0017042806800415,0.00024761644114860005,0.00024761644114860005
2020,1,New York Giants,0.0,0.0002014456406859,0.0002014456406859,0.0002014456406859,0.0002014456406859
2020,1,Pittsburgh Steelers,0.0517115804806991,0.0524800138991349,0.0524800138991349,0.0007684334184357988,0.0007684334184357988
2020,1,Denver Broncos,0.0007283321194464,0.0006463593923089,0.0006463593923089,8.197272713749999e-05,8.197272713749999e-05
2020,1,Tennessee Titans,0.0058266569555717,0.0078157866127659,0.0078157866127659,0.0019891296571942,0.0019891296571942
