week,team,actual,behavioral,topdown,behavioral_err,topdown_err,alive,entry_logloss,entry_top1
2,ARI,0.00041,0.01037,0.00025,0.00996,-0.00016,7268,2.3106,0.3892
2,ATL,0.00248,0.01216,0.00457,0.00968,0.00209,7268,2.3106,0.3892
2,BAL,0.00014,0.00549,0.00086,0.00535,0.00073,7268,2.3106,0.3892
2,BUF,0.40382,0.21896,0.22849,-0.18486,-0.17533,7268,2.3106,0.3892
2,CAR,0.00014,0.00246,0.00059,0.00232,0.00045,7268,2.3106,0.3892
2,CHI,0.00014,0.0057,0.00059,0.00556,0.00046,7268,2.3106,0.3892
2,CIN,0.00495,0.01518,0.0094,0.01023,0.00444,7268,2.3106,0.3892
2,CLE,0.00151,0.00539,0.0087,0.00388,0.00719,7268,2.3106,0.3892
2,DAL,0.09769,0.18454,0.2307,0.08685,0.13302,7268,2.3106,0.3892
2,DEN,0.11654,0.03741,0.06457,-0.07913,-0.05197,7268,2.3106,0.3892
2,DET,0.04788,0.08422,0.06753,0.03634,0.01965,7268,2.3106,0.3892
2,GB,0.00124,0.00926,0.0013,0.00802,6e-05,7268,2.3106,0.3892
2,HOU,0.00564,0.01091,0.00192,0.00527,-0.00372,7268,2.3106,0.3892
2,IND,0.00316,0.01289,0.0041,0.00972,0.00094,7268,2.3106,0.3892
2,JAX,0.0,0.00105,0.00073,0.00105,0.00073,7268,2.3106,0.3892
2,KC,0.00069,0.02341,0.0037,0.02273,0.00301,7268,2.3106,0.3892
2,LA,0.0,0.00562,0.01233,0.00562,0.01233,7268,2.3106,0.3892
2,LAC,0.00482,0.033,0.01224,0.02819,0.00742,7268,2.3106,0.3892
2,LV,0.0,0.0008,5e-05,0.0008,5e-05,7268,2.3106,0.3892
2,MIA,0.00138,0.01005,0.0033,0.00867,0.00193,7268,2.3106,0.3892
2,MIN,0.00014,0.00073,4e-05,0.0006,-0.0001,7268,2.3106,0.3892
2,NE,0.00151,0.00785,0.0008,0.00633,-0.00071,7268,2.3106,0.3892
2,NO,0.01871,0.05616,0.02377,0.03744,0.00506,7268,2.3106,0.3892
2,NYG,0.17777,0.06409,0.16985,-0.11368,-0.00792,7268,2.3106,0.3892
2,NYJ,0.0,0.0007,0.00013,0.0007,0.00013,7268,2.3106,0.3892
2,PHI,0.03853,0.10257,0.08004,0.06405,0.04151,7268,2.3106,0.3892
2,PIT,0.00028,0.02567,0.00036,0.0254,8e-05,7268,2.3106,0.3892
2,SEA,0.0,0.00144,0.0001,0.00144,0.0001,7268,2.3106,0.3892
2,SF,0.04719,0.01249,0.05158,-0.0347,0.00439,7268,2.3106,0.3892
2,TB,0.02256,0.03108,0.01617,0.00852,-0.0064,7268,2.3106,0.3892
2,TEN,0.00014,0.00317,0.0005,0.00304,0.00037,7268,2.3106,0.3892
2,WAS,0.00055,0.00518,0.00074,0.00463,0.00019,7268,2.3106,0.3892
3,ARI,0.0,0.00201,5e-05,0.00201,5e-05,5916,2.0444,0.3895
3,ATL,0.00017,0.00382,0.0001,0.00365,-6e-05,5916,2.0444,0.3895
3,BAL,0.10497,0.07805,0.09957,-0.02692,-0.0054,5916,2.0444,0.3895
3,BUF,0.01183,0.01298,0.00335,0.00115,-0.00848,5916,2.0444,0.3895
3,CAR,0.0,0.00417,4e-05,0.00417,4e-05,5916,2.0444,0.3895
3,CHI,0.0,0.00074,1e-05,0.00074,1e-05,5916,2.0444,0.3895
3,CIN,0.00051,0.02491,0.00412,0.0244,0.00361,5916,2.0444,0.3895
3,CLE,0.00355,0.04228,0.0039,0.03874,0.00035,5916,2.0444,0.3895
3,DAL,0.06204,0.08906,0.17397,0.02702,0.11193,5916,2.0444,0.3895
3,DEN,0.0,0.00176,1e-05,0.00176,1e-05,5916,2.0444,0.3895
3,DET,0.00287,0.02114,0.00223,0.01827,-0.00064,5916,2.0444,0.3895
3,GB,0.00085,0.01092,0.00051,0.01008,-0.00034,5916,2.0444,0.3895
3,HOU,0.0,0.00285,1e-05,0.00285,1e-05,5916,2.0444,0.3895
3,IND,0.0,0.00088,2e-05,0.00088,2e-05,5916,2.0444,0.3895
3,JAX,0.40923,0.22054,0.21538,-0.18868,-0.19384,5916,2.0444,0.3895
3,KC,0.20909,0.10995,0.21042,-0.09915,0.00133,5916,2.0444,0.3895
3,LA,0.00034,0.00779,0.0001,0.00745,-0.00024,5916,2.0444,0.3895
3,LAC,0.00034,0.01422,0.00037,0.01388,3e-05,5916,2.0444,0.3895
3,LV,0.00389,0.01115,0.00283,0.00726,-0.00106,5916,2.0444,0.3895
3,MIA,0.036,0.07487,0.03654,0.03886,0.00054,5916,2.0444,0.3895
3,MIN,0.00017,0.00806,0.0004,0.0079,0.00023,5916,2.0444,0.3895
3,NE,0.00693,0.0077,0.00672,0.00077,-0.00021,5916,2.0444,0.3895
3,NO,0.00017,0.01038,0.0004,0.01021,0.00023,5916,2.0444,0.3895
3,NYG,0.0,0.0012,0.00116,0.0012,0.00116,5916,2.0444,0.3895
3,NYJ,0.0,0.02154,0.00051,0.02154,0.00051,5916,2.0444,0.3895
3,PHI,0.00304,0.02439,0.00463,0.02135,0.00158,5916,2.0444,0.3895
3,PIT,0.00017,0.00843,0.00011,0.00826,-6e-05,5916,2.0444,0.3895
3,SEA,0.06812,0.05751,0.06324,-0.01061,-0.00488,5916,2.0444,0.3895
3,SF,0.07573,0.11925,0.16813,0.04353,0.0924,5916,2.0444,0.3895
3,TB,0.0,0.00243,0.0,0.00243,0.0,5916,2.0444,0.3895
3,TEN,0.0,0.00316,3e-05,0.00316,3e-05,5916,2.0444,0.3895
3,WAS,0.0,0.00185,0.00113,0.00185,0.00113,5916,2.0444,0.3895
4,ARI,0.0,0.00052,7e-05,0.00052,7e-05,2474,1.7438,0.5558
4,ATL,0.0,0.00452,1e-05,0.00452,1e-05,2474,1.7438,0.5558
4,BAL,0.0004,0.00834,0.00152,0.00794,0.00112,2474,1.7438,0.5558
4,BUF,0.00081,0.00737,0.00211,0.00657,0.0013,2474,1.7438,0.5558
4,CAR,0.0,0.00302,9e-05,0.00302,9e-05,2474,1.7438,0.5558
4,CHI,0.0004,0.01774,0.00013,0.01733,-0.00027,2474,1.7438,0.5558
4,CIN,0.00243,0.03733,0.00668,0.0349,0.00425,2474,1.7438,0.5558
4,CLE,0.00121,0.00647,0.00011,0.00526,-0.00111,2474,1.7438,0.5558
4,DAL,0.01698,0.04872,0.03781,0.03174,0.02084,2474,1.7438,0.5558
4,DEN,0.02708,0.0145,0.01712,-0.01258,-0.00996,2474,1.7438,0.5558
4,DET,0.00121,0.01278,0.00319,0.01156,0.00197,2474,1.7438,0.5558
4,GB,0.0004,0.00417,0.00011,0.00377,-0.00029,2474,1.7438,0.5558
4,HOU,0.0,0.00489,0.00015,0.00489,0.00015,2474,1.7438,0.5558
4,IND,0.0004,0.0068,0.00045,0.0064,4e-05,2474,1.7438,0.5558
4,JAX,0.02749,0.03063,0.00435,0.00314,-0.02313,2474,1.7438,0.5558
4,KC,0.06508,0.02727,0.12789,-0.03781,0.06282,2474,1.7438,0.5558
4,LA,0.00081,0.01345,0.00098,0.01264,0.00017,2474,1.7438,0.5558
4,LAC,0.11681,0.10761,0.17565,-0.0092,0.05883,2474,1.7438,0.5558
4,LV,0.0,0.00201,0.0,0.00201,0.0,2474,1.7438,0.5558
4,MIA,0.0,0.00176,9e-05,0.00176,9e-05,2474,1.7438,0.5558
4,MIN,0.08165,0.07035,0.0981,-0.0113,0.01645,2474,1.7438,0.5558
4,NE,0.0,0.00133,0.0,0.00133,0.0,2474,1.7438,0.5558
4,NO,0.01132,0.02514,0.00307,0.01383,-0.00825,2474,1.7438,0.5558
4,NYG,0.00162,0.00772,0.00052,0.0061,-0.00109,2474,1.7438,0.5558
4,NYJ,0.0,0.00099,2e-05,0.00099,2e-05,2474,1.7438,0.5558
4,PHI,0.14026,0.11586,0.1837,-0.0244,0.04344,2474,1.7438,0.5558
4,PIT,0.019,0.02989,0.00808,0.01089,-0.01091,2474,1.7438,0.5558
4,SEA,0.00081,0.01827,0.0032,0.01746,0.00239,2474,1.7438,0.5558
4,SF,0.48383,0.36016,0.32463,-0.12367,-0.15921,2474,1.7438,0.5558
4,TB,0.0,0.00547,1e-05,0.00547,1e-05,2474,1.7438,0.5558
4,TEN,0.0,0.00427,0.0001,0.00427,0.0001,2474,1.7438,0.5558
4,WAS,0.0,0.00064,6e-05,0.00064,6e-05,2474,1.7438,0.5558
5,ARI,0.00126,0.0153,0.00063,0.01404,-0.00063,2381,1.5736,0.407
5,ATL,0.00924,0.01515,0.00383,0.00591,-0.00541,2381,1.5736,0.407
5,BAL,0.02436,0.00772,0.01355,-0.01664,-0.01081,2381,1.5736,0.407
5,BUF,0.01176,0.02263,0.02191,0.01087,0.01015,2381,1.5736,0.407
5,CAR,0.00042,0.00064,5e-05,0.00022,-0.00037,2381,1.5736,0.407
5,CHI,0.0,0.00477,0.0,0.00477,0.0,2381,1.5736,0.407
5,CIN,0.0231,0.01907,0.01678,-0.00403,-0.00632,2381,1.5736,0.407
5,DAL,0.0,0.00136,4e-05,0.00136,4e-05,2381,1.5736,0.407
5,DEN,0.00714,0.01136,0.00438,0.00422,-0.00276,2381,1.5736,0.407
5,DET,0.35153,0.33879,0.43521,-0.01274,0.08368,2381,1.5736,0.407
5,GB,0.00084,0.00457,0.00114,0.00373,0.0003,2381,1.5736,0.407
5,HOU,0.0021,0.01347,0.0006,0.01137,-0.0015,2381,1.5736,0.407
5,IND,0.00084,0.01012,5e-05,0.00928,-0.00079,2381,1.5736,0.407
5,JAX,0.0,0.00177,0.0,0.00177,0.0,2381,1.5736,0.407
5,KC,0.0021,0.01274,0.00388,0.01064,0.00178,2381,1.5736,0.407
5,LA,0.00042,0.00568,0.0,0.00526,-0.00042,2381,1.5736,0.407
5,LV,0.0021,0.02034,0.00072,0.01824,-0.00138,2381,1.5736,0.407
5,MIA,0.37379,0.37794,0.37448,0.00414,0.00069,2381,1.5736,0.407
5,MIN,0.0,0.00087,2e-05,0.00087,2e-05,2381,1.5736,0.407
5,NE,0.00546,0.01481,0.00569,0.00935,0.00023,2381,1.5736,0.407
5,NO,0.00084,0.01131,0.0002,0.01047,-0.00064,2381,1.5736,0.407
5,NYG,0.00042,0.00055,7e-05,0.00013,-0.00035,2381,1.5736,0.407
5,NYJ,0.00294,0.02255,0.00111,0.01961,-0.00183,2381,1.5736,0.407
5,PHI,0.00336,0.00689,0.00481,0.00353,0.00145,2381,1.5736,0.407
5,PIT,0.0,0.00862,0.0,0.00862,0.0,2381,1.5736,0.407
5,SF,0.00126,0.00444,0.0023,0.00318,0.00104,2381,1.5736,0.407
5,TEN,0.00168,0.01061,0.00858,0.00893,0.0069,2381,1.5736,0.407
5,WAS,0.17304,0.03594,0.09997,-0.1371,-0.07307,2381,1.5736,0.407
6,ARI,0.0,0.00218,4e-05,0.00218,4e-05,1835,1.2628,0.5951
6,ATL,0.00218,0.02289,0.00044,0.02071,-0.00174,1835,1.2628,0.5951
6,BAL,0.01853,0.02874,0.00361,0.01021,-0.01492,1835,1.2628,0.5951
6,BUF,0.20817,0.16339,0.27386,-0.04478,0.06569,1835,1.2628,0.5951
6,CAR,0.0,0.00062,4e-05,0.00062,4e-05,1835,1.2628,0.5951
6,CHI,0.00054,0.02397,0.00952,0.02342,0.00898,1835,1.2628,0.5951
6,CIN,0.00817,0.03603,0.00514,0.02785,-0.00304,1835,1.2628,0.5951
6,CLE,0.0,0.0037,0.0,0.0037,0.0,1835,1.2628,0.5951
6,DAL,0.0,0.00358,0.00123,0.00358,0.00123,1835,1.2628,0.5951
6,DEN,0.0,0.00219,9e-05,0.00219,9e-05,1835,1.2628,0.5951
6,DET,0.00272,0.00878,0.0024,0.00606,-0.00032,1835,1.2628,0.5951
6,HOU,0.00109,0.01541,0.00029,0.01432,-0.0008,1835,1.2628,0.5951
6,IND,0.0,0.00382,0.0,0.00382,0.0,1835,1.2628,0.5951
6,JAX,0.01362,0.03382,0.00943,0.0202,-0.00419,1835,1.2628,0.5951
6,KC,0.04578,0.01817,0.08766,-0.02761,0.04188,1835,1.2628,0.5951
6,LA,0.4267,0.35575,0.25722,-0.07095,-0.16948,1835,1.2628,0.5951
6,LAC,0.0,0.00865,0.00028,0.00865,0.00028,1835,1.2628,0.5951
6,LV,0.00981,0.0275,0.00928,0.01769,-0.00053,1835,1.2628,0.5951
6,MIA,0.23978,0.17004,0.21201,-0.06974,-0.02778,1835,1.2628,0.5951
6,MIN,0.00054,0.00687,8e-05,0.00633,-0.00047,1835,1.2628,0.5951
6,NE,0.00054,0.00544,9e-05,0.00489,-0.00046,1835,1.2628,0.5951
6,NO,0.00109,0.01392,0.00173,0.01283,0.00064,1835,1.2628,0.5951
6,NYG,0.0,0.00094,1e-05,0.00094,1e-05,1835,1.2628,0.5951
6,NYJ,0.0,0.00528,0.0,0.00528,0.0,1835,1.2628,0.5951
6,PHI,0.01362,0.01201,0.07768,-0.00162,0.06405,1835,1.2628,0.5951
6,SEA,0.0,0.00639,8e-05,0.00639,8e-05,1835,1.2628,0.5951
6,SF,0.00708,0.00901,0.04642,0.00192,0.03933,1835,1.2628,0.5951
6,TB,0.0,0.00452,0.00031,0.00452,0.00031,1835,1.2628,0.5951
6,TEN,0.0,0.00253,0.0,0.00253,0.0,1835,1.2628,0.5951
6,WAS,0.0,0.00385,0.00105,0.00385,0.00105,1835,1.2628,0.5951
7,ARI,0.0,0.00381,9e-05,0.00381,9e-05,1787,1.3537,0.6631
7,ATL,0.00056,0.01383,0.0002,0.01327,-0.00036,1787,1.3537,0.6631
7,BAL,0.01791,0.0159,0.00277,-0.00201,-0.01514,1787,1.3537,0.6631
7,BUF,0.10856,0.03441,0.12655,-0.07416,0.01799,1787,1.3537,0.6631
7,CHI,0.00112,0.01887,0.00018,0.01775,-0.00094,1787,1.3537,0.6631
7,CLE,0.04197,0.04013,0.03927,-0.00184,-0.0027,1787,1.3537,0.6631
7,DEN,0.0028,0.01464,0.00587,0.01184,0.00307,1787,1.3537,0.6631
7,DET,0.0,0.00196,0.0001,0.00196,0.0001,1787,1.3537,0.6631
7,GB,0.00504,0.03187,0.01088,0.02683,0.00585,1787,1.3537,0.6631
7,IND,0.00056,0.00805,0.00011,0.00749,-0.00045,1787,1.3537,0.6631
7,JAX,0.00056,0.01906,0.00014,0.0185,-0.00042,1787,1.3537,0.6631
7,KC,0.02071,0.02392,0.03683,0.00321,0.01612,1787,1.3537,0.6631
7,LA,0.0554,0.01813,0.03334,-0.03727,-0.02206,1787,1.3537,0.6631
7,LAC,0.0,0.00095,1e-05,0.00095,1e-05,1787,1.3537,0.6631
7,LV,0.02518,0.01832,0.04746,-0.00686,0.02227,1787,1.3537,0.6631
7,MIA,0.0,0.00045,4e-05,0.00045,4e-05,1787,1.3537,0.6631
7,MIN,0.0,0.00173,0.0,0.00173,0.0,1787,1.3537,0.6631
7,NE,0.0,0.00295,5e-05,0.00295,5e-05,1787,1.3537,0.6631
7,NO,0.0235,0.02038,0.00675,-0.00312,-0.01676,1787,1.3537,0.6631
7,NYG,0.0,0.0144,0.0013,0.0144,0.0013,1787,1.3537,0.6631
7,PHI,0.0028,0.01958,0.00215,0.01678,-0.00065,1787,1.3537,0.6631
7,PIT,0.00056,0.00979,0.00029,0.00923,-0.00027,1787,1.3537,0.6631
7,SEA,0.60325,0.58739,0.58845,-0.01586,-0.0148,1787,1.3537,0.6631
7,SF,0.0263,0.03473,0.05439,0.00843,0.02809,1787,1.3537,0.6631
7,TB,0.05652,0.03115,0.03115,-0.02537,-0.02537,1787,1.3537,0.6631
7,WAS,0.00672,0.01363,0.01162,0.00691,0.0049,1787,1.3537,0.6631
8,ARI,0.0,0.00373,1e-05,0.00373,1e-05,1234,1.3078,0.5989
8,ATL,0.00243,0.0242,0.00227,0.02177,-0.00016,1234,1.3078,0.5989
8,BAL,0.25527,0.11002,0.18721,-0.14524,-0.06806,1234,1.3078,0.5989
8,BUF,0.04052,0.01204,0.04462,-0.02848,0.0041,1234,1.3078,0.5989
8,CAR,0.00162,0.00858,0.00025,0.00696,-0.00137,1234,1.3078,0.5989
8,CHI,0.0,0.00412,0.0,0.00412,0.0,1234,1.3078,0.5989
8,CIN,0.00081,0.00487,1e-05,0.00405,-0.00081,1234,1.3078,0.5989
8,CLE,0.0,0.00837,0.0,0.00837,0.0,1234,1.3078,0.5989
8,DAL,0.01135,0.03112,0.04874,0.01978,0.03739,1234,1.3078,0.5989
8,DEN,0.0,0.00246,0.0,0.00246,0.0,1234,1.3078,0.5989
8,DET,0.08671,0.03527,0.11974,-0.05144,0.03303,1234,1.3078,0.5989
8,GB,0.00162,0.01924,0.00236,0.01761,0.00074,1234,1.3078,0.5989
8,HOU,0.0154,0.03465,0.00898,0.01925,-0.00642,1234,1.3078,0.5989
8,IND,0.0,0.00892,0.00037,0.00892,0.00037,1234,1.3078,0.5989
8,JAX,0.00081,0.00595,0.00237,0.00514,0.00156,1234,1.3078,0.5989
8,KC,0.00486,0.00981,0.03138,0.00495,0.02652,1234,1.3078,0.5989
8,LA,0.0,0.00231,0.0,0.00231,0.0,1234,1.3078,0.5989
8,LAC,0.51459,0.51722,0.42301,0.00263,-0.09158,1234,1.3078,0.5989
8,LV,0.0,0.00222,0.0,0.00222,0.0,1234,1.3078,0.5989
8,MIA,0.02917,0.01821,0.04757,-0.01096,0.01839,1234,1.3078,0.5989
