Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
SF,10.109,B.Purdy,0.838,0.343,12.188,8.103,-0.094,9.56,-3.453,-0.334
BAL,8.172,L.Jackson,0.889,0.431,8.944,7.209,-0.499,3.102,-5.865,0.572
DAL,7.61,D.Prescott,0.953,0.198,9.032,6.203,-0.945,5.966,-2.764,1.202
KC,6.996,P.Mahomes,1.0,0.0,7.347,6.395,0.82,6.247,-0.518,0.018
BUF,5.872,J.Allen,0.998,0.005,6.49,5.134,-0.092,6.344,-0.807,-0.318
MIA,5.6,T.Tagovailoa,0.917,0.261,5.893,5.11,-0.918,5.09,-1.967,-0.353
PHI,4.399,J.Hurts,0.969,0.07,6.533,2.636,1.854,5.197,0.887,0.744
CLE,2.58,S.Sanders,0.0,-1.024,1.471,3.256,0.559,-6.697,-5.616,1.834
CIN,2.501,J.Burrow,0.794,0.18,3.332,1.775,1.4,3.521,2.253,0.904
JAX,1.044,T.Lawrence,1.0,0.0,0.393,1.464,0.364,-1.042,-0.854,0.117
DET,1.022,J.Goff,0.993,0.028,2.015,0.252,-0.815,3.148,0.68,0.345
PIT,-0.096,A.Rodgers,0.0,4.101,1.466,-1.223,0.457,0.238,-1.775,-1.226
LAC,-0.264,J.Herbert,1.0,-0.0,0.389,-0.724,0.92,-0.002,1.329,0.893
LA,-0.318,M.Stafford,0.834,0.632,-0.202,-0.387,1.233,1.843,0.841,-2.235
SEA,-0.848,S.Darnold,0.0,-2.349,-3.269,0.948,1.661,-2.453,2.354,0.096
MIN,-0.912,J.McCarthy,0.0,-2.608,-2.325,0.156,-0.333,-4.223,-3.487,-1.325
GB,-1.445,J.Love,0.775,-0.475,-0.675,-1.931,-0.335,1.041,1.195,-0.36
NO,-1.674,T.Shough,0.0,-2.355,-4.033,0.117,-2.626,-4.221,-2.589,0.058
CHI,-1.757,C.Williams,0.0,-0.794,-2.253,-1.311,-0.528,-1.079,1.251,0.442
IND,-1.974,P.Rivers,0.0,2.809,-1.134,-2.485,-1.082,0.447,0.509,0.081
NYJ,-1.986,B.Cook,0.0,1.139,-2.443,-1.558,1.2,-7.97,-4.012,0.43
WAS,-2.366,M.Mariota,0.0,2.172,-3.314,-1.563,0.628,-0.532,2.259,-1.343
ATL,-2.618,K.Cousins,0.0,2.774,-2.659,-2.459,-2.605,-0.412,-1.084,-1.082
LV,-2.807,G.Smith,0.0,0.642,-2.973,-2.548,0.423,-3.739,-0.022,0.548
DEN,-2.95,B.Nix,0.0,-2.279,-3.268,-2.573,0.87,-4.753,-1.082,-0.288
NE,-3.679,D.Maye,0.0,-1.241,-5.02,-2.526,0.363,-5.683,-1.963,-1.839
TEN,-3.776,C.Ward,0.0,-2.029,-5.062,-2.658,-0.606,-3.401,1.057,-0.08
HOU,-3.837,C.Stroud,0.772,0.849,-2.481,-4.629,-1.582,-0.943,1.203,0.869
TB,-4.803,B.Mayfield,0.759,-0.521,-5.007,-4.417,-0.509,-2.431,2.168,-0.077
ARI,-5.762,J.Brissett,0.0,1.62,-4.667,-6.269,0.578,-3.576,2.582,1.011
NYG,-5.931,J.Dart,0.0,-0.834,-6.226,-5.423,0.726,-7.468,0.033,0.32
CAR,-7.283,B.Young,0.724,-0.66,-9.401,-5.389,-0.744,-7.676,1.3,0.251
