Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
BUF,9.733,J.Allen,0.991,-0.0,11.783,7.767,0.602,7.215,-1.431,2.688
KC,7.604,P.Mahomes,0.998,0.012,9.78,5.651,0.478,12.488,1.312,-1.547
PHI,6.36,J.Hurts,0.951,0.103,8.635,4.397,-2.036,9.463,-1.405,-0.334
SF,5.877,B.Purdy,0.138,-1.676,5.313,5.993,-1.525,2.819,-2.77,1.035
CIN,5.7,J.Burrow,0.973,0.145,6.882,4.561,0.494,5.789,-1.041,-0.131
DAL,5.541,D.Prescott,0.706,1.067,6.392,4.65,-1.554,4.769,-2.953,0.363
BAL,4.727,L.Jackson,0.772,1.034,6.121,3.484,-0.107,3.359,-0.533,2.342
MIA,2.762,T.Tagovailoa,0.765,0.385,2.843,2.567,0.4,3.485,0.088,-0.781
NE,2.063,D.Maye,0.0,-1.707,2.112,1.925,0.081,-1.635,-3.223,0.819
DET,0.568,J.Goff,0.928,0.049,0.376,0.679,0.232,3.741,4.549,1.199
NO,-0.146,T.Shough,0.0,-1.298,-2.299,1.421,0.113,-2.952,-0.931,-0.315
TB,-0.149,B.Mayfield,0.0,-1.847,-2.023,1.215,0.39,-1.042,-0.052,-1.492
WAS,-0.204,M.Mariota,0.0,1.446,0.225,-0.505,-0.941,-0.02,-1.306,-0.335
PIT,-0.56,A.Rodgers,0.0,3.804,1.657,-2.138,2.249,3.224,2.236,-1.482
SEA,-0.616,S.Darnold,0.0,-3.068,-3.037,1.168,-2.072,-0.449,2.607,1.824
CLE,-0.733,S.Sanders,0.0,-2.099,-2.521,0.598,0.909,-1.301,1.318,-1.035
TEN,-0.825,C.Ward,0.0,-2.938,-3.375,1.062,0.066,-1.756,1.803,0.14
LV,-0.977,G.Smith,0.0,-0.565,0.195,-1.778,-1.542,1.991,2.092,1.52
NYJ,-1.289,B.Cook,0.0,0.314,-1.473,-1.092,2.198,-4.325,-0.337,0.384
LA,-1.502,M.Stafford,0.707,1.102,-1.994,-1.071,1.13,-1.803,1.176,-0.005
IND,-1.741,P.Rivers,0.035,2.453,-0.523,-2.537,0.028,-1.457,-0.955,-0.035
LAC,-1.877,J.Herbert,0.999,0.008,-1.945,-1.735,0.196,0.863,2.825,-0.118
GB,-2.788,J.Love,0.011,-3.65,-5.86,-0.426,0.687,-0.893,3.99,-1.564
CAR,-2.801,B.Young,0.0,0.029,-2.111,-3.163,-0.979,-2.96,-1.362,0.321
MIN,-2.815,J.McCarthy,0.0,-3.191,-3.44,-2.223,0.787,-1.983,1.875,-0.704
JAX,-3.45,T.Lawrence,0.968,0.084,-4.621,-2.431,-0.462,1.569,5.155,-0.659
ARI,-3.873,J.Brissett,0.0,0.352,-4.694,-3.086,0.879,-1.782,2.035,-1.669
ATL,-5.193,K.Cousins,0.0,1.233,-5.82,-4.481,-0.213,1.792,7.218,-0.155
NYG,-5.369,J.Dart,0.0,-1.008,-7.003,-3.919,0.201,-2.464,4.722,-0.274
DEN,-5.548,B.Nix,0.0,-2.323,-6.515,-4.573,0.592,-7.086,-2.307,-2.201
CHI,-5.748,C.Williams,0.0,-0.74,-6.595,-4.849,-0.912,0.103,6.028,0.069
HOU,-9.583,C.Stroud,0.0,0.52,-10.373,-8.535,-0.471,-7.194,4.962,2.1
