Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
BAL,7.94,L.Jackson,0.921,0.269,8.406,7.208,0.434,5.518,-3.389,-0.801
BUF,7.712,J.Allen,1.0,0.0,9.625,5.944,-1.526,9.882,-2.037,-0.748
SF,6.584,B.Purdy,0.913,0.264,8.399,4.943,0.834,7.985,-1.502,-1.629
KC,5.787,P.Mahomes,0.967,0.297,6.433,5.032,0.761,4.451,-1.059,0.318
MIN,4.732,C.Wentz,0.0,0.272,6.146,3.472,0.739,1.62,-3.397,0.443
DET,4.098,J.Goff,1.0,0.0,5.672,2.755,0.108,4.348,-0.605,0.663
NO,3.206,S.Rattler,0.0,-2.135,3.198,3.053,-1.831,1.072,-2.501,1.468
DAL,2.841,D.Prescott,0.979,0.08,2.902,2.655,1.35,3.141,3.25,1.779
PIT,2.78,A.Rodgers,0.0,2.34,5.845,0.423,-0.635,1.087,-4.978,0.336
GB,2.223,J.Love,0.671,1.154,7.069,-1.396,-0.709,6.691,-1.253,-0.21
MIA,1.941,T.Tagovailoa,0.837,0.989,-0.322,3.484,1.117,-0.548,-0.137,-0.815
PHI,1.481,J.Hurts,0.987,0.036,2.664,0.55,0.743,4.686,2.435,-0.171
LAC,1.267,J.Herbert,0.852,0.618,1.646,0.93,-0.861,-1.2,-2.742,0.748
SEA,0.789,S.Darnold,0.0,-1.748,0.189,1.185,-0.877,-1.835,-2.615,0.157
NYJ,-0.499,J.Fields,0.0,0.591,-1.225,0.053,-0.8,-3.552,-3.381,-0.406
HOU,-0.983,C.Stroud,0.848,0.684,0.276,-1.845,-1.79,-0.375,-1.425,0.615
CIN,-1.026,J.Browning,0.247,-0.635,-2.372,-0.0,0.535,3.152,4.584,-1.448
LA,-1.698,M.Stafford,0.886,0.394,-1.11,-2.04,2.541,1.805,4.81,-0.714
TB,-1.799,B.Mayfield,0.91,-0.189,-1.34,-2.042,-0.114,-1.361,1.323,1.397
CLE,-1.848,J.Flacco,0.21,0.804,-1.392,-2.087,-1.228,-6.973,-3.585,2.98
DEN,-1.882,B.Nix,0.393,-0.87,-2.969,-1.002,0.836,-6.955,-2.217,1.082
IND,-2.386,D.Jones,0.0,0.573,-3.661,-1.345,-1.408,-2.695,-0.57,-0.221
ARI,-2.797,K.Murray,0.722,0.986,-1.199,-3.815,2.171,0.769,3.571,0.193
LV,-2.827,G.Smith,0.0,0.911,-4.226,-1.674,0.599,-5.363,-0.085,0.593
JAX,-2.901,T.Lawrence,0.962,0.054,-6.07,-0.462,0.622,-2.861,3.458,-0.51
ATL,-3.997,M.Penix,0.0,-1.347,-6.711,-1.834,0.857,-4.35,1.554,-1.591
WAS,-4.39,M.Mariota,0.0,0.657,-5.147,-3.625,-1.167,4.115,7.491,-0.883
CHI,-4.434,C.Williams,0.395,-1.54,-7.07,-2.304,-0.887,-9.514,-3.477,-0.297
TEN,-4.999,C.Ward,0.0,-0.095,-7.162,-3.184,-0.988,-4.582,0.987,-0.742
NE,-5.149,D.Maye,0.0,-1.284,-5.911,-4.342,0.304,-6.065,0.029,-0.189
NYG,-5.864,J.Dart,0.0,-0.849,-6.199,-5.332,0.145,-5.267,0.254,-0.919
CAR,-7.791,B.Young,0.75,-0.868,-9.257,-6.342,-0.05,-7.36,1.362,-0.541
