Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
KC,8.417,P.Mahomes,0.978,0.195,9.436,7.262,1.143,4.511,-3.895,0.081
BAL,8.273,L.Jackson,0.953,0.2,9.452,7.009,0.828,9.69,0.39,-0.535
DET,6.946,J.Goff,1.0,0.0,8.685,5.342,-0.045,7.087,-0.363,1.601
BUF,5.525,J.Allen,1.0,-0.0,7.775,3.621,-1.005,8.506,-1.492,-1.123
MIN,3.976,J.McCarthy,0.0,-1.213,5.089,2.972,1.685,0.858,-2.956,0.961
SF,3.792,M.Jones,0.0,-3.769,4.095,3.385,0.136,2.844,-2.508,-1.299
PIT,2.925,A.Rodgers,0.0,1.806,6.341,0.306,-1.505,2.865,-2.33,2.416
LAC,1.893,J.Herbert,0.907,0.389,3.971,0.295,-0.547,-0.718,-3.934,1.212
WAS,1.701,J.Daniels,0.567,2.118,3.292,0.464,-1.845,7.138,1.427,-0.905
PHI,1.683,J.Hurts,0.992,0.027,2.685,0.874,-1.124,5.763,2.015,-0.061
GB,1.4,J.Love,0.805,0.665,5.345,-1.525,0.141,4.81,-0.619,-1.192
DAL,0.406,D.Prescott,0.987,0.051,-0.521,1.058,1.614,1.814,4.581,0.532
DEN,0.299,B.Nix,0.653,-0.187,-0.626,0.954,-1.219,-4.251,-3.767,0.978
HOU,0.109,D.Mills,0.044,-3.201,-0.446,0.506,-0.48,-4.092,-3.951,0.32
TB,-0.287,B.Mayfield,0.947,-0.087,0.415,-0.782,0.805,2.812,3.794,0.672
CHI,-0.504,C.Williams,0.622,-0.101,-1.224,0.042,-1.295,-2.836,-2.306,0.452
LA,-0.873,M.Stafford,0.927,0.228,-1.232,-0.57,1.831,0.952,2.51,-1.518
NYJ,-1.341,J.Fields,0.0,-0.267,-3.136,0.025,0.155,-4.402,-2.505,-1.394
JAX,-1.392,T.Lawrence,0.978,0.038,-3.456,0.172,-0.27,1.038,5.408,1.018
MIA,-1.473,T.Tagovailoa,0.629,1.579,-3.776,0.267,-1.242,-2.4,-0.472,-0.743
CIN,-1.839,J.Flacco,0.0,-2.802,-2.512,-1.26,0.044,1.696,4.377,0.103
IND,-1.901,D.Jones,0.0,0.671,-1.517,-2.085,-0.645,-1.715,-1.297,-0.485
NO,-2.259,T.Shough,0.0,-0.945,-3.983,-0.899,-0.559,-2.115,1.272,-0.033
SEA,-2.579,S.Darnold,0.0,-1.68,-4.712,-0.907,0.339,-1.501,4.077,0.468
LV,-2.745,G.Smith,0.0,1.442,-4.258,-1.514,1.309,-6.334,-0.182,0.83
ATL,-2.852,M.Penix,0.0,-1.834,-4.963,-1.182,-0.792,1.458,4.017,-1.75
CLE,-2.868,D.Gabriel,0.0,0.175,-3.693,-2.129,0.259,-6.537,-0.922,1.675
TEN,-3.034,C.Ward,0.0,-0.095,-4.382,-1.908,0.645,-5.153,-1.518,-1.302
ARI,-3.549,J.Brissett,0.0,-0.285,-3.618,-3.323,2.334,1.192,6.031,-0.536
NE,-6.491,D.Maye,0.174,-0.087,-8.206,-4.928,-0.412,-6.297,3.057,1.12
NYG,-6.618,J.Dart,0.0,-1.084,-7.74,-5.478,0.616,-5.186,2.237,-0.912
CAR,-10.125,B.Young,0.52,-1.548,-14.207,-6.668,-0.819,-7.737,5.283,-0.554
