Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
BUF,9.006,J.Allen,0.933,-0.071,9.151,8.454,-1.54,4.877,-5.086,0.776
KC,6.424,P.Mahomes,0.978,0.109,6.735,5.88,1.236,7.815,3.196,1.103
TB,6.007,B.Mayfield,0.0,-1.58,6.154,5.604,-0.763,6.832,0.044,0.203
BAL,5.418,L.Jackson,0.907,0.585,4.767,5.621,-0.097,3.105,0.083,1.973
NE,4.525,D.Maye,0.0,-2.415,3.95,4.717,-1.527,0.912,-0.643,3.743
ARI,3.878,J.Brissett,0.0,-0.886,6.479,1.802,0.068,5.031,-1.941,-0.601
DAL,3.515,D.Prescott,0.77,0.736,3.776,3.152,0.158,3.312,-0.018,-0.056
GB,2.606,J.Love,0.066,-3.831,4.166,1.347,-0.131,4.858,-0.458,-1.027
SF,2.59,B.Purdy,0.0,-2.883,0.858,3.716,0.436,0.878,-0.606,-0.911
IND,2.267,D.Jones,0.0,-1.322,3.004,1.62,-0.645,2.547,0.98,1.97
CIN,2.162,J.Burrow,0.868,0.522,1.566,2.486,-2.241,3.63,0.743,0.711
LA,1.834,M.Stafford,0.722,0.331,1.92,1.681,0.973,1.921,-0.573,-1.292
TEN,0.676,C.Ward,0.0,-2.969,-1.478,2.202,0.434,0.587,1.87,-0.6
CLE,0.45,S.Sanders,0.0,-2.236,-0.92,1.42,-0.188,1.366,1.645,-0.303
MIN,-0.555,M.Brosmer,0.0,-2.797,-0.232,-0.761,0.665,1.97,2.542,-0.237
MIA,-0.611,T.Tagovailoa,0.521,0.07,-1.654,0.175,0.089,-0.992,0.43,-0.363
WAS,-0.833,M.Mariota,0.0,0.819,-2.83,0.654,1.16,0.684,4.386,-0.177
LV,-0.842,G.Smith,0.0,-3.026,-2.716,0.556,-0.064,0.209,2.871,-0.031
NO,-0.855,T.Shough,0.0,-1.98,-1.824,-0.112,0.838,-2.853,-0.35,-0.082
CAR,-0.941,B.Young,0.0,-0.542,-2.748,0.415,-0.856,-2.566,-1.963,-1.017
DEN,-1.531,B.Nix,0.0,-2.075,-2.387,-0.836,-1.751,-0.62,0.89,0.926
LAC,-1.614,J.Herbert,0.954,0.034,-1.106,-1.902,0.907,5.929,4.659,-2.749
SEA,-1.758,S.Darnold,0.0,-2.626,-2.748,-0.953,0.816,-2.891,2.393,1.838
PHI,-2.26,J.Hurts,0.826,0.113,-3.027,-1.593,-0.22,0.027,2.667,-0.268
CHI,-3.495,C.Williams,0.0,-0.222,-4.577,-2.538,-0.037,-1.203,1.737,-1.841
PIT,-3.81,A.Rodgers,0.0,2.327,-1.118,-5.57,0.2,-0.121,2.807,0.931
NYG,-5.469,J.Dart,0.0,-0.679,-5.462,-5.203,0.597,-3.318,2.656,-0.025
ATL,-6.657,K.Cousins,0.0,-0.01,-6.65,-6.332,-1.265,0.7,4.79,-1.396
HOU,-7.803,C.Stroud,0.0,-0.478,-6.515,-8.348,0.224,-3.452,3.413,0.181
NYJ,-8.365,T.Taylor,0.0,-0.833,-11.787,-5.472,1.45,-4.513,7.41,-1.363
DET,-8.531,J.Goff,0.669,0.246,-10.163,-6.927,0.39,-4.237,7.137,0.484
JAX,-10.004,T.Lawrence,0.751,0.004,-13.159,-7.224,0.852,-4.639,8.559,-0.79
