Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
SF,8.611,B.Purdy,0.859,0.264,10.589,6.752,0.276,8.539,-2.827,-0.657
BAL,8.404,T.Huntley,0.082,-3.323,7.495,8.647,0.406,-0.114,-6.381,1.024
BUF,6.403,J.Allen,0.999,0.005,6.759,5.828,-0.005,6.347,-1.442,-0.795
DAL,5.562,D.Prescott,0.959,0.166,6.975,4.263,-0.444,5.225,-1.69,0.518
MIA,5.084,Q.Ewers,0.0,-3.586,3.094,6.272,-0.983,1.289,-2.449,0.285
PHI,4.639,J.Hurts,0.973,0.07,6.503,3.06,0.518,6.082,0.321,0.459
CLE,4.123,S.Sanders,0.0,-1.038,4.107,3.93,-0.063,-4.862,-6.973,2.056
KC,3.363,C.Oladokun,0.0,-7.052,-0.533,6.017,0.252,-2.196,-1.502,0.059
DET,2.609,J.Goff,0.994,0.025,4.211,1.321,-0.522,4.681,0.064,0.111
LA,1.649,M.Stafford,0.856,0.548,1.703,1.528,0.554,2.623,-0.704,-2.075
CIN,1.187,J.Burrow,0.693,0.381,1.822,0.669,1.542,3.099,3.561,0.771
PIT,1.01,A.Rodgers,0.0,4.0,3.024,-0.498,0.585,1.249,-1.94,-0.681
LV,-0.38,G.Smith,0.0,1.005,0.638,-1.098,0.47,-2.737,-2.286,1.03
LAC,-1.033,J.Herbert,0.87,0.675,-0.383,-1.453,1.27,-0.559,2.01,0.867
SEA,-1.208,S.Darnold,0.0,-2.373,-3.016,0.162,1.571,-1.731,2.953,0.305
MIN,-1.22,M.Brosmer,0.0,-2.606,-2.766,-0.04,0.228,-3.295,-1.458,-1.144
CHI,-1.224,C.Williams,0.0,-0.753,-1.537,-0.936,-0.345,-1.679,-0.486,-0.124
JAX,-1.249,T.Lawrence,1.0,0.0,-2.123,-0.555,0.785,-2.135,0.332,-0.479
NO,-1.701,T.Shough,0.0,-2.412,-3.739,-0.141,-2.351,-4.263,-2.524,0.196
ATL,-1.776,K.Cousins,0.0,2.705,-1.771,-1.691,-2.899,-0.212,-1.91,-0.968
TB,-2.111,B.Mayfield,0.79,-0.396,-1.669,-2.327,-0.484,-0.176,1.486,0.331
IND,-2.162,P.Rivers,0.0,2.915,-1.292,-2.684,-1.322,1.127,0.829,-0.26
NYJ,-2.558,B.Cook,0.0,1.248,-3.532,-1.726,1.13,-7.501,-2.314,0.599
HOU,-3.408,C.Stroud,0.67,1.453,-2.673,-3.772,-1.535,-1.644,1.255,1.174
NE,-3.809,D.Maye,0.0,-1.016,-5.026,-2.739,0.513,-5.427,-1.462,-1.69
DEN,-3.909,B.Nix,0.0,-2.283,-5.337,-2.681,0.724,-5.619,0.067,-0.208
TEN,-4.327,C.Ward,0.0,-2.013,-5.61,-3.184,-0.69,-3.549,1.067,-0.398
GB,-4.477,M.Willis,0.0,-6.926,-7.501,-2.066,-0.622,-3.978,2.836,-0.262
WAS,-4.556,J.Johnson,0.0,1.807,-5.76,-3.458,-0.13,-1.914,1.977,-1.999
ARI,-5.892,J.Brissett,0.0,1.827,-4.934,-6.293,1.353,-3.26,4.076,1.254
CAR,-6.703,B.Young,0.761,-0.419,-8.667,-4.948,-0.588,-6.779,1.403,0.052
NYG,-7.834,J.Dart,0.0,-0.369,-8.053,-7.287,0.543,-7.735,1.522,0.387
