Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
BAL,8.917,L.Jackson,0.957,0.189,9.983,7.703,0.564,10.139,0.252,-0.366
KC,8.148,P.Mahomes,0.98,0.18,9.077,7.072,1.374,5.118,-2.73,0.077
DET,7.649,J.Goff,1.0,0.0,10.008,5.561,0.318,7.399,-0.74,1.894
BUF,4.947,J.Allen,1.0,0.0,6.791,3.366,-1.099,8.609,0.122,-0.535
MIN,4.124,J.McCarthy,0.0,-1.205,5.409,2.99,1.251,0.979,-3.913,0.469
SF,4.071,M.Jones,0.0,-3.767,4.336,3.677,0.415,2.845,-2.508,-1.299
PHI,2.944,J.Hurts,0.993,0.026,4.401,1.743,-1.312,5.599,0.105,0.138
PIT,2.868,A.Rodgers,0.0,1.84,6.351,0.203,-1.533,2.899,-2.33,2.416
LAC,1.914,J.Herbert,0.916,0.352,4.786,-0.261,-1.074,-0.397,-5.106,0.988
WAS,0.96,M.Mariota,0.081,-0.945,0.709,1.094,-2.026,5.043,2.078,-0.579
GB,0.478,J.Love,0.821,0.583,3.791,-1.945,0.824,3.996,0.316,-1.503
TB,0.197,B.Mayfield,0.951,-0.077,1.284,-0.6,1.962,3.398,4.444,0.613
DAL,-0.012,D.Prescott,0.988,0.044,-1.327,0.941,1.581,1.309,5.135,0.842
CIN,-0.382,J.Flacco,0.0,-3.189,-1.407,0.38,-0.473,2.552,3.703,0.093
NYJ,-0.473,J.Fields,0.0,-0.442,-1.609,0.373,0.124,-3.97,-3.01,-0.775
DEN,-0.528,B.Nix,0.683,-0.252,-1.333,0.082,-0.109,-4.076,-2.14,0.763
MIA,-0.751,T.Tagovailoa,0.663,1.492,-2.718,0.71,-0.611,-0.476,0.461,-1.222
LA,-1.039,M.Stafford,0.934,0.207,-1.243,-0.839,1.397,0.692,1.368,-2.013
HOU,-1.101,D.Mills,0.04,-3.088,-2.507,-0.029,-1.067,-4.594,-3.385,-0.185
ARI,-1.958,J.Brissett,0.0,-0.29,-2.387,-1.55,2.089,1.406,4.831,-0.531
ATL,-2.109,M.Penix,0.0,-1.927,-3.711,-0.844,-0.523,2.003,3.349,-1.939
SEA,-2.137,S.Darnold,0.0,-1.612,-4.301,-0.464,0.522,-2.303,3.564,1.022
CHI,-2.334,C.Williams,0.657,-0.238,-2.717,-1.941,-1.629,-3.452,-1.711,0.455
NO,-2.509,T.Shough,0.0,-1.113,-4.041,-1.275,-1.278,-1.349,1.129,-0.389
IND,-2.54,D.Jones,0.0,0.83,-2.311,-2.579,-0.693,-2.49,-0.901,-0.072
JAX,-2.699,T.Lawrence,0.98,0.034,-5.395,-0.612,-0.407,-0.695,5.283,0.748
CLE,-3.01,D.Gabriel,0.0,0.002,-4.724,-1.619,0.637,-7.542,-0.612,1.635
TEN,-3.7,C.Ward,0.0,-0.302,-4.617,-2.852,-0.322,-4.763,-1.906,-1.482
LV,-4.241,G.Smith,0.0,1.392,-5.687,-2.984,1.321,-6.014,1.481,0.76
NE,-5.849,D.Maye,0.246,-0.084,-7.974,-4.02,-0.546,-6.248,2.907,1.303
NYG,-6.654,J.Dart,0.0,-1.233,-7.814,-5.484,0.993,-4.214,3.436,-1.079
CAR,-9.738,B.Young,0.562,-1.351,-13.588,-6.467,-0.941,-7.039,5.657,-0.148
