Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game,Rank,MP_Rating,Rating_Last,Rank_Last,Change,QB used,Diff,Abs_Diff
SEA,8.985,D.Lock,0.148,-1.961,9.631,8.072,1.582,0.984,-5.313,2.212,2,4.84,5.13,1,1,Nix,4.145,4.145
JAX,5.152,T.Lawrence,0.936,0.095,5.768,4.451,-2.831,4.556,-2.672,0.983,3,4.58,2.48,8,-5,Lawrence,0.5720000000000001,0.5720000000000001
SF,5.022,B.Purdy,0.72,1.203,7.531,2.957,1.75,8.067,3.275,1.233,1,4.99,2.83,5,-4,Purdy,0.03200000000000003,0.03200000000000003
BAL,4.782,L.Jackson,0.793,0.928,7.103,2.864,-0.429,7.727,-0.891,0.117,4,4.18,2.59,7,-3,Jackson,0.6020000000000003,0.6020000000000003
LA,4.756,M.Stafford,0.992,0.029,5.499,3.983,2.477,6.818,2.238,-1.233,8,1.86,4.08,2,6,Stafford,2.896,2.896
HOU,4.393,C.Stroud,0.845,0.464,5.185,3.602,0.938,-1.202,-4.072,1.556,14,1.08,1.85,11,3,Stroud,3.3129999999999997,3.3129999999999997
NE,4.013,D.Maye,0.963,0.077,4.464,3.487,0.606,1.789,-2.073,0.076,11,1.31,1.57,12,-1,Maye,2.703,2.703
BUF,3.69,J.Allen,0.945,0.295,6.518,1.459,0.302,8.373,0.966,-1.055,5,3.45,2.76,6,-1,Allen,0.23999999999999977,0.23999999999999977
DET,3.649,J.Goff,1.0,0.0,4.035,3.189,-0.287,3.32,-0.634,0.426,7,2.61,2.87,4,3,Goff,1.0390000000000001,1.0390000000000001
PHI,3.078,J.Hurts,0.926,0.24,4.672,1.771,-0.45,1.81,-3.313,-0.058,12,1.25,2.38,9,3,Hurts,1.8279999999999998,1.8279999999999998
MIN,2.69,C.Wentz,0.349,1.5,4.924,0.939,1.554,-1.867,-4.791,0.743,15,0.85,0.28,15,0,Murray,1.8399999999999999,1.8399999999999999
CHI,2.441,C.Williams,1.0,0.0,4.301,0.972,-0.334,6.323,2.76,1.116,10,1.39,-0.49,17,-7,Williams,1.051,1.051
GB,2.396,J.Love,0.835,0.624,2.945,1.88,1.617,5.21,2.181,-1.551,6,2.78,3.3,3,3,Love,-0.3839999999999999,0.3839999999999999
DEN,2.21,B.Nix,0.947,0.194,1.545,2.581,-0.314,-0.372,-2.264,-0.067,13,1.09,2.34,10,3,Nix,1.1199999999999999,1.1199999999999999
KC,1.849,P.Mahomes,0.84,1.258,3.643,0.458,-0.696,2.996,-1.765,-0.452,9,1.68,1.47,13,-4,Mahomes,0.16900000000000004,0.16900000000000004
PIT,0.389,A.Rodgers,0.834,0.024,0.631,0.195,0.591,-2.759,-1.604,1.265,21,-1.24,-0.84,20,1,Rodgers,1.629,1.629
CIN,0.263,J.Burrow,0.629,1.12,1.629,-0.74,-0.636,4.179,3.575,1.504,20,-1.2,-1.19,22,-2,Burrow,1.463,1.463
WAS,-0.763,J.Daniels,0.557,1.097,-0.887,-0.634,0.713,3.463,5.842,0.932,18,-0.75,-1.3,23,-5,Daniels,-0.013000000000000012,0.013000000000000012
ATL,-1.243,C.Rush,0.177,-2.946,-2.66,-0.156,-0.988,-4.211,-3.721,-1.228,17,-0.42,-0.55,18,-1,Rush,-0.8230000000000002,0.8230000000000002
ARI,-1.437,J.Brissett,0.714,-0.384,-1.793,-1.108,0.788,2.048,2.697,-1.773,22,-1.32,-2.42,25,-3,Brissett,-0.11699999999999999,0.11699999999999999
LAC,-1.944,J.Herbert,0.949,0.296,-2.797,-1.229,-0.981,-1.861,-0.761,-0.844,25,-1.8,-0.37,16,9,Herbert,-0.1439999999999999,0.1439999999999999
IND,-2.058,D.Jones,0.625,0.453,-2.934,-1.321,1.804,0.047,5.432,-0.416,19,-0.91,0.65,14,5,Jones,-1.1479999999999997,1.1479999999999997
NYG,-2.242,J.Dart,0.693,0.812,-2.06,-2.263,-1.251,4.718,5.397,-0.439,24,-1.78,-3.58,30,-6,Dart,-0.46199999999999997,0.46199999999999997
TB,-2.877,B.Mayfield,1.0,0.0,-4.085,-1.86,-0.371,0.152,2.797,-1.0,16,-0.38,-0.64,19,-3,Mayfield,-2.497,2.497
