Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game,Rank,MP_Rating,Rating_Last,Rank_Last,Change,QB used,Diff,Abs_Diff
SEA,8.493,S.Darnold,0.685,0.317,8.686,7.932,0.532,4.58,-1.923,1.771,1,9.53,9.76,1,0,Darnold,-1.036999999999999,1.036999999999999
DET,7.752,J.Goff,1.0,0.0,10.055,5.699,0.313,7.681,-1.906,0.354,8,3.74,4.04,7,-1,Goff,4.012,4.012
LA,7.014,M.Stafford,0.974,0.025,8.423,5.646,0.938,6.531,-2.818,-1.73,2,9.47,9.27,2,0,Stafford,-2.4560000000000004,2.4560000000000004
BAL,5.122,L.Jackson,0.772,1.202,6.373,3.961,1.422,5.896,1.721,0.998,5,4.35,3.3,9,4,Jackson,0.7720000000000002,0.7720000000000002
GB,4.402,J.Love,0.956,0.221,5.489,3.397,-0.175,7.317,-0.479,-2.321,9,3.57,4.02,8,-1,Love,0.8320000000000003,0.8320000000000003
KC,4.261,P.Mahomes,0.978,0.118,5.987,2.799,0.801,7.199,1.5,-0.26,18,-0.19,4.31,6,-12,Minshew,4.4510000000000005,4.4510000000000005
PHI,3.97,J.Hurts,0.945,0.209,7.497,1.218,0.348,4.494,-3.246,-0.531,3,5.49,4.41,4,1,Hurts,-1.52,1.52
IND,2.989,D.Jones,0.711,0.432,5.032,1.362,-1.652,6.373,0.387,0.414,16,0.76,-1.09,20,4,Rivers,2.229,2.229
HOU,2.973,D.Mills,0.185,-2.78,2.375,3.259,1.184,-3.802,-4.076,1.181,11,2.43,2.15,12,1,Stroud,0.5429999999999997,0.5429999999999997
SF,2.953,B.Purdy,0.388,2.601,5.134,1.228,2.042,7.089,4.268,0.572,6,3.99,4.4,5,-1,Purdy,-1.0370000000000004,1.0370000000000004
DEN,2.808,B.Nix,0.957,0.078,3.163,2.412,-1.919,0.473,-4.865,-0.495,10,3.43,3.24,10,0,Nix,-0.6220000000000003,0.6220000000000003
BUF,2.727,J.Allen,0.981,0.105,3.817,1.803,-0.78,7.055,1.099,-1.254,4,4.98,5.09,3,-1,Allen,-2.2530000000000006,2.2530000000000006
