Side,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense
Category,1st_Down,3rd_Down,Overall,Pass,Pass_BehindLoS,Pass_Deep,Pass_Intermediate,Pass_Short,Pressured,Quick_Game_Proxy,Redzone,Run,Target_RB,Target_TE,Target_WR,Vs_Man,Vs_Zone,1st_Down,3rd_Down,Overall,Pass,Pass_BehindLoS,Pass_Deep,Pass_Intermediate,Pass_Short,Pressured,Quick_Game_Proxy,Redzone,Run,Scramble,Target_RB,Target_TE,Target_WR,Vs_Man,Vs_Zone
Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARI,37.5,31.25,34.375,37.5,43.75,83.87096774193547,40.625,9.375,75.0,3.125,90.625,53.125,21.875,40.625,34.375,40.625,21.875,59.375,46.875,50.0,34.375,37.5,64.28571428571429,21.875,59.375,6.25,46.875,62.5,75.0,60.0,75.0,96.77419354838709,3.125,37.5,31.25
ATL,50.0,90.625,53.125,46.875,68.75,61.29032258064516,9.375,71.875,71.875,84.375,68.75,65.625,75.0,65.625,25.0,43.75,65.625,71.875,71.875,56.25,65.625,18.75,32.142857142857146,96.875,65.625,68.75,43.75,6.25,25.0,,53.125,35.483870967741936,71.875,68.75,56.25
BAL,93.75,96.875,90.625,90.625,65.625,100.0,34.375,84.375,90.625,59.375,84.375,100.0,43.75,59.375,96.875,96.875,68.75,62.5,84.375,81.25,56.25,84.375,60.714285714285715,65.625,34.375,75.0,28.125,68.75,100.0,80.0,84.375,54.83870967741935,46.875,28.125,75.0
BUF,40.625,71.875,81.25,81.25,81.25,,37.5,75.0,50.0,65.625,59.375,59.375,25.0,71.875,90.625,75.0,90.625,93.75,65.625,87.5,90.625,87.5,67.85714285714286,68.75,90.625,93.75,75.0,78.125,71.875,,34.375,45.16129032258064,81.25,78.125,87.5
CAR,87.5,15.625,43.75,50.0,37.5,45.16129032258064,50.0,31.25,12.5,28.125,28.125,21.875,56.25,28.125,46.875,9.375,59.375,21.875,53.125,46.875,40.625,59.375,75.0,3.125,71.875,28.125,68.75,18.75,65.625,,68.75,12.903225806451612,40.625,53.125,28.125
CHI,75.0,28.125,75.0,53.125,87.5,74.19354838709677,53.125,25.0,25.0,50.0,37.5,96.875,65.625,84.375,37.5,50.0,62.5,43.75,3.125,15.625,15.625,28.125,7.142857142857143,6.25,56.25,56.25,15.625,15.625,31.25,,25.0,16.129032258064516,6.25,40.625,3.125
CIN,31.25,46.875,12.5,21.875,25.0,64.51612903225806,28.125,59.375,18.75,68.75,40.625,15.625,15.625,56.25,50.0,65.625,18.75,18.75,12.5,28.125,50.0,81.25,3.5714285714285716,37.5,87.5,31.25,81.25,9.375,9.375,,93.75,32.25806451612903,37.5,34.375,59.375
CLE,62.5,21.875,37.5,40.625,53.125,6.451612903225806,62.5,46.875,81.25,71.875,21.875,37.5,84.375,12.5,28.125,6.25,56.25,84.375,87.5,93.75,87.5,100.0,89.28571428571429,62.5,68.75,59.375,93.75,90.625,84.375,,96.875,61.29032258064516,90.625,100.0,53.125
DAL,9.375,50.0,25.0,18.75,31.25,9.677419354838708,87.5,18.75,40.625,15.625,53.125,43.75,90.625,15.625,15.625,34.375,25.0,31.25,34.375,37.5,31.25,34.375,71.42857142857143,53.125,40.625,34.375,25.0,25.0,53.125,,9.375,48.387096774193544,53.125,50.0,34.375
DEN,65.625,62.5,71.875,78.125,96.875,38.70967741935483,100.0,34.375,34.375,78.125,81.25,31.25,93.75,50.0,78.125,90.625,53.125,15.625,18.75,6.25,9.375,3.125,35.714285714285715,18.75,12.5,3.125,6.25,34.375,21.875,,3.125,22.58064516129032,15.625,3.125,21.875
DET,3.125,40.625,3.125,3.125,18.75,32.25806451612903,6.25,15.625,9.375,6.25,15.625,28.125,3.125,34.375,9.375,18.75,3.125,50.0,37.5,34.375,62.5,21.875,85.71428571428572,71.875,18.75,96.875,9.375,53.125,15.625,,81.25,41.93548387096774,56.25,43.75,65.625
GB,71.875,56.25,59.375,71.875,34.375,70.96774193548387,65.625,56.25,62.5,56.25,6.25,34.375,46.875,75.0,65.625,56.25,78.125,96.875,100.0,100.0,100.0,71.875,92.85714285714286,87.5,100.0,78.125,100.0,96.875,93.75,,71.875,100.0,100.0,84.375,96.875
HOU,18.75,3.125,6.25,6.25,9.375,22.58064516129032,18.75,3.125,3.125,9.375,3.125,9.375,12.5,3.125,6.25,12.5,6.25,75.0,81.25,75.0,84.375,40.625,96.42857142857143,84.375,81.25,87.5,71.875,43.75,34.375,40.0,65.625,83.87096774193547,96.875,71.875,100.0
IND,59.375,84.375,78.125,65.625,62.5,19.354838709677416,43.75,81.25,21.875,62.5,96.875,84.375,28.125,81.25,62.5,59.375,75.0,56.25,56.25,65.625,68.75,65.625,53.57142857142858,43.75,53.125,84.375,56.25,40.625,46.875,,62.5,51.61290322580645,62.5,81.25,25.0
JAX,43.75,53.125,15.625,28.125,3.125,80.64516129032258,31.25,53.125,96.875,34.375,31.25,6.25,50.0,25.0,40.625,53.125,34.375,34.375,6.25,3.125,6.25,43.75,14.285714285714286,28.125,15.625,21.875,21.875,31.25,28.125,,18.75,6.451612903225806,18.75,21.875,12.5
KC,56.25,68.75,56.25,75.0,40.625,90.32258064516128,90.625,37.5,93.75,25.0,34.375,12.5,9.375,31.25,93.75,81.25,71.875,100.0,96.875,96.875,96.875,93.75,39.285714285714285,90.625,93.75,81.25,96.875,75.0,96.875,100.0,43.75,90.32258064516128,87.5,93.75,93.75
LA,84.375,93.75,100.0,100.0,100.0,96.77419354838709,56.25,78.125,100.0,93.75,87.5,93.75,78.125,68.75,100.0,46.875,100.0,40.625,75.0,40.625,37.5,50.0,10.714285714285715,78.125,31.25,46.875,34.375,46.875,59.375,,40.625,67.74193548387096,25.0,25.0,46.875
LAC,68.75,37.5,68.75,56.25,75.0,54.83870967741935,84.375,50.0,46.875,75.0,18.75,62.5,40.625,43.75,68.75,25.0,87.5,6.25,59.375,53.125,78.125,75.0,82.14285714285715,46.875,75.0,90.625,78.125,50.0,6.25,,90.625,58.064516129032256,68.75,62.5,90.625
LV,46.875,6.25,9.375,12.5,56.25,16.129032258064516,21.875,28.125,15.625,40.625,50.0,25.0,31.25,78.125,12.5,3.125,46.875,46.875,90.625,71.875,75.0,53.125,100.0,40.625,43.75,62.5,62.5,37.5,50.0,,28.125,87.09677419354838,75.0,65.625,78.125
MIA,6.25,100.0,62.5,68.75,21.875,58.064516129032256,71.875,62.5,56.25,18.75,71.875,40.625,18.75,90.625,53.125,62.5,12.5,53.125,9.375,31.25,43.75,68.75,,31.25,62.5,65.625,59.375,21.875,18.75,,87.5,77.41935483870967,28.125,46.875,62.5
MIN,34.375,87.5,50.0,59.375,50.0,48.387096774193544,68.75,93.75,65.625,87.5,100.0,18.75,81.25,87.5,56.25,87.5,50.0,68.75,68.75,62.5,59.375,96.875,25.0,100.0,50.0,50.0,90.625,71.875,68.75,,100.0,80.64516129032258,65.625,90.625,40.625
NE,15.625,78.125,21.875,43.75,6.25,87.09677419354838,15.625,68.75,31.25,31.25,12.5,3.125,53.125,46.875,71.875,68.75,37.5,37.5,43.75,59.375,21.875,31.25,,56.25,3.125,12.5,3.125,28.125,87.5,,46.875,,34.375,9.375,43.75
NO,96.875,81.25,93.75,93.75,84.375,77.41935483870967,93.75,87.5,87.5,81.25,46.875,90.625,71.875,96.875,75.0,84.375,96.875,90.625,62.5,68.75,46.875,62.5,,50.0,25.0,37.5,37.5,100.0,81.25,,56.25,38.70967741935483,50.0,15.625,81.25
NYG,28.125,43.75,28.125,25.0,15.625,25.806451612903224,25.0,43.75,53.125,46.875,65.625,46.875,59.375,37.5,18.75,37.5,28.125,28.125,25.0,25.0,25.0,12.5,78.57142857142857,15.625,46.875,53.125,40.625,3.125,40.625,,78.125,9.677419354838708,43.75,56.25,18.75
