Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
BUF,7.248,J.Allen,0.976,0.001,9.105,5.545,0.909,3.957,-2.793,1.817
BAL,6.535,L.Jackson,0.956,0.286,7.577,5.457,0.725,6.362,1.104,1.984
KC,6.278,P.Mahomes,0.945,0.299,9.234,3.827,2.99,13.2,6.113,-0.401
NO,5.231,S.Rattler,0.0,-3.172,3.533,6.202,1.912,-1.195,-1.904,1.101
TB,4.734,B.Mayfield,0.0,-1.098,6.074,3.529,-0.097,5.872,1.217,1.458
SF,4.345,M.Jones,0.0,-0.89,4.199,4.235,-1.337,2.624,-4.417,-0.717
CAR,3.848,B.Young,0.0,-1.06,3.054,4.232,-0.021,2.495,-2.452,-1.499
LA,3.541,M.Stafford,0.288,0.321,5.405,2.016,0.467,2.849,-3.872,-1.637
CLE,3.286,J.Flacco,0.0,-1.611,2.529,3.671,-0.459,7.781,5.412,1.041
ARI,2.892,K.Murray,0.953,0.192,4.664,1.465,-0.328,4.257,1.425,2.277
PIT,1.609,A.Rodgers,0.0,1.786,3.801,-0.058,1.322,-0.205,-2.765,-0.145
GB,1.165,J.Love,0.0,-3.516,1.377,0.953,-1.72,6.214,2.658,-0.612
LV,0.962,G.Smith,0.0,-4.717,-1.58,2.755,2.152,0.628,4.427,0.37
SEA,0.729,S.Darnold,0.0,-3.535,0.642,0.755,0.07,0.208,1.028,1.411
NE,0.212,D.Maye,0.0,-1.524,-0.179,0.485,-1.252,0.463,1.449,1.836
DAL,-0.018,D.Prescott,0.563,1.396,-0.222,0.131,-0.034,3.622,3.547,-0.421
IND,-1.061,D.Jones,0.0,-2.249,-2.31,-0.104,-0.315,-0.892,2.524,1.313
MIA,-1.148,T.Tagovailoa,0.52,-0.893,-2.302,-0.256,1.869,-3.425,1.236,0.596
TEN,-1.165,C.Ward,0.0,-2.587,-5.164,1.788,0.429,2.995,7.419,-1.345
LAC,-1.314,J.Herbert,0.873,0.057,-0.185,-2.067,-0.856,4.818,1.841,-2.515
DEN,-1.481,B.Nix,0.0,-0.8,-0.37,-2.212,-2.254,-0.213,-1.203,0.492
PHI,-1.994,J.Hurts,0.491,0.514,-4.657,0.033,0.152,-2.086,1.685,-1.237
CHI,-2.466,C.Williams,0.0,-1.255,-5.06,-0.464,-1.175,-3.263,1.317,0.541
MIN,-2.776,C.Wentz,0.0,-1.523,-3.231,-2.308,-1.593,4.495,3.616,-2.824
WAS,-3.308,M.Mariota,0.0,1.832,-5.073,-1.866,-1.355,-1.04,2.296,-0.708
NYG,-5.063,R.Wilson,0.0,3.347,-3.773,-5.745,-1.139,2.025,5.025,0.189
ATL,-5.248,M.Penix,0.0,-2.944,-7.213,-3.565,2.192,-2.383,6.224,-0.36
CIN,-5.551,J.Browning,0.0,-1.125,-8.586,-3.077,-1.335,-3.677,3.733,-0.153
HOU,-6.178,C.Stroud,0.0,-4.035,-8.279,-4.351,-3.098,2.668,7.843,-0.426
NYJ,-8.959,T.Taylor,0.0,-0.727,-11.938,-6.357,2.686,-8.918,3.941,-1.428
DET,-10.3,J.Goff,0.315,0.147,-11.04,-9.254,1.134,0.258,13.586,0.275
JAX,-13.158,T.Lawrence,0.316,-0.744,-17.078,-9.667,-1.248,-6.323,8.831,-0.969
