Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
BAL,8.658,L.Jackson,0.88,0.443,9.274,7.783,-0.284,2.384,-6.916,0.399
SF,8.46,B.Purdy,0.812,0.315,10.788,6.355,-0.682,8.344,-3.671,-0.166
KC,8.116,P.Mahomes,1.0,0.0,9.083,7.013,0.621,6.606,-2.187,-0.08
PHI,6.721,J.Hurts,0.964,0.084,8.874,4.828,0.337,6.517,-1.299,0.903
DAL,6.526,D.Prescott,0.946,0.223,7.308,5.637,-1.719,5.039,-3.027,0.821
BUF,5.972,J.Allen,0.998,0.005,6.177,5.528,-0.767,6.74,-0.708,-0.327
MIA,5.298,T.Tagovailoa,0.903,0.292,6.189,4.39,-0.374,5.442,-1.616,-0.523
JAX,2.328,T.Lawrence,1.0,-0.0,1.906,2.517,0.419,-0.759,-1.408,0.721
CLE,2.165,S.Sanders,0.0,-0.777,1.352,2.646,0.874,-6.705,-5.363,1.665
CIN,2.02,J.Burrow,0.921,0.312,2.806,1.351,2.058,2.175,1.462,0.374
DET,1.542,J.Goff,0.992,0.033,2.841,0.525,-0.687,3.445,0.457,0.558
PIT,1.015,A.Rodgers,0.0,4.092,4.059,-1.239,1.318,1.925,-1.941,-1.274
LAC,0.709,J.Herbert,1.0,0.0,1.79,-0.109,1.39,3.11,3.117,0.61
SEA,-0.574,S.Darnold,0.0,-2.294,-2.655,0.962,-0.248,-2.398,0.482,0.424
LA,-1.116,M.Stafford,0.806,0.711,-0.758,-1.32,0.343,1.171,-0.024,-2.214
MIN,-1.466,M.Brosmer,0.0,-2.535,-2.498,-0.646,-0.236,-3.144,-1.829,-1.004
GB,-1.484,J.Love,0.737,-0.611,-1.064,-1.714,-0.356,-0.186,0.475,-0.245
NO,-1.49,T.Shough,0.0,-2.051,-3.248,-0.144,-2.539,-3.024,-2.298,-0.105
WAS,-1.599,M.Mariota,0.0,2.027,-3.041,-0.475,-0.037,-0.311,1.689,-1.311
CHI,-2.046,C.Williams,0.0,-0.383,-2.946,-1.294,-0.593,-0.97,1.82,0.259
LV,-2.563,G.Smith,0.0,-0.047,-3.444,-1.798,0.603,-2.82,1.123,0.161
NYJ,-2.66,T.Taylor,0.0,1.155,-3.598,-1.85,2.23,-8.431,-2.455,0.43
HOU,-2.826,C.Stroud,0.734,1.149,-0.977,-4.025,-1.224,0.4,1.495,0.955
IND,-2.892,D.Jones,0.0,0.088,-3.32,-2.439,-1.051,-2.778,-0.623,0.0
ATL,-2.926,K.Cousins,0.0,2.627,-3.264,-2.535,-2.334,0.089,0.871,-0.466
NE,-3.42,D.Maye,0.0,-1.131,-5.473,-1.763,0.567,-4.821,0.164,-1.242
TEN,-3.596,C.Ward,0.0,-1.662,-4.98,-2.416,-0.434,-3.396,1.598,0.39
DEN,-3.997,B.Nix,0.0,-2.036,-4.245,-3.62,1.411,-3.742,1.479,-0.222
TB,-4.566,B.Mayfield,0.719,-0.589,-5.435,-3.71,0.573,-2.371,2.996,-0.685
NYG,-6.602,J.Dart,0.0,-0.321,-6.707,-6.198,0.525,-7.54,0.24,0.265
ARI,-6.957,J.Brissett,0.0,1.622,-6.46,-6.971,0.551,-3.937,3.403,0.425
CAR,-8.11,B.Young,0.677,-0.608,-9.796,-6.488,-0.413,-6.851,3.024,0.477
