Rank,Team,Rating,Rating_Last,Rank_Last,Change,QB used
1,SEA,10.42,11.34,1,0,Darnold
2,LAR,8.12,7.95,2,0,Stafford
3,BUF,6.16,6.07,3,0,Allen
4,PHI,5.52,5.5,4,0,Hurts
5,JAC,5.41,5.33,6,-1,Lawrence
6,BAL,5.1,5.02,7,-1,Jackson
7,NE,5.09,5.34,5,2,Maye
8,GB,5.09,5,8,0,Love
9,DET,3.98,3.85,9,0,Goff
10,SF,3.57,3.55,10,0,Purdy
11,HOU,2.96,2.94,11,0,Stroud
12,LAC,1.12,1.8,12,0,Herbert
13,IND,0.93,0.87,13,0,Rivers
14,CHI,0.9,0.86,14,0,Williams
15,PIT,0.59,0.58,15,0,Rodgers
16,CIN,-0.04,-0.14,16,0,Burrow
17,DEN,-0.48,-0.23,17,0,Stidham
18,MIN,-0.75,-0.8,18,0,Brosmer
19,ATL,-0.79,-0.81,19,0,Cousins
20,DAL,-1.01,-1.13,20,0,Prescott
21,TB,-1.4,-1.47,21,0,Mayfield
22,KC,-2.17,-2.17,22,0,Oladokun
23,NYG,-3.53,-3.57,23,0,Dart
24,CAR,-3.79,-3.79,24,0,Young
25,NO,-4.37,-4.38,25,0,Shough
26,ARI,-4.4,-4.43,26,0,Brissett
27,WAS,-5.43,-5.43,27,0,Johnson
28,MIA,-5.46,-5.54,28,0,Ewers
29,CLE,-6.94,-6.97,29,0,Sanders
30,LV,-8.15,-8.16,30,0,Smith
31,TEN,-8.19,-8.22,31,0,Ward
32,NYJ,-9.26,-9.35,32,0,Cook
