Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game,Rank,MP_Rating,Rating_Last,Rank_Last,Change,QB used,Diff,Abs_Diff
DET,7.81,J.Goff,1.0,0.0,9.466,6.224,0.583,7.426,-0.46,1.243,8,3.74,4.04,7,-1,Goff,4.069999999999999,4.069999999999999
GB,5.076,J.Love,0.935,0.319,6.981,3.444,0.061,8.58,0.448,-1.448,9,3.57,4.02,8,-1,Love,1.5059999999999998,1.5059999999999998
PHI,4.506,J.Hurts,0.929,0.24,7.934,1.801,1.14,3.805,-2.888,0.274,3,5.49,4.41,4,1,Hurts,-0.984,0.984
KC,4.39,P.Mahomes,0.971,0.141,6.686,2.509,1.634,7.314,1.408,-0.442,18,-0.19,4.31,6,-12,Minshew,4.58,4.58
LA,4.344,M.Stafford,0.966,0.021,4.797,3.801,1.345,2.788,-2.687,-1.934,2,9.47,9.27,2,0,Stafford,-5.126,5.126
HOU,4.047,C.Stroud,0.962,0.152,5.42,2.853,-0.24,-0.489,-3.733,2.526,11,2.43,2.15,12,1,Stroud,1.6169999999999995,1.6169999999999995
SEA,4.026,S.Darnold,0.577,0.288,4.038,3.818,0.595,3.002,1.114,1.617,1,9.53,9.76,1,0,Darnold,-5.504,5.504
DEN,3.242,B.Nix,0.938,0.112,4.358,2.273,-1.624,1.855,-4.598,-0.654,10,3.43,3.24,10,0,Nix,-0.18800000000000017,0.18800000000000017
WAS,3.128,J.Daniels,0.721,0.688,2.968,3.088,-0.323,4.462,2.639,1.49,24,-2.85,-3.58,24,0,Mariota,5.978,5.978
TB,2.079,B.Mayfield,1.0,0.0,4.313,0.358,0.712,6.967,1.278,-1.651,22,-1.55,-1.43,22,0,Mayfield,3.6290000000000004,3.6290000000000004
BUF,1.816,J.Allen,0.975,0.137,2.69,1.094,-1.746,8.114,2.513,-1.23,4,4.98,5.09,3,-1,Allen,-3.1640000000000006,3.1640000000000006
IND,1.598,D.Jones,0.579,0.698,3.038,0.475,-1.452,4.571,0.509,0.225,16,0.76,-1.09,20,4,Rivers,0.8380000000000001,0.8380000000000001
LAC,1.556,J.Herbert,0.982,0.063,2.488,0.804,-0.71,1.891,-1.747,-0.554,15,0.79,-0.33,17,2,Herbert,0.766,0.766
PIT,0.892,A.Rodgers,0.511,0.291,1.845,0.158,-2.411,1.592,-0.749,1.536,12,1.6,0.98,13,1,Rodgers,-0.7080000000000001,0.7080000000000001
BAL,0.83,T.Huntley,0.005,-3.685,-1.497,2.474,1.876,0.47,4.445,0.894,5,4.35,3.3,9,4,Jackson,-3.5199999999999996,3.5199999999999996
SF,0.807,M.Jones,0.384,-2.537,0.208,1.201,1.545,1.009,1.687,-0.39,6,3.99,4.4,5,-1,Purdy,-3.1830000000000003,3.1830000000000003
ARI,0.245,J.Brissett,0.105,-0.111,1.463,-0.649,-1.1,2.074,0.115,0.504,26,-5.03,-4.87,27,1,Brissett,5.275,5.275
MIN,0.12,C.Wentz,0.316,-0.151,0.223,0.039,-0.54,-2.631,-3.292,0.288,17,-0.1,-1.03,19,2,McCarthy,0.22,0.22
JAX,-0.0,T.Lawrence,0.799,0.41,-0.22,0.159,0.134,1.003,1.404,0.028,7,3.82,2.83,11,4,Lawrence,-3.82,3.82
ATL,-0.168,M.Penix,0.62,0.117,0.611,-0.724,-0.208,2.977,-0.423,-2.579,21,-1.47,-1.59,23,2,Cousins,1.302,1.302
DAL,-1.716,D.Prescott,0.783,1.147,-1.114,-2.067,-0.769,7.341,8.175,0.477,19,-0.41,-0.03,15,-4,Prescott,-1.306,1.306
CHI,-1.818,C.Williams,0.93,-0.005,-0.948,-2.358,1.34,-1.327,1.07,0.269,13,1.34,-0.14,16,3,Williams,-3.1580000000000004,3.1580000000000004
NE,-1.934,D.Maye,0.805,0.341,-2.846,-1.178,-2.446,1.385,3.175,0.958,14,0.97,0.82,14,0,Maye,-2.904,2.904
MIA,-2.924,T.Tagovailoa,0.875,0.569,-3.463,-2.389,-1.947,2.617,5.796,1.424,20,-1.2,-0.46,18,-2,Tagovailoa,-1.724,1.724
LV,-3.836,G.Smith,0.578,0.688,-6.34,-1.833,-0.536,-4.978,0.106,-0.781,32,-7.86,-6.61,30,-2,Smith,4.024000000000001,4.024000000000001
NYJ,-4.287,T.Taylor,0.095,0.575,-9.449,-0.337,0.733,-4.974,5.599,0.095,27,-5.51,-4.83,26,-1,Cook,1.2229999999999999,1.2229999999999999
NYG,-4.732,J.Dart,0.302,-0.109,-5.569,-3.891,0.985,-3.761,3.938,1.128,28,-5.66,-5.51,28,0,Dart,0.9279999999999999,0.9279999999999999
CIN,-6.005,J.Flacco,0.104,-2.753,-8.98,-3.553,0.802,-5.052,5.127,0.277,23,-2.52,-1.28,21,-2,Burrow,-3.485,3.485
CAR,-6.128,B.Young,0.907,-0.189,-7.748,-4.652,-0.712,-0.718,5.984,-0.53,25,-4.91,-4.78,25,0,Young,-1.218,1.218
NO,-6.168,S.Rattler,0.741,-0.677,-8.337,-4.291,0.245,-2.572,4.488,-1.466,29,-6.16,-6.61,31,2,Shough,-0.008000000000000007,0.008000000000000007
CLE,-6.655,D.Gabriel,0.204,-0.192,-9.026,-4.609,1.272,-8.509,0.29,-1.546,30,-7.17,-6.02,29,-1,Sanders,0.5149999999999997,0.5149999999999997
TEN,-8.145,C.Ward,0.575,-0.957,-11.023,-5.658,1.297,-9.241,2.975,-0.028,31,-7.65,-8.41,32,1,Ward,-0.4949999999999992,0.4949999999999992
