Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
BUF,8.097,J.Allen,0.922,-0.094,9.464,6.706,-2.593,5.145,-5.401,1.414
KC,5.553,P.Mahomes,0.976,0.121,5.949,4.99,0.979,8.646,4.751,1.266
TB,4.96,B.Mayfield,0.0,-1.459,5.245,4.508,-0.796,6.731,0.753,0.198
DAL,4.546,D.Prescott,0.726,0.949,5.182,3.861,-0.795,4.958,-0.312,0.16
BAL,4.231,L.Jackson,0.98,0.136,3.452,4.585,-0.482,4.615,1.513,0.936
ARI,3.738,J.Brissett,0.0,-0.928,6.569,1.502,0.328,4.305,-1.956,-0.028
NE,3.005,D.Maye,0.0,-2.295,1.543,3.914,-1.619,0.365,0.653,3.273
TEN,2.808,C.Ward,0.0,-3.097,2.512,2.883,0.649,2.611,1.229,0.547
NO,2.775,T.Shough,0.0,-2.392,1.702,3.415,0.649,-0.431,-1.146,0.392
LA,2.598,M.Stafford,0.698,0.376,3.406,1.883,0.24,3.369,-1.355,-1.42
GB,2.384,J.Love,0.077,-3.582,3.319,1.588,-0.406,3.937,-0.815,-1.047
IND,1.819,D.Jones,0.0,-1.184,1.931,1.647,-1.85,2.329,0.391,1.558
SF,1.473,B.Purdy,0.0,-2.672,-0.712,2.983,1.482,-0.523,0.42,-0.912
CAR,1.377,B.Young,0.0,-0.232,0.045,2.274,-0.553,-2.396,-3.904,-0.528
CLE,1.232,D.Gabriel,0.0,-2.26,-0.106,2.141,-0.075,3.286,3.813,0.691
SEA,0.344,S.Darnold,0.0,-2.568,-0.95,1.264,1.411,-2.309,1.138,1.287
MIN,0.028,J.McCarthy,0.0,-2.64,0.975,-0.66,-0.216,1.778,0.114,-0.509
LV,-0.463,G.Smith,0.0,-3.029,-2.312,0.898,-0.971,0.953,2.733,0.265
CIN,-1.613,J.Flacco,0.0,-1.414,-3.533,-0.142,-2.185,0.841,2.516,0.086
DEN,-1.793,B.Nix,0.0,-1.904,-3.418,-0.528,-1.657,-0.898,1.177,0.408
WAS,-2.433,M.Mariota,0.0,1.314,-4.23,-1.011,1.575,-0.447,4.961,-0.238
MIA,-2.581,T.Tagovailoa,0.437,-0.188,-4.38,-1.149,0.697,-2.959,1.153,-0.932
PIT,-2.753,M.Rudolph,0.134,-2.907,-2.6,-2.727,-0.131,-4.291,-0.387,1.188
CHI,-2.796,C.Williams,0.0,0.007,-4.309,-1.562,0.626,-1.092,2.798,-1.238
LAC,-3.099,J.Herbert,0.945,0.035,-2.351,-3.486,0.996,4.795,5.514,-2.568
NYG,-3.273,J.Winston,0.0,2.486,-1.838,-4.15,0.674,0.32,3.068,0.269
PHI,-3.568,J.Hurts,0.795,0.212,-4.49,-2.724,-0.003,0.822,4.614,-0.747
ATL,-7.616,M.Penix,0.0,-3.332,-9.628,-5.782,-0.596,-1.766,6.046,-1.222
JAX,-9.313,T.Lawrence,0.703,-0.111,-12.197,-6.763,1.055,-4.288,7.875,-1.08
HOU,-9.545,D.Mills,0.47,-2.667,-10.52,-8.366,1.212,-5.061,5.929,-0.559
NYJ,-9.992,J.Fields,0.0,-0.429,-13.058,-7.276,1.978,-4.819,8.905,-1.335
DET,-10.009,J.Goff,0.701,-0.147,-11.756,-8.247,0.743,-4.177,8.583,-0.102
