Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
DET,8.497,J.Goff,1.0,0.0,10.222,6.826,-0.366,7.282,-2.283,1.22
BAL,8.055,L.Jackson,0.964,0.166,9.215,6.816,0.461,9.405,-0.709,-1.277
KC,7.383,P.Mahomes,0.983,0.154,8.057,6.529,1.836,4.912,-1.474,0.118
SF,5.335,B.Purdy,0.956,0.128,7.168,3.743,-0.043,7.256,-2.35,-2.337
BUF,5.126,J.Allen,1.0,0.0,7.81,2.929,-0.185,7.839,-0.548,-0.234
MIN,4.188,J.McCarthy,0.0,-1.365,4.883,3.476,-0.099,0.778,-4.99,0.061
PHI,3.625,J.Hurts,0.994,0.021,5.679,1.958,-2.051,5.668,-2.56,-0.71
LAC,3.052,J.Herbert,0.93,0.299,6.454,0.437,-0.97,1.404,-4.065,1.809
PIT,1.787,M.Rudolph,0.073,-0.096,4.44,-0.224,-0.912,-0.822,-3.067,2.96
DEN,1.583,B.Nix,0.731,0.093,1.356,1.669,0.397,-1.297,-1.928,0.439
WAS,0.95,M.Mariota,0.069,-0.506,-0.191,1.729,-1.418,2.94,2.386,0.418
GB,0.367,J.Love,0.836,0.57,3.21,-1.709,0.515,4.637,1.414,-1.288
MIA,0.201,T.Tagovailoa,0.717,1.289,-0.409,0.632,-0.993,0.81,-0.6,-0.938
TB,-0.008,B.Mayfield,0.955,-0.073,1.172,-0.862,2.312,2.876,5.207,1.488
HOU,-0.172,D.Mills,0.034,-3.083,-0.987,0.427,-0.647,-4.639,-4.397,-0.02
ARI,-0.771,J.Brissett,0.0,-0.52,-1.031,-0.544,1.548,2.371,3.97,-0.554
LA,-1.197,M.Stafford,0.945,0.175,-2.391,-0.273,0.365,0.603,1.317,-2.196
SEA,-1.497,S.Darnold,0.0,-1.448,-3.51,0.035,1.067,-2.063,3.758,1.306
DAL,-1.669,D.Prescott,0.829,0.832,-3.696,-0.119,1.65,-0.867,5.287,0.797
CIN,-1.752,J.Flacco,0.0,-3.563,-3.549,-0.364,0.515,1.711,5.059,-0.691
NYJ,-1.802,T.Taylor,0.0,-0.954,-3.795,-0.27,0.44,-4.777,-1.105,-0.519
NO,-1.906,T.Shough,0.0,-1.483,-2.815,-1.153,-1.745,-0.862,1.704,1.315
ATL,-2.075,K.Cousins,0.732,0.646,-2.857,-1.407,-0.4,4.245,4.392,-2.386
IND,-2.714,D.Jones,0.0,0.588,-2.337,-2.853,-0.03,-3.245,-1.209,-0.228
CHI,-3.58,C.Williams,0.714,-0.193,-3.955,-3.131,-1.525,-3.181,-0.302,0.259
TEN,-3.777,C.Ward,0.0,-0.485,-4.671,-2.941,1.019,-4.505,-0.303,-1.346
JAX,-4.031,T.Lawrence,0.831,0.214,-5.82,-2.536,1.222,-2.093,5.974,1.043
NE,-4.236,D.Maye,0.362,0.456,-5.581,-3.052,-1.025,-4.009,2.489,1.504
CLE,-4.391,S.Sanders,0.0,-0.338,-6.581,-2.587,0.024,-6.897,0.291,0.565
LV,-4.757,G.Smith,0.0,1.322,-6.458,-3.289,1.083,-4.991,3.038,0.72
NYG,-5.833,J.Winston,0.0,1.403,-6.692,-4.922,-0.518,-2.018,3.076,-1.208
CAR,-9.397,B.Young,0.598,-1.193,-12.175,-6.92,-1.529,-6.495,4.508,0.082
