Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
SF,7.772,M.Jones,0.0,-0.952,9.822,5.902,-0.446,6.882,-3.59,0.39
PHI,6.629,J.Hurts,0.912,-0.952,9.142,4.48,-1.259,5.58,-4.496,0.509
BUF,6.61,J.Allen,0.995,-0.952,6.791,6.151,-0.294,4.779,-1.463,0.833
KC,6.562,P.Mahomes,1.0,-0.952,8.177,5.067,-0.13,7.688,-2.648,-1.875
DAL,5.352,D.Prescott,0.864,-0.952,6.67,4.133,-1.436,2.004,-5.299,0.833
CIN,3.783,J.Browning,0.0,-0.952,4.529,3.055,2.661,2.021,-0.624,-0.278
BAL,3.735,L.Jackson,0.671,-0.952,3.385,3.803,-0.837,2.093,-1.784,0.23
CLE,3.287,J.Flacco,0.0,-0.952,2.0,4.057,0.639,-4.273,-5.227,0.289
MIA,1.712,T.Tagovailoa,0.752,-0.952,2.432,1.106,0.136,4.554,0.472,-1.705
NO,1.482,S.Rattler,0.0,-0.952,0.522,2.104,-0.412,-3.158,-6.181,-2.12
JAX,0.217,T.Lawrence,1.0,-0.952,-2.24,1.986,0.076,-3.624,-0.231,1.118
NE,-0.073,D.Maye,0.0,-0.952,-1.018,0.615,2.216,-3.854,-0.675,0.457
DET,-0.34,J.Goff,0.978,-0.952,-0.885,0.071,-0.103,2.655,4.557,1.171
LAC,-0.422,J.Herbert,1.0,-0.952,-1.312,0.243,-0.223,3.143,3.986,-0.257
LA,-0.624,M.Stafford,0.686,-0.952,-0.794,-0.47,1.614,0.396,1.982,-0.625
WAS,-0.71,M.Mariota,0.0,-0.952,-2.04,0.288,-1.54,-2.818,-3.703,-1.642
SEA,-0.819,S.Darnold,0.0,-0.952,-3.252,0.983,0.43,0.879,5.399,0.858
GB,-1.165,J.Love,0.304,-0.952,-1.004,-1.223,-2.1,2.633,2.067,0.166
TEN,-1.644,C.Ward,0.0,-0.952,-2.959,-0.611,-0.286,-3.315,0.636,1.244
TB,-1.663,B.Mayfield,0.281,-0.952,-2.245,-1.159,-1.22,-0.512,-1.011,-1.809
ATL,-1.912,M.Penix,0.0,-0.952,-2.01,-1.746,-0.671,-0.232,2.046,0.872
PIT,-2.326,A.Rodgers,0.0,-0.952,-2.841,-1.839,3.34,-4.708,1.638,-0.246
LV,-2.447,G.Smith,0.0,-0.952,-0.871,-3.467,0.055,0.945,4.123,2.205
NYJ,-2.793,T.Taylor,0.0,-0.952,-4.073,-1.727,2.485,-6.381,0.174,0.215
CAR,-3.523,B.Young,0.3,-0.952,-4.584,-2.581,0.014,-6.431,-0.627,1.258
IND,-3.832,D.Jones,0.0,-0.952,-5.297,-2.581,-3.494,-5.498,-4.138,-0.162
NYG,-4.069,R.Wilson,0.0,-0.952,-5.685,-2.698,0.505,-1.431,4.674,-0.447
MIN,-4.588,C.Wentz,0.0,-0.952,-6.763,-2.785,0.469,-3.248,2.713,-1.502
DEN,-5.607,B.Nix,0.0,-0.952,-7.77,-3.763,0.189,-3.791,2.474,-1.624
ARI,-5.93,K.Murray,0.399,-0.952,-6.604,-5.148,-0.32,-4.904,0.795,-0.648
CHI,-7.425,C.Williams,0.0,-0.952,-11.445,-4.146,-0.027,-2.881,9.697,1.202
HOU,-13.534,C.Stroud,0.297,-0.952,-14.789,-11.955,-0.035,-10.974,5.877,1.308
