Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
BUF,8.474,J.Allen,0.871,-0.201,8.742,7.859,-2.086,4.486,-5.251,0.976
KC,6.093,P.Mahomes,0.957,0.239,8.239,4.237,1.961,14.224,7.635,-0.019
NO,4.776,S.Rattler,0.0,-3.055,2.602,6.113,0.481,0.308,-1.145,0.675
BAL,4.658,C.Rush,0.0,-3.939,3.632,5.17,-0.639,1.731,-0.759,1.913
ARI,4.582,K.Murray,0.965,0.154,8.015,1.869,-1.586,6.961,-0.416,2.055
DAL,4.334,D.Prescott,0.674,1.04,4.328,4.123,-0.045,5.834,2.005,0.424
CLE,4.127,D.Gabriel,0.0,-2.183,4.242,3.839,-1.051,4.821,0.188,0.884
TB,3.161,B.Mayfield,0.0,-1.287,3.875,2.487,0.536,5.77,2.189,-0.201
LA,2.87,M.Stafford,0.455,0.355,4.583,1.488,2.241,3.687,-0.262,-1.193
GB,2.692,J.Love,0.0,-3.451,2.705,2.549,-1.624,6.429,1.99,-0.271
SF,2.309,M.Jones,0.0,-1.89,0.697,3.362,0.284,1.425,-2.385,-2.626
CAR,1.924,B.Young,0.0,-0.937,1.261,2.309,-0.58,2.916,-0.831,-1.707
LAC,1.347,J.Herbert,0.905,0.06,3.265,-0.109,1.067,5.785,1.685,-1.819
SEA,0.557,S.Darnold,0.0,-3.183,0.669,0.447,0.621,0.833,3.235,2.544
IND,0.463,D.Jones,0.0,-1.425,0.073,0.723,-1.511,0.547,0.243,1.022
LV,0.058,G.Smith,0.0,-4.677,-2.354,1.801,0.613,-0.29,2.719,0.13
DEN,-0.365,B.Nix,0.0,-1.1,-0.575,-0.195,-2.132,-0.898,-1.573,0.554
NE,-0.766,D.Maye,0.0,-1.055,-2.026,0.184,-0.623,-1.516,2.703,2.693
MIN,-1.2,C.Wentz,0.0,-1.564,-0.968,-1.309,1.049,3.192,3.327,-1.798
TEN,-1.28,C.Ward,0.0,-2.63,-4.921,1.42,-0.485,2.012,5.654,-1.042
CHI,-1.813,C.Williams,0.0,-0.273,-2.907,-0.93,-1.057,-2.488,-0.145,0.313
PIT,-2.477,A.Rodgers,0.0,1.972,-0.771,-3.589,1.986,-1.591,0.741,-0.534
CIN,-3.298,J.Browning,0.0,-1.839,-5.439,-1.584,-2.868,-0.275,2.418,-0.166
WAS,-3.469,J.Daniels,0.0,-0.7,-5.399,-1.9,0.205,-1.547,4.485,0.354
MIA,-4.174,T.Tagovailoa,0.389,-0.849,-7.204,-1.773,1.625,-5.613,3.235,0.127
PHI,-4.356,J.Hurts,0.619,0.399,-5.801,-3.094,1.737,-0.722,5.592,-1.146
NYG,-4.576,J.Dart,0.0,-0.651,-5.022,-4.026,-0.125,0.562,5.283,-0.205
ATL,-6.918,M.Penix,0.0,-3.074,-9.138,-4.968,0.046,-1.447,6.959,-0.674
HOU,-7.216,C.Stroud,0.0,-1.276,-7.58,-6.595,-0.225,-0.276,6.977,-0.111
DET,-9.436,J.Goff,0.487,0.019,-11.48,-7.487,1.641,-1.704,12.021,0.098
NYJ,-10.602,J.Fields,0.0,-1.397,-13.723,-7.816,0.985,-8.647,4.4,-1.587
JAX,-11.435,T.Lawrence,0.488,-0.514,-15.576,-7.87,-0.505,-4.517,10.711,0.026
