Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game,Rank,MP_Rating,Rating_Last,Rank_Last,Change,QB used,Diff,Abs_Diff
DET,8.997,J.Goff,1.0,-0.0,11.382,6.824,1.542,6.463,-2.644,1.099,8,3.74,4.04,7,-1,Goff,5.257,5.257
GB,5.702,J.Love,0.942,0.289,7.825,3.883,0.973,8.328,0.126,-1.434,9,3.57,4.02,8,-1,Love,2.132,2.132
LA,5.661,M.Stafford,0.969,0.021,6.491,4.78,1.066,3.565,-3.505,-1.492,2,9.47,9.27,2,0,Stafford,-3.809000000000001,3.809000000000001
KC,5.087,P.Mahomes,0.973,0.132,7.062,3.404,0.447,8.198,0.78,-0.573,18,-0.19,4.31,6,-12,Minshew,5.277,5.277
SEA,4.851,S.Darnold,0.618,0.264,5.409,4.207,0.632,2.499,-0.721,1.626,1,9.53,9.76,1,0,Darnold,-4.678999999999999,4.678999999999999
PHI,4.244,J.Hurts,0.935,0.232,7.849,1.423,1.451,4.343,-2.893,-0.622,3,5.49,4.41,4,1,Hurts,-1.2460000000000004,1.2460000000000004
HOU,2.768,C.Stroud,0.966,0.133,3.344,2.213,0.036,-2.23,-3.576,2.096,11,2.43,2.15,12,1,Stroud,0.33799999999999963,0.33799999999999963
IND,2.442,D.Jones,0.62,0.629,4.464,0.857,-1.835,6.256,0.76,0.513,16,0.76,-1.09,20,4,Rivers,1.6820000000000002,1.6820000000000002
DEN,2.259,B.Nix,0.944,0.105,2.581,1.914,-2.137,1.371,-3.322,-0.235,10,3.43,3.24,10,0,Nix,-1.1710000000000003,1.1710000000000003
BUF,1.538,J.Allen,0.975,0.138,2.307,0.905,-2.191,8.114,2.513,-1.23,4,4.98,5.09,3,-1,Allen,-3.442,3.442
WAS,1.365,M.Mariota,0.2,-1.275,-0.246,2.464,-0.141,2.134,3.213,1.016,24,-2.85,-3.58,24,0,Mariota,4.215,4.215
SF,1.195,M.Jones,0.443,-2.271,0.946,1.316,1.465,1.255,1.235,-0.286,6,3.99,4.4,5,-1,Purdy,-2.795,2.795
MIN,1.159,C.Wentz,0.388,-0.121,1.24,1.043,1.047,-2.65,-1.924,1.299,17,-0.1,-1.03,19,2,McCarthy,1.2590000000000001,1.2590000000000001
TB,1.111,B.Mayfield,1.0,0.0,2.679,-0.08,1.484,4.064,0.888,-1.467,22,-1.55,-1.43,22,0,Mayfield,2.661,2.661
BAL,1.067,T.Huntley,0.005,-3.695,-1.234,2.681,2.194,0.461,4.445,0.894,5,4.35,3.3,9,4,Jackson,-3.2829999999999995,3.2829999999999995
PIT,0.853,A.Rodgers,0.561,0.343,1.577,0.287,-2.114,3.401,1.656,1.612,12,1.6,0.98,13,1,Rodgers,-0.7470000000000001,0.7470000000000001
ARI,0.215,J.Brissett,0.192,-0.141,1.478,-0.711,0.087,1.571,0.701,0.583,26,-5.03,-4.87,27,1,Brissett,5.245,5.245
LAC,0.01,J.Herbert,0.984,0.059,0.006,0.013,-0.804,2.006,0.486,-0.802,15,0.79,-0.33,17,2,Herbert,-0.78,0.78
CHI,-0.16,C.Williams,0.937,-0.003,1.423,-1.298,0.655,-0.483,-0.904,0.77,13,1.34,-0.14,16,3,Williams,-1.5,1.5
ATL,-0.409,K.Cousins,0.276,0.376,0.131,-0.78,-0.106,2.606,-0.021,-2.376,21,-1.47,-1.59,23,2,Cousins,1.061,1.061
DAL,-0.51,D.Prescott,0.804,1.041,0.641,-1.319,-0.248,7.506,7.358,0.793,19,-0.41,-0.03,15,-4,Prescott,-0.10000000000000003,0.10000000000000003
JAX,-1.34,T.Lawrence,0.819,0.337,-1.934,-0.843,0.931,-0.255,2.358,-0.253,7,3.82,2.83,11,4,Lawrence,-5.16,5.16
NE,-1.594,D.Maye,0.824,0.355,-2.135,-1.123,-3.84,3.217,2.376,0.245,14,0.97,0.82,14,0,Maye,-2.564,2.564
NYG,-3.789,J.Dart,0.371,0.442,-3.617,-3.726,0.953,-1.994,3.234,0.653,28,-5.66,-5.51,28,0,Dart,1.871,1.871
MIA,-4.314,T.Tagovailoa,0.887,0.481,-5.56,-3.198,-2.513,1.001,5.504,1.134,20,-1.2,-0.46,18,-2,Tagovailoa,-3.114,3.114
CAR,-4.447,A.Dalton,0.084,1.714,-5.076,-3.771,-2.013,0.694,3.906,-0.22,25,-4.91,-4.78,25,0,Young,0.4630000000000001,0.4630000000000001
LV,-5.064,G.Smith,0.619,0.58,-7.448,-3.088,-0.056,-5.09,1.78,-0.517,32,-7.86,-6.61,30,-2,Smith,2.7960000000000003,2.7960000000000003
CLE,-5.071,D.Gabriel,0.281,-0.225,-6.704,-3.637,0.853,-7.467,-1.07,-1.244,30,-7.17,-6.02,29,-1,Sanders,2.099,2.099
CIN,-5.107,J.Flacco,0.191,-2.18,-7.274,-3.285,1.124,-2.071,6.41,0.03,23,-2.52,-1.28,21,-2,Burrow,-2.587,2.587
NYJ,-5.694,J.Fields,0.437,-0.008,-11.255,-1.385,-0.488,-6.512,4.51,-0.173,27,-5.51,-4.83,26,-1,Cook,-0.18400000000000016,0.18400000000000016
NO,-7.15,S.Rattler,0.766,-0.656,-9.68,-4.963,0.665,-4.061,4.689,-1.805,29,-6.16,-6.61,31,2,Shough,-0.9900000000000002,0.9900000000000002
TEN,-8.872,C.Ward,0.616,-0.927,-12.237,-5.996,0.657,-8.893,4.594,0.59,31,-7.65,-8.41,32,1,Ward,-1.2219999999999995,1.2219999999999995
