Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game,Rank,MP_Rating,Rating_Last,Rank_Last,Change,QB used,Diff,Abs_Diff
DET,8.147,J.Goff,1.0,0.0,9.491,6.771,0.859,7.082,-0.483,1.131,8,3.74,4.04,7,-1,Goff,4.407,4.407
PHI,6.18,J.Hurts,0.913,0.304,11.059,2.34,0.666,4.648,-5.569,0.286,3,5.49,4.41,4,1,Hurts,0.6899999999999995,0.6899999999999995
BAL,4.717,C.Rush,0.0,-5.441,2.453,6.123,1.675,3.148,2.754,0.865,5,4.35,3.3,9,4,Jackson,0.367,0.367
GB,4.603,J.Love,0.927,0.357,6.413,3.064,0.559,7.904,0.43,-1.817,9,3.57,4.02,8,-1,Love,1.033,1.033
BUF,4.153,J.Allen,0.969,0.174,5.904,2.679,-0.902,10.723,2.112,-1.711,4,4.98,5.09,3,-1,Allen,-0.8270000000000008,0.8270000000000008
KC,4.153,P.Mahomes,0.964,0.182,6.435,2.294,2.111,5.011,0.518,0.351,18,-0.19,4.31,6,-12,Minshew,4.343,4.343
SEA,3.643,S.Darnold,0.467,0.078,3.314,3.701,-0.034,0.537,-1.18,1.598,1,9.53,9.76,1,0,Darnold,-5.887,5.887
LA,3.305,M.Stafford,0.958,0.027,3.526,2.981,1.246,1.984,-1.815,-1.423,2,9.47,9.27,2,0,Stafford,-6.165000000000001,6.165000000000001
DEN,3.223,B.Nix,0.922,0.128,4.233,2.332,-1.127,2.281,-2.778,0.198,10,3.43,3.24,10,0,Nix,-0.2070000000000003,0.2070000000000003
LAC,3.16,J.Herbert,0.978,0.079,4.536,2.008,-1.212,2.528,-4.087,-1.054,15,0.79,-0.33,17,2,Herbert,2.37,2.37
WAS,2.444,J.Daniels,0.656,0.799,2.086,2.582,-1.313,4.517,3.136,1.917,24,-2.85,-3.58,24,0,Mariota,5.2940000000000005,5.2940000000000005
HOU,1.378,C.Stroud,0.957,0.161,2.964,0.162,-0.418,-2.612,-3.43,2.413,11,2.43,2.15,12,1,Stroud,-1.0520000000000003,1.0520000000000003
SF,1.145,M.Jones,0.229,-3.308,-0.494,2.275,0.636,0.211,-0.693,-1.879,6,3.99,4.4,5,-1,Purdy,-2.845,2.845
IND,1.106,D.Jones,0.47,0.816,1.792,0.556,-1.369,3.114,-0.129,-0.273,16,0.76,-1.09,20,4,Rivers,0.3460000000000001,0.3460000000000001
TB,1.066,B.Mayfield,1.0,-0.0,2.927,-0.334,-0.201,4.106,-0.798,-1.385,22,-1.55,-1.43,22,0,Mayfield,2.616,2.616
ARI,0.788,K.Murray,0.964,0.134,1.517,0.221,-1.019,1.403,-0.402,0.657,26,-5.03,-4.87,27,1,Brissett,5.8180000000000005,5.8180000000000005
PIT,0.77,A.Rodgers,0.449,0.238,1.132,0.471,-0.859,0.377,0.171,1.618,12,1.6,0.98,13,1,Rodgers,-0.8300000000000001,0.8300000000000001
JAX,0.629,T.Lawrence,0.747,0.581,0.85,0.438,-1.601,1.329,-0.848,0.004,7,3.82,2.83,11,4,Lawrence,-3.191,3.191
MIN,0.277,C.Wentz,0.233,-0.191,0.656,-0.011,-0.275,-3.242,-3.602,0.826,17,-0.1,-1.03,19,2,McCarthy,0.377,0.377
ATL,-2.111,M.Penix,0.57,0.143,-1.952,-2.122,-1.554,2.738,0.781,-2.537,21,-1.47,-1.59,23,2,Cousins,-0.6410000000000002,0.6410000000000002
DAL,-2.217,D.Prescott,0.727,1.308,-2.567,-1.853,0.895,5.439,9.598,0.791,19,-0.41,-0.03,15,-4,Prescott,-1.8070000000000002,1.8070000000000002
MIA,-2.235,T.Tagovailoa,0.843,0.722,-2.737,-1.761,-1.458,1.995,5.067,1.632,20,-1.2,-0.46,18,-2,Tagovailoa,-1.035,1.035
NE,-2.921,D.Maye,0.754,0.318,-4.426,-1.686,-2.542,0.007,3.831,1.472,14,0.97,0.82,14,0,Maye,-3.891,3.891
NYJ,-3.133,J.Fields,0.35,0.336,-7.92,0.488,0.85,-2.548,5.212,-1.239,27,-5.51,-4.83,26,-1,Cook,2.377,2.377
CHI,-3.509,C.Williams,0.921,-0.023,-2.98,-3.719,0.734,-2.699,1.484,0.541,13,1.34,-0.14,16,3,Williams,-4.849,4.849
