Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game,Rank,MP_Rating,Rating_Last,Rank_Last,Change,QB used,Diff,Abs_Diff
BAL,10.552,L.Jackson,0.992,0.041,13.178,8.128,1.379,12.474,-0.2,-0.315,5,4.35,3.3,9,4,Jackson,6.202,6.202
PHI,6.163,J.Hurts,0.875,0.449,9.965,3.104,-0.125,6.462,-3.642,-0.007,3,5.49,4.41,4,1,Hurts,0.673,0.673
DET,5.938,J.Goff,1.0,0.0,6.191,5.46,1.634,6.633,2.779,0.848,8,3.74,4.04,7,-1,Goff,2.1979999999999995,2.1979999999999995
WAS,4.458,J.Daniels,0.816,0.766,5.473,3.502,-1.23,6.559,0.311,0.404,24,-2.85,-3.58,24,0,Mariota,7.308,7.308
GB,4.042,J.Love,0.89,0.51,6.372,2.155,1.309,5.437,-0.558,-1.166,9,3.57,4.02,8,-1,Love,0.472,0.472
BUF,3.289,J.Allen,0.955,0.253,5.215,1.731,1.993,9.36,4.919,-0.674,4,4.98,5.09,3,-1,Allen,-1.6910000000000003,1.6910000000000003
LAC,3.02,J.Herbert,0.966,0.125,5.125,1.347,-0.189,4.169,-0.906,0.186,15,0.79,-0.33,17,2,Herbert,2.23,2.23
DEN,2.495,B.Nix,0.881,0.156,2.434,2.415,-1.231,-0.137,-4.328,-0.614,10,3.43,3.24,10,0,Nix,-0.935,0.935
KC,2.299,P.Mahomes,0.948,0.293,3.765,1.123,1.735,4.805,2.916,0.748,18,-0.19,4.31,6,-12,Minshew,2.489,2.489
MIN,1.747,J.McCarthy,0.164,-2.477,1.828,1.601,-1.001,-1.671,-3.367,1.438,17,-0.1,-1.03,19,2,McCarthy,1.8470000000000002,1.8470000000000002
TB,1.649,B.Mayfield,1.0,0.0,2.876,0.678,-1.328,6.129,2.405,0.498,22,-1.55,-1.43,22,0,Mayfield,3.199,3.199
LA,1.47,M.Stafford,0.937,0.039,1.49,1.383,0.884,0.843,-0.651,-0.879,2,9.47,9.27,2,0,Stafford,-8.0,8.0
HOU,0.923,C.Stroud,0.936,0.238,1.526,0.441,0.171,-2.463,-3.506,0.199,11,2.43,2.15,12,1,Stroud,-1.5070000000000001,1.5070000000000001
PIT,0.422,A.Rodgers,0.162,0.414,2.311,-0.968,1.148,0.713,2.297,2.837,12,1.6,0.98,13,1,Rodgers,-1.1780000000000002,1.1780000000000002
CIN,0.192,J.Browning,0.061,-1.122,-0.492,0.678,-1.246,2.202,2.167,0.518,23,-2.52,-1.28,21,-2,Burrow,2.712,2.712
SF,0.074,M.Jones,0.0,-4.295,-1.505,1.215,0.066,1.904,-1.042,-4.405,6,3.99,4.4,5,-1,Purdy,-3.9160000000000004,3.9160000000000004
ARI,-0.206,K.Murray,0.944,0.206,0.565,-0.754,-1.431,3.343,2.252,0.81,26,-5.03,-4.87,27,1,Brissett,4.824,4.824
IND,-0.401,D.Jones,0.174,0.683,-0.156,-0.558,-2.268,0.963,-1.597,-0.765,16,0.76,-1.09,20,4,Rivers,-1.161,1.161
DAL,-0.468,D.Prescott,0.578,1.886,0.069,-0.834,2.32,1.263,3.955,0.715,19,-0.41,-0.03,15,-4,Prescott,-0.05800000000000005,0.05800000000000005
JAX,-0.644,T.Lawrence,0.607,0.959,-1.568,0.056,-3.05,1.941,1.736,0.778,7,3.82,2.83,11,4,Lawrence,-4.4639999999999995,4.4639999999999995
NYJ,-0.959,T.Taylor,0.0,0.863,-1.877,-0.247,-0.535,1.978,2.259,-1.141,27,-5.51,-4.83,26,-1,Cook,4.551,4.551
SEA,-0.981,S.Darnold,0.173,-0.412,-2.994,0.525,0.67,-3.034,2.297,1.718,1,9.53,9.76,1,0,Darnold,-10.511,10.511
ATL,-1.263,M.Penix,0.331,0.664,-2.879,-0.031,-0.691,3.97,4.416,-1.851,21,-1.47,-1.59,23,2,Cousins,0.20700000000000007,0.20700000000000007
LV,-1.869,G.Smith,0.173,1.606,-2.613,-1.238,-1.391,-2.292,-0.359,0.542,32,-7.86,-6.61,30,-2,Smith,5.9910000000000005,5.9910000000000005
MIA,-2.281,T.Tagovailoa,0.758,1.095,-3.761,-1.096,-1.255,-1.372,1.547,0.303,20,-1.2,-0.46,18,-2,Tagovailoa,-1.0810000000000002,1.0810000000000002
CHI,-4.573,C.Williams,0.877,-0.065,-5.376,-3.765,1.532,-4.923,1.057,-0.76,13,1.34,-0.14,16,3,Williams,-5.913,5.913
CLE,-4.926,J.Flacco,0.224,1.159,-6.208,-3.754,1.56,-7.726,-0.468,-0.731,30,-7.17,-6.02,29,-1,Sanders,2.2439999999999998,2.2439999999999998
NO,-5.633,S.Rattler,0.492,-1.998,-8.742,-3.103,-0.76,-3.531,4.274,-0.238,29,-6.16,-6.61,31,2,Shough,0.5270000000000001,0.5270000000000001
NE,-5.879,D.Maye,0.617,0.053,-9.07,-3.276,-1.023,-3.834,4.848,0.323,14,0.97,0.82,14,0,Maye,-6.848999999999999,6.848999999999999
NYG,-6.48,R.Wilson,0.173,0.54,-7.482,-5.433,1.611,-5.696,4.177,0.657,28,-5.66,-5.51,28,0,Dart,-0.8200000000000003,0.8200000000000003
TEN,-7.34,C.Ward,0.172,-1.398,-9.117,-5.689,0.521,-9.158,0.691,0.078,31,-7.65,-8.41,32,1,Ward,0.3100000000000005,0.3100000000000005
CAR,-10.784,B.Young,0.819,-0.373,-12.608,-8.929,-0.788,-3.036,8.843,-0.181,25,-4.91,-4.78,25,0,Young,-5.8740000000000006,5.8740000000000006
