Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
BUF,9.877,J.Allen,0.987,0.002,11.381,8.298,0.828,8.096,-1.309,1.365
KC,6.977,P.Mahomes,0.996,0.019,8.93,5.217,1.323,11.35,1.733,-1.639
PHI,5.721,J.Hurts,0.926,0.114,8.245,3.61,-2.478,9.17,-1.66,-0.211
BAL,5.167,L.Jackson,0.884,0.545,6.348,4.055,1.161,3.75,1.272,2.901
DAL,5.164,D.Prescott,0.556,1.666,6.388,4.021,-0.223,3.951,-2.147,0.527
SF,3.56,M.Jones,0.0,-1.346,3.085,3.727,-0.167,2.219,-0.583,0.455
CIN,3.152,J.Flacco,0.0,-3.558,0.727,4.751,-0.234,0.239,-1.372,-0.354
LA,2.29,M.Stafford,0.949,0.109,1.927,2.439,0.943,-0.657,-2.332,-0.39
NE,2.182,D.Maye,0.0,-1.814,2.129,2.112,-0.779,-1.782,-2.992,2.091
TB,1.874,B.Mayfield,0.0,-1.836,-0.032,3.161,0.159,-0.787,-0.686,-0.263
SEA,1.269,S.Darnold,0.0,-2.975,0.548,1.728,-2.16,0.875,0.054,1.617
TEN,1.215,C.Ward,0.0,-2.773,-0.491,2.39,-0.599,-1.032,-0.873,0.158
MIA,0.994,T.Tagovailoa,0.673,0.441,0.95,0.977,0.585,3.297,1.754,-1.104
CLE,0.614,D.Gabriel,0.0,-1.856,-1.026,1.771,-0.125,1.809,1.897,-1.367
NO,0.385,T.Shough,0.0,-1.512,-2.144,2.198,0.108,-2.407,-1.593,-1.339
LAC,-1.373,J.Herbert,0.998,0.013,-0.474,-1.956,-0.682,2.628,2.114,-0.391
MIN,-1.422,J.McCarthy,0.0,-3.306,-2.306,-0.712,-1.575,-1.253,-0.394,-0.267
NYJ,-1.85,J.Fields,0.0,1.01,-1.29,-2.163,1.882,-2.977,0.306,0.039
PIT,-2.076,A.Rodgers,0.0,4.058,-0.098,-3.405,3.17,1.19,4.048,-0.295
WAS,-2.546,M.Mariota,0.0,2.031,-2.635,-2.354,0.194,-2.145,0.392,-0.378
IND,-2.635,D.Jones,0.0,0.099,-2.808,-2.379,-0.786,-3.877,-1.616,0.143
LV,-2.741,G.Smith,0.0,-0.868,-3.062,-2.373,-0.559,0.994,4.993,1.302
GB,-2.742,J.Love,0.015,-4.533,-6.514,0.125,-0.162,-2.984,1.82,-1.566
JAX,-3.199,T.Lawrence,0.956,0.089,-5.544,-1.342,-1.607,0.766,4.41,-0.522
NYG,-3.791,J.Dart,0.0,-0.821,-4.299,-3.235,0.153,-1.229,3.168,-0.029
ARI,-4.236,J.Brissett,0.0,-0.326,-4.48,-3.849,1.387,-2.015,1.956,-1.753
DEN,-4.378,B.Nix,0.0,-2.41,-4.843,-3.824,-0.901,-5.72,-4.168,-2.449
DET,-4.444,J.Goff,0.891,0.031,-5.272,-3.623,1.024,0.231,7.356,0.862
CHI,-4.729,C.Williams,0.0,-0.501,-5.302,-4.079,-0.426,-0.579,5.28,0.861
ATL,-5.731,M.Penix,0.0,-2.813,-7.614,-4.083,0.749,-0.856,7.188,-0.168
CAR,-5.762,B.Young,0.0,-0.15,-5.89,-5.385,0.029,-4.658,1.429,0.192
HOU,-8.345,D.Mills,0.867,-0.308,-9.01,-7.451,-0.471,-4.383,6.168,1.999
