Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
BUF,11.211,J.Allen,0.981,0.0,11.926,10.138,0.814,7.723,-3.014,0.641
KC,8.203,P.Mahomes,0.995,0.025,10.919,5.829,1.151,10.559,0.241,-0.114
LA,6.103,M.Stafford,0.925,0.169,6.006,5.87,1.37,1.481,-2.494,1.101
SF,5.491,M.Jones,0.0,-0.607,5.865,4.949,0.249,0.792,-5.043,-0.142
TB,3.402,B.Mayfield,0.0,-1.933,3.202,3.378,1.121,0.516,-1.976,-0.569
PHI,3.066,J.Hurts,0.888,0.127,6.037,0.763,-3.115,7.959,-2.181,-1.053
DAL,2.648,D.Prescott,0.576,1.167,3.298,2.046,-1.16,3.064,-1.019,0.282
MIA,2.594,T.Tagovailoa,0.71,-0.056,2.03,2.873,1.89,2.314,0.897,-1.027
BAL,2.477,C.Rush,0.0,-2.255,1.5,3.062,0.957,0.375,2.43,2.781
GB,1.307,J.Love,0.025,-4.523,-0.131,2.284,-0.142,0.703,-0.657,-1.36
LAC,0.996,J.Herbert,0.996,0.022,2.023,0.202,0.106,5.509,1.669,-1.816
CIN,0.915,J.Browning,0.0,-3.706,0.588,1.107,-0.437,-2.36,-2.425,1.35
LV,0.474,G.Smith,0.0,-0.464,-0.312,1.02,0.63,0.752,2.224,0.579
NE,0.436,D.Maye,0.0,-2.117,-1.854,2.073,1.127,0.199,2.985,-0.039
TEN,0.3,C.Ward,0.0,-4.033,-3.14,2.775,0.273,-0.977,1.902,-0.491
CLE,-0.751,D.Gabriel,0.0,-1.744,-1.419,-0.23,-3.027,3.493,1.604,-0.638
NO,-1.22,S.Rattler,0.0,-1.717,-3.697,0.635,-1.015,-4.789,-4.678,-2.714
SEA,-1.538,S.Darnold,0.0,-3.396,-3.474,-0.06,-1.12,2.529,4.937,-0.124
IND,-1.587,D.Jones,0.0,-0.899,-2.337,-0.965,-0.091,-2.055,1.408,1.226
ARI,-1.937,K.Murray,0.916,0.315,-2.348,-1.542,1.394,-1.171,1.284,-1.178
MIN,-2.31,C.Wentz,0.0,-2.2,-2.445,-2.097,-0.024,-0.361,3.126,0.794
JAX,-2.443,T.Lawrence,0.925,0.131,-4.377,-0.922,-0.384,-1.548,2.498,-0.008
PIT,-2.947,A.Rodgers,0.0,4.143,-0.732,-4.405,0.693,0.604,2.022,-0.408
DEN,-3.233,B.Nix,0.0,-2.62,-3.08,-3.184,0.371,-3.852,-1.4,-0.845
CAR,-3.678,B.Young,0.0,-1.251,-7.427,-0.781,-1.65,-7.813,-1.714,0.193
CHI,-5.153,C.Williams,0.0,0.462,-5.293,-4.796,-0.515,-1.857,3.029,-0.052
HOU,-6.242,C.Stroud,0.0,0.32,-7.03,-5.362,-0.651,-3.461,4.705,1.734
ATL,-6.453,M.Penix,0.0,-2.437,-7.829,-5.136,0.279,-2.254,6.402,0.632
NYG,-6.516,J.Dart,0.0,-0.177,-7.026,-5.823,-0.836,-4.844,2.426,0.971
DET,-6.694,J.Goff,0.831,0.06,-5.759,-7.039,-0.385,2.512,9.264,1.155
WAS,-7.065,J.Daniels,0.0,-0.929,-9.553,-4.914,0.428,-4.953,4.304,-0.853
NYJ,-7.783,J.Fields,0.0,-0.527,-10.268,-5.598,1.217,-5.531,6.132,-0.216
