Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
BUF,8.635,J.Allen,0.95,-0.053,9.204,7.796,-0.407,4.954,-3.758,1.156
DAL,6.333,D.Prescott,0.83,0.509,7.242,5.361,-1.287,3.94,-4.52,0.035
TB,5.951,B.Mayfield,0.0,-1.528,6.375,5.349,-0.325,5.923,-1.468,-0.618
IND,5.926,P.Rivers,0.17,2.254,9.373,3.135,-0.417,7.223,-0.383,2.173
KC,5.086,C.Oladokun,0.0,-6.992,1.822,7.198,0.508,0.772,0.746,1.454
LA,3.577,M.Stafford,0.794,0.275,5.073,2.317,0.327,2.684,-2.555,-0.382
GB,3.01,M.Willis,0.0,-4.247,3.88,2.231,0.121,5.83,0.741,-1.305
NE,2.948,D.Maye,0.0,-2.405,1.743,3.674,0.593,0.178,1.181,2.236
SF,2.891,B.Purdy,0.0,-3.232,1.161,4.0,0.381,1.769,-0.28,-1.149
BAL,2.583,L.Jackson,0.737,1.048,2.079,2.821,0.755,3.276,3.574,1.837
ARI,2.313,J.Brissett,0.0,-0.973,3.196,1.56,0.2,3.37,-0.105,-0.488
CIN,1.935,J.Burrow,0.903,0.379,1.518,2.141,-1.646,3.93,1.375,0.457
NO,0.85,T.Shough,0.0,-1.968,-0.247,1.602,0.605,-4.285,-3.099,0.386
LAC,0.814,J.Herbert,0.966,0.034,0.466,1.026,0.324,6.188,4.556,-1.143
TEN,0.512,C.Ward,0.0,-3.018,-1.588,2.008,-0.21,-0.332,0.646,-0.455
MIN,0.152,J.McCarthy,0.0,-2.814,0.708,-0.259,-0.152,1.693,0.033,-0.517
PHI,0.076,J.Hurts,0.798,0.115,-0.146,0.232,-1.739,2.079,0.513,-0.273
CLE,0.056,S.Sanders,0.0,-2.326,-0.554,0.495,0.109,1.225,0.869,-0.863
LV,-0.561,G.Smith,0.0,-2.991,-3.129,1.326,0.352,-1.815,2.033,0.332
MIA,-1.173,Q.Ewers,0.0,-1.775,-3.384,0.487,-1.813,-2.524,-0.852,-0.199
SEA,-1.61,S.Darnold,0.0,-2.737,-2.11,-1.168,0.503,-2.115,1.685,1.261
DEN,-1.806,B.Nix,0.0,-2.043,-3.464,-0.516,-1.21,-2.076,-0.078,-0.205
CAR,-2.968,B.Young,0.0,-0.836,-6.195,-0.484,-0.072,-4.835,-0.045,-1.137
WAS,-3.376,M.Mariota,0.0,1.194,-4.947,-2.071,1.727,-1.558,5.156,-0.192
CHI,-4.327,C.Williams,0.0,-0.248,-5.502,-3.261,1.356,-2.434,3.513,-0.896
PIT,-4.568,A.Rodgers,0.0,2.462,-2.022,-6.185,1.286,-0.674,3.196,-0.088
ATL,-6.142,K.Cousins,0.0,-0.058,-6.273,-5.742,-1.169,0.524,5.622,-0.113
DET,-6.594,J.Goff,0.687,0.481,-7.408,-5.677,0.359,-2.601,5.562,0.157
HOU,-7.75,C.Stroud,0.0,0.235,-5.929,-8.685,-0.352,-1.952,4.449,0.756
NYG,-7.806,J.Dart,0.0,-0.368,-8.335,-7.036,1.243,-5.872,3.589,0.064
NYJ,-8.693,B.Cook,0.0,1.058,-10.856,-6.697,-0.092,-2.428,7.627,-0.908
JAX,-10.644,T.Lawrence,0.816,-0.037,-13.817,-7.818,-0.077,-4.576,7.78,-1.443
