Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
BUF,11.577,J.Allen,0.986,0.004,13.016,9.961,0.97,9.009,-1.842,1.442
KC,7.308,P.Mahomes,0.996,0.021,9.497,5.361,1.641,11.762,2.25,-1.223
PHI,5.405,J.Hurts,0.919,0.12,8.108,3.181,-1.844,8.594,-1.342,0.024
DAL,4.98,D.Prescott,0.556,1.672,6.296,3.78,-0.338,3.957,-2.147,0.527
SF,4.04,M.Jones,0.0,-1.169,3.512,4.221,0.123,2.397,-0.583,0.455
BAL,3.855,L.Jackson,0.873,0.594,4.82,2.964,0.9,3.267,2.165,2.975
LA,3.595,M.Stafford,0.944,0.123,2.77,4.014,1.241,0.361,-1.384,0.141
TEN,1.404,C.Ward,0.0,-3.354,-0.731,2.88,-1.086,-1.067,-1.672,-0.43
NO,1.363,T.Shough,0.0,-1.627,-0.894,2.93,-0.325,-1.835,-2.578,-1.266
TB,1.31,B.Mayfield,0.0,-2.035,-0.46,2.527,0.251,0.224,0.282,-0.83
SEA,0.883,S.Darnold,0.0,-3.052,-0.303,1.698,-1.652,0.212,0.493,1.433
NE,0.854,D.Maye,0.0,-1.944,0.33,1.191,-0.944,-0.481,-0.971,1.202
MIA,0.631,T.Tagovailoa,0.642,0.407,0.505,0.692,0.595,2.095,0.804,-1.308
CIN,0.199,J.Flacco,0.0,-3.448,-0.743,0.871,-0.085,-0.569,-0.619,-0.403
CLE,0.037,D.Gabriel,0.0,-1.887,-1.599,1.22,-0.756,1.777,1.897,-1.367
LAC,-0.827,J.Herbert,0.997,0.015,-0.265,-1.193,-0.326,2.686,1.992,-0.667
MIN,-1.162,J.McCarthy,0.0,-3.372,-1.994,-0.501,-1.133,-0.481,0.518,-0.213
IND,-1.842,D.Jones,0.0,-0.451,-1.915,-1.698,-1.183,-2.457,-0.311,1.263
LV,-1.887,G.Smith,0.0,-0.739,-2.284,-1.505,0.262,0.694,4.327,0.997
GB,-2.367,J.Love,0.016,-4.633,-6.451,0.707,0.122,-2.437,2.468,-1.645
PIT,-2.545,A.Rodgers,0.0,4.19,-0.369,-3.996,2.702,1.321,4.048,-0.295
CAR,-2.827,B.Young,0.0,-0.609,-4.704,-1.327,-0.103,-4.586,0.193,0.231
ARI,-3.166,J.Brissett,0.0,-0.407,-3.174,-3.003,1.609,-1.825,1.204,-1.585
JAX,-3.663,T.Lawrence,0.951,0.088,-5.78,-1.949,-1.285,-0.268,4.25,-0.162
NYG,-3.711,J.Dart,0.0,-0.886,-4.409,-3.022,0.101,-1.294,3.168,-0.029
WAS,-4.071,J.Daniels,0.0,-1.098,-5.953,-2.507,0.246,-4.802,0.998,-0.488
NYJ,-4.106,J.Fields,0.0,0.501,-3.781,-4.138,0.541,-4.258,0.452,0.097
DEN,-4.459,B.Nix,0.0,-2.47,-4.965,-3.872,-0.973,-5.78,-4.168,-2.449
CHI,-4.8,C.Williams,0.0,-0.139,-5.106,-4.341,-0.617,-1.334,4.348,1.04
DET,-5.383,J.Goff,0.88,0.034,-5.981,-4.684,1.06,0.797,8.689,0.878
ATL,-6.206,M.Penix,0.0,-2.9,-7.893,-4.678,1.011,-1.069,7.673,0.03
HOU,-7.901,D.Mills,0.853,-0.328,-8.674,-6.949,-1.108,-4.325,5.278,1.942
