Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game,Rank,MP_Rating,Rating_Last,Rank_Last,Change,QB used,Diff,Abs_Diff
SEA,9.819,S.Darnold,0.865,0.147,11.327,8.24,1.199,3.277,-4.773,2.522,1,9.53,9.76,1,0,Darnold,0.2890000000000015,0.2890000000000015
LA,7.034,M.Stafford,0.989,0.005,8.132,5.89,1.321,8.429,0.135,-1.323,2,9.47,9.27,2,0,Stafford,-2.436000000000001,2.436000000000001
HOU,4.977,C.Stroud,0.816,0.696,6.77,3.431,0.202,-2.124,-6.915,1.855,11,2.43,2.15,12,1,Stroud,2.547,2.547
NE,4.127,D.Maye,0.946,0.167,5.107,3.212,-1.118,3.184,-2.775,0.105,14,0.97,0.82,14,0,Maye,3.157,3.157
DET,3.65,J.Goff,1.0,-0.0,4.031,3.193,0.647,4.413,0.844,-0.009,8,3.74,4.04,7,-1,Goff,-0.0900000000000003,0.0900000000000003
JAX,3.64,T.Lawrence,0.923,0.153,4.06,3.155,-0.865,2.82,-0.559,1.371,7,3.82,2.83,11,4,Lawrence,-0.17999999999999972,0.17999999999999972
PHI,3.497,J.Hurts,0.913,0.218,5.209,2.084,-0.591,1.413,-4.547,-0.236,3,5.49,4.41,4,1,Hurts,-1.9930000000000003,1.9930000000000003
BUF,3.455,J.Allen,0.936,0.275,5.608,1.724,-0.519,7.629,0.19,-1.276,4,4.98,5.09,3,-1,Allen,-1.5250000000000004,1.5250000000000004
GB,3.064,J.Love,0.861,1.325,4.147,2.128,0.485,8.563,3.086,-1.831,9,3.57,4.02,8,-1,Love,-0.5059999999999998,0.5059999999999998
BAL,3.026,L.Jackson,0.752,1.061,3.539,2.504,-0.021,5.372,1.582,-0.224,5,4.35,3.3,9,4,Jackson,-1.3239999999999998,1.3239999999999998
SF,2.781,B.Purdy,0.673,1.572,5.275,0.837,1.394,7.105,4.305,1.278,6,3.99,4.4,5,-1,Purdy,-1.209,1.209
DEN,2.605,J.Stidham,0.065,-1.754,1.896,2.99,-1.216,-0.682,-3.702,-0.066,10,3.43,3.24,10,0,Nix,-0.8250000000000002,0.8250000000000002
CHI,1.696,C.Williams,0.989,0.004,2.49,1.037,0.623,3.868,2.434,0.63,13,1.34,-0.14,16,3,Williams,0.35599999999999987,0.35599999999999987
MIN,1.313,J.McCarthy,0.506,-0.089,1.973,0.769,1.062,-3.629,-3.924,0.864,17,-0.1,-1.03,19,2,McCarthy,1.413,1.413
PIT,0.605,A.Rodgers,0.788,0.096,0.574,0.597,0.354,0.36,0.988,0.888,12,1.6,0.98,13,1,Rodgers,-0.9950000000000001,0.9950000000000001
LAC,0.506,J.Herbert,0.933,0.452,0.834,0.244,-0.778,-0.935,-3.448,-1.004,15,0.79,-0.33,17,2,Herbert,-0.28400000000000003,0.28400000000000003
ATL,-0.226,K.Cousins,0.565,-0.151,0.133,-0.474,-1.113,1.453,-0.626,-0.881,21,-1.47,-1.59,23,2,Cousins,1.244,1.244
IND,-0.4,R.Leonard,0.121,-0.436,0.13,-0.764,0.994,1.942,2.612,-0.091,16,0.76,-1.09,20,4,Rivers,-1.1600000000000001,1.1600000000000001
CIN,-0.534,J.Burrow,0.543,1.579,-0.487,-0.542,-0.394,4.664,5.947,1.049,23,-2.52,-1.28,21,-2,Burrow,1.986,1.986
TB,-2.052,B.Mayfield,1.0,0.0,-1.913,-2.05,-0.422,1.74,2.731,-0.417,22,-1.55,-1.43,22,0,Mayfield,-0.502,0.502
DAL,-3.472,D.Prescott,0.91,0.528,-4.059,-2.874,-1.397,6.391,9.397,0.22,19,-0.41,-0.03,15,-4,Prescott,-3.062,3.062
ARI,-3.793,J.Brissett,0.643,-0.185,-4.956,-2.762,2.18,0.019,4.719,-2.073,26,-5.03,-4.87,27,1,Brissett,1.237,1.237
WAS,-4.195,J.Johnson,0.122,-4.686,-7.905,-1.3,0.008,-2.777,6.317,1.275,24,-2.85,-3.58,24,0,Mariota,-1.3450000000000002,1.3450000000000002
MIA,-4.212,Q.Ewers,0.187,-2.655,-4.804,-3.575,-1.411,-2.692,2.16,1.411,20,-1.2,-0.46,18,-2,Tagovailoa,-3.0119999999999996,3.0119999999999996
CAR,-4.396,B.Young,0.921,-0.098,-6.071,-2.964,0.355,-1.995,4.529,0.072,25,-4.91,-4.78,25,0,Young,0.5140000000000002,0.5140000000000002
NO,-4.693,T.Shough,0.507,0.906,-5.77,-3.681,-1.38,-2.711,-0.646,-2.729,29,-6.16,-6.61,31,2,Shough,1.4670000000000005,1.4670000000000005
NYG,-4.853,J.Dart,0.617,0.989,-4.965,-4.531,-0.17,0.657,4.794,-0.843,28,-5.66,-5.51,28,0,Dart,0.8070000000000004,0.8070000000000004
KC,-5.102,C.Oladokun,0.178,-11.803,-11.784,-0.01,-0.689,-10.804,-0.196,-0.505,18,-0.19,4.31,6,-12,Minshew,-4.912,4.912
CLE,-7.303,S.Sanders,0.457,-0.56,-8.53,-6.052,-0.573,-9.379,-2.59,-1.342,30,-7.17,-6.02,29,-1,Sanders,-0.133,0.133
LV,-8.163,A.O'Connell,0.139,-0.617,-12.041,-4.95,-0.043,-9.941,0.615,-1.45,32,-7.86,-6.61,30,-2,Smith,-0.30299999999999994,0.30299999999999994
NYJ,-10.004,B.Cook,0.301,-5.249,-16.219,-5.008,0.382,-11.168,7.184,1.398,27,-5.51,-4.83,26,-1,Cook,-4.494,4.494
TEN,-10.875,B.Allen,0.064,-6.055,-15.818,-6.756,1.287,-12.163,5.909,0.831,31,-7.65,-8.41,32,1,Ward,-3.2249999999999996,3.2249999999999996
