Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
BUF,9.237,J.Allen,0.992,0.001,11.087,7.44,-0.271,7.638,-2.05,1.691
CIN,6.814,J.Burrow,0.976,0.126,8.405,5.323,0.76,5.776,-1.893,0.294
SF,6.327,B.Purdy,0.248,-1.401,6.704,5.74,-1.616,3.346,-4.044,0.704
PHI,5.801,J.Hurts,0.891,0.197,8.127,3.828,-1.689,8.785,-1.42,-0.496
KC,5.374,C.Oladokun,0.0,-7.335,3.364,6.563,0.066,4.385,-0.892,-1.662
DAL,5.333,D.Prescott,0.745,0.928,6.274,4.387,-0.856,5.208,-1.691,0.422
BAL,4.443,L.Jackson,0.67,1.66,5.778,3.256,-0.224,3.149,-1.123,1.716
MIA,0.914,Q.Ewers,0.0,-2.661,-0.997,2.252,0.862,0.384,1.014,-1.008
PIT,0.64,A.Rodgers,0.0,3.65,2.885,-1.017,1.946,4.11,1.401,-1.686
NE,0.498,D.Maye,0.0,-1.689,0.19,0.697,0.31,-2.161,-1.948,0.451
NO,0.316,T.Shough,0.0,-1.357,-1.692,1.754,-0.39,-2.797,-1.865,-0.372
TB,-0.034,B.Mayfield,0.0,-1.846,-2.061,1.436,0.763,-2.361,-1.345,-1.808
CLE,-0.182,S.Sanders,0.0,-2.419,-1.913,1.08,1.152,-2.684,0.082,-0.442
IND,-0.363,P.Rivers,0.032,2.441,1.422,-1.637,-0.023,-1.123,-2.184,0.543
LV,-0.622,G.Smith,0.0,-0.715,0.342,-1.29,-0.973,0.743,1.491,1.837
WAS,-0.815,M.Mariota,0.0,1.502,-0.87,-0.735,-0.462,-0.689,-0.662,-0.517
LA,-0.967,M.Stafford,0.618,1.185,-1.292,-0.684,0.646,-1.089,0.493,-0.306
DET,-1.253,J.Goff,0.938,0.048,-1.642,-0.908,-0.536,3.221,5.66,1.353
TEN,-1.365,C.Ward,0.0,-2.616,-3.67,0.372,0.015,-2.737,1.001,0.066
LAC,-1.473,J.Herbert,0.999,0.008,-1.696,-1.238,0.329,0.495,2.413,-0.029
SEA,-1.753,S.Darnold,0.0,-2.774,-4.611,0.404,-0.463,-3.16,3.046,1.927
JAX,-2.004,T.Lawrence,0.972,0.076,-2.486,-1.556,-0.195,2.489,4.177,-0.648
CAR,-2.023,B.Young,0.0,-0.014,-1.271,-2.468,-1.042,-0.722,-0.24,0.19
NYJ,-2.598,B.Cook,0.0,0.31,-3.35,-1.925,1.263,-4.577,0.313,0.246
GB,-3.331,M.Willis,0.0,-7.341,-8.254,0.399,-0.097,-4.79,2.831,-0.547
NYG,-4.521,J.Dart,0.0,-1.141,-5.953,-3.259,-0.314,-1.922,3.747,-0.26
MIN,-4.835,J.McCarthy,0.0,-3.278,-6.188,-3.616,-0.291,-3.506,1.889,-1.069
ARI,-4.875,J.Brissett,0.0,0.808,-5.122,-4.455,0.239,-3.308,1.187,-0.864
ATL,-5.06,K.Cousins,0.0,1.596,-5.429,-4.542,0.303,1.314,6.778,-0.176
DEN,-5.705,B.Nix,0.0,-2.149,-6.881,-4.57,0.209,-7.14,-2.45,-2.306
CHI,-5.873,C.Williams,0.0,-0.818,-7.195,-4.625,0.217,-2.25,5.834,0.664
HOU,-8.435,C.Stroud,0.0,0.402,-8.637,-7.871,0.363,-7.098,4.096,2.168
