Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
BAL,8.498,T.Huntley,0.0,-4.064,8.601,8.003,-1.037,2.576,-4.354,3.301
KC,7.803,P.Mahomes,0.951,0.353,11.35,4.848,1.005,11.182,0.474,-0.186
PIT,6.406,A.Rodgers,0.0,1.156,9.42,3.907,-1.295,3.746,-6.41,0.333
TB,5.961,B.Mayfield,0.0,-1.801,7.169,4.79,0.989,3.727,-3.735,-1.028
NO,5.606,S.Rattler,0.0,-4.549,3.962,6.519,1.008,2.495,1.107,2.119
GB,4.595,J.Love,0.0,-3.981,5.464,3.737,0.567,5.024,1.312,1.327
LA,4.379,M.Stafford,0.0,-1.089,4.27,4.24,-1.109,3.871,-2.381,-1.033
SF,4.203,M.Jones,0.0,-3.314,3.939,4.186,-0.438,2.601,-2.517,-0.484
BUF,2.265,J.Allen,0.905,0.038,3.309,1.396,-2.191,5.245,0.951,0.952
IND,1.151,D.Jones,0.0,-2.59,-0.966,2.628,-3.658,0.566,-0.883,0.789
SEA,1.044,S.Darnold,0.0,-3.888,0.727,1.222,-0.032,3.359,3.372,0.799
NE,0.076,D.Maye,0.0,-2.416,-2.007,1.581,1.305,-2.364,1.012,-0.105
TEN,-0.589,C.Ward,0.0,-2.339,-1.788,0.308,0.079,4.838,5.484,-1.207
ARI,-0.603,J.Brissett,0.0,-1.235,-0.851,-0.393,-1.085,1.918,2.413,0.552
LAC,-0.758,J.Herbert,0.51,-0.12,-1.3,-0.328,1.298,1.717,0.887,-3.176
MIA,-1.061,T.Tagovailoa,0.0,-2.522,-4.537,1.508,-2.133,-0.299,3.65,1.245
CAR,-1.497,A.Dalton,0.0,-0.621,-2.855,-0.439,1.972,0.581,4.175,-1.096
DEN,-1.503,B.Nix,0.0,-0.025,-0.263,-2.326,1.973,-4.895,-1.632,1.294
CLE,-1.996,D.Gabriel,0.0,-2.004,-1.502,-2.254,0.007,3.942,4.083,-0.901
CHI,-2.077,C.Williams,0.0,-1.361,-2.687,-1.532,0.315,-4.627,-2.683,-0.953
MIN,-2.536,C.Wentz,0.0,0.635,-0.488,-3.893,1.37,0.897,0.746,-2.073
ATL,-2.766,K.Cousins,0.0,-1.567,-2.792,-2.611,0.523,1.598,4.284,-0.165
LV,-2.854,G.Smith,0.0,-4.853,-6.638,0.027,3.026,0.447,9.124,-0.564
DET,-3.352,J.Goff,0.0,1.784,-0.897,-4.963,0.293,3.157,5.78,1.153
DAL,-4.094,D.Prescott,0.802,0.493,-7.583,-1.365,-1.808,1.726,7.208,-1.149
HOU,-4.474,C.Stroud,0.0,-3.862,-7.114,-2.34,2.832,0.087,10.328,0.966
CIN,-4.513,J.Flacco,0.0,-1.534,-7.941,-1.807,0.383,-1.38,7.756,0.742
PHI,-4.677,J.Hurts,0.0,-3.134,-9.99,-0.599,-0.19,-6.273,3.148,-0.819
WAS,-5.496,M.Mariota,0.0,1.573,-7.832,-3.532,-1.568,-3.556,2.014,-1.094
NYG,-5.839,J.Dart,0.0,-0.349,-8.788,-3.413,-1.757,-4.698,4.757,2.129
JAX,-10.288,T.Lawrence,0.0,-1.186,-13.242,-7.64,-1.384,-2.134,10.28,-0.098
NYJ,-11.275,J.Fields,0.0,0.164,-13.52,-9.091,0.744,-7.429,5.757,-1.085
