Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game,Rank,MP_Rating,Rating_Last,Rank_Last,Change,QB used,Diff,Abs_Diff
SEA,9.621,S.Darnold,0.773,0.261,10.025,8.851,-0.182,3.217,-4.546,2.824,1,9.53,9.76,1,0,Darnold,0.09100000000000108,0.09100000000000108
LA,8.569,M.Stafford,0.981,0.019,9.649,7.362,0.924,7.915,-2.163,-1.261,2,9.47,9.27,2,0,Stafford,-0.9009999999999998,0.9009999999999998
HOU,5.208,C.Stroud,0.731,0.924,7.282,3.448,1.382,-0.513,-5.817,0.86,11,2.43,2.15,12,1,Stroud,2.778,2.778
DET,5.191,J.Goff,1.0,0.0,6.321,4.115,0.354,5.93,-0.162,0.038,8,3.74,4.04,7,-1,Goff,1.4509999999999996,1.4509999999999996
GB,4.762,J.Love,0.968,0.16,6.458,3.298,-0.143,8.701,0.393,-1.847,9,3.57,4.02,8,-1,Love,1.1919999999999997,1.1919999999999997
SF,3.622,B.Purdy,0.515,2.039,6.323,1.486,0.63,6.308,2.486,1.973,6,3.99,4.4,5,-1,Purdy,-0.3680000000000003,0.3680000000000003
PHI,3.526,J.Hurts,0.96,0.14,6.316,1.332,0.806,1.409,-4.804,-0.582,3,5.49,4.41,4,1,Hurts,-1.9640000000000004,1.9640000000000004
BUF,3.38,J.Allen,0.986,0.078,4.945,2.08,-0.431,6.947,0.566,-0.907,4,4.98,5.09,3,-1,Allen,-1.6000000000000005,1.6000000000000005
DEN,3.231,B.Nix,0.966,0.07,3.866,2.61,-2.831,2.248,-3.848,0.222,10,3.43,3.24,10,0,Nix,-0.1990000000000003,0.1990000000000003
BAL,2.71,L.Jackson,0.833,0.814,2.316,2.862,-0.374,3.495,0.931,0.091,5,4.35,3.3,9,4,Jackson,-1.6399999999999997,1.6399999999999997
KC,2.509,P.Mahomes,0.983,0.085,2.953,2.064,0.789,5.272,1.748,-1.145,18,-0.19,4.31,6,-12,Minshew,2.699,2.699
JAX,2.384,T.Lawrence,0.892,0.162,2.934,1.867,0.233,0.661,-0.664,1.331,7,3.82,2.83,11,4,Lawrence,-1.436,1.436
NE,1.76,D.Maye,0.894,0.24,3.002,0.773,-3.521,4.565,-0.309,1.083,14,0.97,0.82,14,0,Maye,0.79,0.79
LAC,0.957,J.Herbert,0.99,0.035,1.725,0.354,-1.978,0.753,-3.367,-0.687,15,0.79,-0.33,17,2,Herbert,0.16699999999999993,0.16699999999999993
CHI,0.32,C.Williams,0.966,0.011,2.238,-1.084,-0.471,3.199,0.349,-0.029,13,1.34,-0.14,16,3,Williams,-1.02,1.02
MIA,0.13,T.Tagovailoa,0.932,0.26,0.775,-0.343,-2.027,1.39,-0.239,1.1,20,-1.2,-0.46,18,-2,Tagovailoa,1.33,1.33
IND,0.091,P.Rivers,0.0,-2.217,0.124,0.063,-0.414,1.253,1.223,0.409,16,0.76,-1.09,20,4,Rivers,-0.669,0.669
PIT,-0.192,A.Rodgers,0.693,0.119,0.037,-0.349,-0.123,0.687,2.052,1.489,12,1.6,0.98,13,1,Rodgers,-1.792,1.792
TB,-0.913,B.Mayfield,1.0,0.0,0.012,-1.537,0.635,1.752,1.862,-0.239,22,-1.55,-1.43,22,0,Mayfield,0.637,0.637
DAL,-1.161,D.Prescott,0.882,0.621,-0.627,-1.489,-0.385,6.314,7.821,1.305,19,-0.41,-0.03,15,-4,Prescott,-0.7510000000000001,0.7510000000000001
MIN,-1.746,J.McCarthy,0.422,-2.069,-3.444,-0.43,1.705,-6.594,-0.861,0.951,17,-0.1,-1.03,19,2,McCarthy,-1.646,1.646
ARI,-2.013,J.Brissett,0.52,-0.131,-1.936,-1.969,2.407,0.32,2.587,-1.663,26,-5.03,-4.87,27,1,Brissett,3.0170000000000003,3.0170000000000003
ATL,-2.25,K.Cousins,0.419,-0.002,-3.379,-1.321,-1.038,1.116,0.963,-2.499,21,-1.47,-1.59,23,2,Cousins,-0.78,0.78
CIN,-2.893,J.Burrow,0.403,2.038,-2.712,-2.88,0.427,4.073,8.578,1.299,23,-2.52,-1.28,21,-2,Burrow,-0.3729999999999998,0.3729999999999998
WAS,-3.246,M.Mariota,0.376,-0.872,-5.296,-1.6,0.544,1.093,6.72,-0.189,24,-2.85,-3.58,24,0,Mariota,-0.3959999999999999,0.3959999999999999
CAR,-5.034,B.Young,0.889,-0.133,-6.145,-3.981,0.046,-1.409,5.081,0.202,25,-4.91,-4.78,25,0,Young,-0.12399999999999967,0.12399999999999967
NYG,-5.362,J.Dart,0.484,0.808,-5.179,-5.229,1.798,0.351,6.385,-0.734,28,-5.66,-5.51,28,0,Dart,0.29800000000000004,0.29800000000000004
CLE,-5.854,S.Sanders,0.278,0.501,-8.094,-3.942,-1.209,-7.884,-3.253,-2.571,30,-7.17,-6.02,29,-1,Sanders,1.3159999999999998,1.3159999999999998
NO,-6.568,T.Shough,0.341,-0.403,-8.436,-4.891,0.605,-5.586,1.593,-2.043,29,-6.16,-6.61,31,2,Shough,-0.4079999999999995,0.4079999999999995
NYJ,-6.652,B.Cook,0.073,-3.88,-12.412,-2.151,-0.172,-9.205,5.451,1.953,27,-5.51,-4.83,26,-1,Cook,-1.1420000000000003,1.1420000000000003
LV,-7.625,G.Smith,0.773,0.268,-11.762,-4.251,0.038,-8.249,2.594,-0.949,32,-7.86,-6.61,30,-2,Smith ,0.23500000000000032,0.23500000000000032
TEN,-8.088,C.Ward,0.77,-0.42,-10.171,-6.178,1.771,-7.481,5.053,0.429,31,-7.65,-8.41,32,1,Ward,-0.43799999999999883,0.43799999999999883
