Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game,Rank,MP_Rating,Rating_Last,Rank_Last,Change,QB used,Diff,Abs_Diff
SEA,9.657,S.Darnold,0.789,0.246,9.864,9.028,0.24,2.831,-4.626,2.577,1,9.53,9.76,1,0,Darnold,0.12700000000000067,0.12700000000000067
LA,9.4,M.Stafford,0.983,0.019,10.221,8.339,1.209,8.6,-1.481,-0.936,2,9.47,9.27,2,0,Stafford,-0.07000000000000028,0.07000000000000028
HOU,5.821,C.Stroud,0.749,0.894,8.282,3.751,1.305,0.29,-5.629,1.304,11,2.43,2.15,12,1,Stroud,3.3909999999999996,3.3909999999999996
DET,4.242,J.Goff,1.0,-0.0,5.448,3.159,0.909,6.062,1.084,-0.206,8,3.74,4.04,7,-1,Goff,0.5019999999999998,0.5019999999999998
PHI,4.138,J.Hurts,0.962,0.132,6.251,2.402,-0.254,1.78,-5.211,-0.514,3,5.49,4.41,4,1,Hurts,-1.3520000000000003,1.3520000000000003
DEN,3.876,B.Nix,0.968,0.073,4.729,3.067,-2.262,3.152,-3.322,0.217,10,3.43,3.24,10,0,Nix,0.44599999999999973,0.44599999999999973
SF,3.525,B.Purdy,0.549,1.96,6.3,1.341,-0.278,7.268,2.623,1.906,6,3.99,4.4,5,-1,Purdy,-0.4650000000000003,0.4650000000000003
BAL,3.228,L.Jackson,0.844,0.756,3.221,3.073,-0.73,3.698,-0.014,0.153,5,4.35,3.3,9,4,Jackson,-1.1219999999999994,1.1219999999999994
BUF,3.108,J.Allen,0.987,0.073,5.215,1.429,-0.362,7.606,1.335,-0.598,4,4.98,5.09,3,-1,Allen,-1.8720000000000003,1.8720000000000003
JAX,3.035,T.Lawrence,0.9,0.173,3.727,2.384,-0.338,1.807,-0.859,1.278,7,3.82,2.83,11,4,Lawrence,-0.7849999999999997,0.7849999999999997
GB,1.795,M.Willis,0.03,-4.879,0.381,2.73,0.085,3.326,1.399,-1.73,9,3.57,4.02,8,-1,Love,-1.775,1.775
CHI,1.775,C.Williams,0.969,0.011,3.146,0.694,-1.099,3.177,-1.11,-0.048,13,1.34,-0.14,16,3,Williams,0.43499999999999983,0.43499999999999983
NE,1.638,D.Maye,0.901,0.221,2.287,1.086,-3.148,5.096,0.911,0.742,14,0.97,0.82,14,0,Maye,0.6679999999999999,0.6679999999999999
LAC,1.236,J.Herbert,0.991,0.032,2.106,0.544,-1.446,0.508,-3.567,-0.719,15,0.79,-0.33,17,2,Herbert,0.44599999999999995,0.44599999999999995
PIT,0.747,A.Rodgers,0.715,0.147,1.143,0.424,-0.184,1.439,1.355,1.198,12,1.6,0.98,13,1,Rodgers,-0.8530000000000001,0.8530000000000001
IND,0.374,P.Rivers,0.071,-2.059,0.729,0.097,0.549,0.763,0.972,0.428,16,0.76,-1.09,20,4,Rivers,-0.386,0.386
KC,-0.31,C.Oladokun,0.0,-6.147,-3.308,1.876,1.107,-1.723,1.448,-0.993,18,-0.19,4.31,6,-12,Minshew,-0.12,0.12
MIN,-0.728,J.McCarthy,0.462,-1.302,-1.721,0.027,1.581,-4.627,-0.38,1.285,17,-0.1,-1.03,19,2,McCarthy,-0.628,0.628
TB,-1.342,B.Mayfield,1.0,0.0,-0.904,-1.592,0.4,1.866,2.73,-0.211,22,-1.55,-1.43,22,0,Mayfield,0.20799999999999996,0.20799999999999996
DAL,-1.732,D.Prescott,0.891,0.572,-1.597,-1.743,-0.505,6.294,8.175,0.805,19,-0.41,-0.03,15,-4,Prescott,-1.322,1.322
ATL,-1.772,K.Cousins,0.459,0.075,-2.41,-1.223,-1.085,2.124,1.133,-2.338,21,-1.47,-1.59,23,2,Cousins,-0.30200000000000005,0.30200000000000005
WAS,-2.277,M.Mariota,0.418,-0.784,-3.749,-1.098,-0.139,1.583,5.92,0.813,24,-2.85,-3.58,24,0,Mariota,0.573,0.573
ARI,-2.539,J.Brissett,0.553,-0.14,-2.926,-2.133,2.694,0.064,3.168,-2.067,26,-5.03,-4.87,27,1,Brissett,2.491,2.491
MIA,-3.015,Q.Ewers,0.0,-4.426,-5.0,-1.428,-1.756,-3.947,0.562,1.215,20,-1.2,-0.46,18,-2,Tagovailoa,-1.8150000000000002,1.8150000000000002
CIN,-3.558,J.Burrow,0.445,1.791,-3.754,-3.239,0.765,2.767,8.432,1.137,23,-2.52,-1.28,21,-2,Burrow,-1.0379999999999998,1.0379999999999998
