Side,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense
Category,1st_Down,3rd_Down,Overall,Pass,Pass_BehindLoS,Pass_Deep,Pass_Intermediate,Pass_Short,Play_Action,Pressured,Quick_Game_Proxy,Redzone,Run,Scramble,Target_RB,Target_TE,Target_WR,Vs_Man,Vs_Zone,1st_Down,3rd_Down,Overall,Pass,Pass_BehindLoS,Pass_Deep,Pass_Intermediate,Pass_Short,Play_Action,Pressured,Quick_Game_Proxy,Redzone,Run,Scramble,Target_RB,Target_TE,Target_WR,Vs_Man,Vs_Zone
LAC,87.5,90.625,90.625,93.75,40.625,25.0,90.625,100.0,53.125,56.25,93.75,100.0,87.5,,90.625,100.0,56.25,65.625,90.625,34.375,37.5,56.25,62.5,28.125,64.51612903225806,93.75,34.375,84.375,56.25,25.0,37.5,31.25,,15.625,50.0,78.125,46.875,81.25
LV,78.125,34.375,59.375,50.0,71.875,68.75,12.5,46.875,81.25,40.625,68.75,43.75,53.125,,50.0,62.5,53.125,75.0,46.875,43.75,6.25,9.375,18.75,43.75,29.032258064516128,37.5,15.625,25.0,6.25,50.0,6.25,3.125,,43.75,34.375,18.75,15.625,21.875
MIA,62.5,59.375,53.125,46.875,21.875,31.25,50.0,59.375,34.375,28.125,25.0,50.0,59.375,,62.5,46.875,34.375,15.625,75.0,68.75,21.875,46.875,68.75,87.5,,40.625,78.125,56.25,59.375,75.0,43.75,6.25,,84.375,93.75,28.125,53.125,75.0
MIN,100.0,71.875,93.75,84.375,100.0,59.375,31.25,71.875,96.875,81.25,90.625,15.625,100.0,,78.125,43.75,93.75,96.875,59.375,25.0,62.5,53.125,59.375,18.75,96.77419354838709,65.625,59.375,31.25,40.625,18.75,28.125,21.875,,50.0,75.0,87.5,84.375,50.0
NE,21.875,50.0,9.375,6.25,43.75,84.375,28.125,3.125,6.25,6.25,3.125,9.375,31.25,,15.625,56.25,9.375,40.625,3.125,9.375,12.5,18.75,15.625,81.25,19.354838709677416,3.125,25.0,21.875,43.75,34.375,40.625,28.125,88.88888888888889,59.375,43.75,6.25,18.75,18.75
NO,18.75,18.75,12.5,37.5,90.625,56.25,93.75,9.375,25.0,31.25,18.75,34.375,6.25,25.0,75.0,3.125,75.0,53.125,18.75,18.75,15.625,25.0,28.125,21.875,9.677419354838708,75.0,12.5,59.375,68.75,15.625,25.0,37.5,,31.25,59.375,9.375,21.875,31.25
NYG,40.625,31.25,25.0,15.625,9.375,3.125,62.5,28.125,40.625,78.125,28.125,18.75,43.75,,46.875,28.125,6.25,68.75,9.375,6.25,40.625,6.25,6.25,9.375,32.25806451612903,25.0,28.125,9.375,3.125,12.5,9.375,18.75,,21.875,28.125,12.5,3.125,12.5
NYJ,84.375,28.125,50.0,62.5,87.5,75.0,6.25,37.5,65.625,46.875,59.375,53.125,28.125,,43.75,37.5,40.625,46.875,65.625,50.0,25.0,37.5,34.375,50.0,61.29032258064516,15.625,40.625,34.375,75.0,37.5,31.25,34.375,,53.125,15.625,37.5,40.625,46.875
PHI,96.875,100.0,100.0,100.0,96.875,100.0,84.375,93.75,100.0,68.75,96.875,84.375,90.625,75.0,100.0,53.125,100.0,93.75,100.0,65.625,81.25,71.875,71.875,78.125,100.0,46.875,75.0,78.125,37.5,90.625,62.5,81.25,55.55555555555556,87.5,81.25,96.875,93.75,34.375
PIT,71.875,84.375,81.25,71.875,78.125,65.625,56.25,62.5,84.375,59.375,71.875,59.375,75.0,,56.25,68.75,65.625,43.75,81.25,31.25,65.625,43.75,40.625,34.375,80.64516129032258,84.375,18.75,18.75,25.0,62.5,46.875,53.125,,75.0,53.125,71.875,25.0,59.375
SEA,9.375,87.5,68.75,68.75,3.125,71.875,87.5,75.0,9.375,53.125,75.0,68.75,50.0,,59.375,21.875,90.625,50.0,71.875,46.875,43.75,40.625,37.5,12.5,93.54838709677419,34.375,53.125,12.5,34.375,40.625,21.875,40.625,,25.0,21.875,68.75,31.25,53.125
SF,59.375,46.875,65.625,90.625,68.75,87.5,100.0,53.125,78.125,100.0,53.125,28.125,21.875,,81.25,71.875,84.375,71.875,84.375,81.25,90.625,87.5,93.75,93.75,87.09677419354838,71.875,68.75,93.75,93.75,78.125,81.25,62.5,,68.75,100.0,59.375,90.625,90.625
TB,68.75,40.625,46.875,25.0,84.375,15.625,15.625,34.375,62.5,9.375,81.25,93.75,93.75,,34.375,18.75,28.125,31.25,12.5,90.625,78.125,75.0,81.25,100.0,35.483870967741936,53.125,90.625,50.0,96.875,93.75,71.875,65.625,11.11111111111111,96.875,68.75,75.0,62.5,87.5
TEN,12.5,15.625,18.75,28.125,46.875,90.625,3.125,40.625,87.5,37.5,62.5,40.625,12.5,,9.375,25.0,59.375,9.375,43.75,15.625,9.375,12.5,9.375,6.25,77.41935483870967,59.375,6.25,46.875,18.75,6.25,15.625,12.5,,6.25,9.375,34.375,12.5,6.25
WAS,53.125,68.75,43.75,34.375,59.375,96.875,18.75,12.5,43.75,3.125,6.25,65.625,65.625,,96.875,15.625,12.5,12.5,53.125,37.5,71.875,84.375,75.0,46.875,38.70967741935483,90.625,81.25,75.0,78.125,56.25,87.5,93.75,66.66666666666666,46.875,84.375,84.375,59.375,84.375
