Side,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense
Category,1st_Down,3rd_Down,Overall,Pass,Pass_BehindLoS,Pass_Deep,Pass_Intermediate,Pass_Short,Pressured,Quick_Game_Proxy,Redzone,Run,Scramble,Target_RB,Target_TE,Target_WR,Vs_Man,Vs_Zone,1st_Down,3rd_Down,Overall,Pass,Pass_BehindLoS,Pass_Deep,Pass_Intermediate,Pass_Short,Pressured,Quick_Game_Proxy,Redzone,Run,Scramble,Target_RB,Target_TE,Target_WR,Vs_Man,Vs_Zone
Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARI,53.125,50.0,46.875,59.375,3.125,100.0,37.5,43.75,37.5,15.625,9.375,31.25,,12.5,34.375,93.75,25.0,65.625,3.125,21.875,15.625,21.875,43.75,3.3333333333333335,12.5,25.0,6.25,34.375,43.75,31.25,,53.125,40.625,3.125,3.125,15.625
ATL,6.25,9.375,6.25,3.125,93.75,41.93548387096774,21.875,3.125,62.5,31.25,6.25,28.125,,87.5,18.75,6.25,3.125,28.125,62.5,56.25,53.125,46.875,15.625,10.0,78.125,71.875,71.875,31.25,53.125,65.625,,12.5,71.875,50.0,59.375,37.5
BAL,65.625,81.25,62.5,43.75,18.75,3.225806451612903,50.0,78.125,21.875,28.125,78.125,90.625,,9.375,68.75,40.625,34.375,31.25,84.375,37.5,56.25,34.375,46.875,13.333333333333334,84.375,18.75,25.0,25.0,12.5,84.375,16.666666666666668,34.375,37.5,28.125,43.75,25.0
BUF,59.375,31.25,68.75,50.0,28.125,70.96774193548387,9.375,71.875,93.75,65.625,81.25,81.25,,59.375,71.875,37.5,71.875,53.125,90.625,90.625,90.625,84.375,75.0,63.333333333333336,68.75,84.375,100.0,87.5,78.125,96.875,100.0,71.875,78.125,87.5,68.75,93.75
CAR,50.0,40.625,56.25,40.625,65.625,45.16129032258064,12.5,81.25,28.125,84.375,50.0,62.5,,43.75,75.0,43.75,37.5,50.0,37.5,25.0,31.25,9.375,34.375,83.33333333333334,6.25,3.125,12.5,3.125,81.25,81.25,,9.375,3.125,25.0,31.25,3.125
CHI,9.375,3.125,3.125,6.25,25.0,61.29032258064516,3.125,15.625,25.0,9.375,12.5,6.25,,15.625,59.375,3.125,18.75,3.125,34.375,59.375,28.125,6.25,84.375,20.0,15.625,15.625,62.5,68.75,59.375,78.125,66.66666666666667,84.375,43.75,6.25,40.625,18.75
CIN,62.5,100.0,100.0,93.75,40.625,77.41935483870967,53.125,90.625,71.875,68.75,96.875,100.0,,68.75,96.875,56.25,93.75,71.875,87.5,96.875,93.75,93.75,59.375,96.66666666666667,96.875,93.75,96.875,75.0,84.375,87.5,,68.75,84.375,100.0,100.0,87.5
CLE,31.25,34.375,53.125,75.0,68.75,48.387096774193544,81.25,84.375,81.25,87.5,68.75,25.0,,81.25,50.0,75.0,100.0,43.75,75.0,62.5,62.5,31.25,93.75,6.666666666666667,53.125,21.875,31.25,53.125,28.125,90.625,,65.625,62.5,15.625,21.875,46.875
DAL,93.75,87.5,96.875,81.25,34.375,25.806451612903224,90.625,87.5,56.25,59.375,87.5,93.75,,93.75,93.75,25.0,78.125,68.75,43.75,75.0,84.375,81.25,65.625,80.0,43.75,65.625,37.5,90.625,90.625,43.75,,90.625,31.25,65.625,50.0,81.25
DEN,68.75,96.875,84.375,84.375,50.0,90.32258064516128,93.75,56.25,40.625,34.375,59.375,59.375,,46.875,62.5,100.0,90.625,90.625,18.75,18.75,12.5,18.75,21.875,36.66666666666667,31.25,34.375,59.375,28.125,31.25,28.125,,43.75,9.375,59.375,6.25,43.75
DET,34.375,6.25,9.375,34.375,59.375,9.677419354838708,62.5,62.5,12.5,71.875,84.375,15.625,,25.0,12.5,28.125,50.0,6.25,68.75,81.25,81.25,90.625,81.25,76.66666666666667,37.5,96.875,65.625,93.75,62.5,21.875,,59.375,75.0,93.75,78.125,84.375
GB,18.75,75.0,37.5,90.625,81.25,12.903225806451612,100.0,75.0,43.75,93.75,53.125,3.125,,84.375,81.25,71.875,68.75,93.75,59.375,15.625,59.375,50.0,71.875,26.666666666666668,71.875,28.125,28.125,62.5,50.0,75.0,,46.875,34.375,53.125,12.5,78.125
HOU,25.0,12.5,25.0,37.5,100.0,,59.375,28.125,84.375,53.125,46.875,18.75,,78.125,37.5,50.0,15.625,87.5,9.375,6.25,3.125,3.125,18.75,73.33333333333334,3.125,6.25,21.875,9.375,3.125,3.125,,3.125,18.75,9.375,9.375,6.25
IND,37.5,93.75,65.625,46.875,31.25,51.61290322580645,56.25,46.875,3.125,21.875,25.0,71.875,,75.0,25.0,46.875,75.0,21.875,6.25,3.125,6.25,12.5,3.125,,34.375,40.625,18.75,6.25,6.25,12.5,,18.75,15.625,18.75,37.5,9.375
JAX,71.875,15.625,15.625,9.375,9.375,54.83870967741935,28.125,18.75,31.25,6.25,15.625,40.625,,90.625,3.125,31.25,9.375,34.375,78.125,68.75,75.0,78.125,87.5,33.333333333333336,56.25,56.25,40.625,81.25,46.875,50.0,,87.5,81.25,34.375,81.25,59.375
KC,75.0,84.375,71.875,78.125,43.75,64.51612903225806,68.75,68.75,96.875,75.0,75.0,46.875,50.0,21.875,65.625,81.25,96.875,56.25,100.0,100.0,100.0,100.0,100.0,90.0,100.0,90.625,90.625,100.0,100.0,93.75,83.33333333333334,100.0,93.75,96.875,96.875,100.0
LA,43.75,62.5,50.0,53.125,46.875,67.74193548387096,34.375,53.125,87.5,81.25,90.625,43.75,,71.875,56.25,34.375,12.5,78.125,28.125,40.625,25.0,28.125,56.25,30.0,81.25,31.25,43.75,71.875,56.25,34.375,,28.125,50.0,37.5,28.125,50.0
LAC,12.5,71.875,43.75,87.5,96.875,38.70967741935483,65.625,93.75,100.0,96.875,56.25,9.375,,96.875,53.125,62.5,87.5,81.25,40.625,84.375,78.125,65.625,37.5,50.0,87.5,59.375,53.125,56.25,65.625,59.375,,40.625,46.875,75.0,84.375,56.25
LV,28.125,56.25,28.125,12.5,37.5,32.25806451612903,46.875,34.375,15.625,40.625,3.125,53.125,,31.25,87.5,12.5,28.125,37.5,81.25,71.875,65.625,68.75,9.375,66.66666666666667,40.625,78.125,93.75,43.75,15.625,40.625,,62.5,65.625,68.75,87.5,34.375
MIA,87.5,18.75,75.0,56.25,75.0,74.19354838709677,40.625,37.5,34.375,43.75,40.625,84.375,,37.5,21.875,84.375,31.25,62.5,96.875,43.75,71.875,71.875,50.0,93.33333333333334,75.0,9.375,56.25,18.75,75.0,46.875,,56.25,12.5,78.125,53.125,71.875
MIN,21.875,65.625,21.875,15.625,15.625,29.032258064516128,43.75,31.25,65.625,46.875,43.75,34.375,100.0,34.375,84.375,9.375,40.625,12.5,25.0,65.625,34.375,62.5,40.625,56.66666666666667,59.375,75.0,46.875,50.0,71.875,9.375,,75.0,21.875,71.875,75.0,68.75
NE,96.875,46.875,81.25,71.875,84.375,83.87096774193547,84.375,21.875,53.125,50.0,34.375,68.75,,40.625,43.75,87.5,65.625,75.0,65.625,34.375,46.875,56.25,53.125,70.0,65.625,37.5,34.375,46.875,37.5,53.125,,21.875,59.375,62.5,34.375,65.625
NO,81.25,53.125,93.75,96.875,56.25,96.77419354838709,96.875,59.375,90.625,56.25,65.625,56.25,,62.5,100.0,68.75,43.75,100.0,15.625,31.25,21.875,37.5,28.125,23.333333333333336,46.875,43.75,81.25,37.5,21.875,15.625,,31.25,68.75,43.75,62.5,21.875
NYG,3.125,90.625,12.5,21.875,6.25,87.09677419354838,18.75,50.0,9.375,12.5,71.875,12.5,,53.125,6.25,90.625,21.875,40.625,12.5,53.125,50.0,43.75,68.75,,62.5,46.875,50.0,59.375,87.5,68.75,33.333333333333336,50.0,56.25,46.875,46.875,40.625
NYJ,90.625,37.5,59.375,62.5,53.125,93.54838709677419,87.5,6.25,50.0,18.75,62.5,50.0,,18.75,15.625,96.875,6.25,96.875,31.25,12.5,9.375,15.625,25.0,16.666666666666668,9.375,12.5,9.375,21.875,9.375,18.75,,37.5,25.0,12.5,15.625,12.5
PHI,100.0,59.375,87.5,100.0,71.875,58.064516129032256,75.0,25.0,75.0,62.5,28.125,37.5,,28.125,40.625,78.125,84.375,46.875,71.875,93.75,96.875,87.5,31.25,86.66666666666667,90.625,87.5,87.5,65.625,96.875,100.0,50.0,25.0,96.875,90.625,93.75,75.0
PIT,56.25,21.875,34.375,28.125,87.5,35.483870967741936,78.125,12.5,59.375,37.5,37.5,65.625,,6.25,31.25,65.625,53.125,15.625,21.875,78.125,68.75,59.375,62.5,43.333333333333336,25.0,50.0,84.375,40.625,68.75,71.875,,78.125,53.125,31.25,71.875,31.25
SEA,40.625,28.125,18.75,18.75,12.5,80.64516129032258,71.875,9.375,46.875,3.125,31.25,21.875,,3.125,28.125,53.125,46.875,18.75,56.25,50.0,43.75,40.625,6.25,100.0,18.75,68.75,68.75,12.5,25.0,56.25,,6.25,90.625,56.25,65.625,62.5
SF,84.375,25.0,90.625,68.75,90.625,19.354838709677416,6.25,100.0,68.75,90.625,93.75,96.875,,100.0,90.625,18.75,62.5,84.375,93.75,87.5,87.5,96.875,96.875,60.0,93.75,100.0,75.0,96.875,40.625,62.5,,96.875,100.0,84.375,90.625,96.875
TB,46.875,43.75,40.625,31.25,21.875,22.58064516129032,15.625,40.625,6.25,25.0,18.75,75.0,,65.625,9.375,21.875,59.375,9.375,53.125,46.875,40.625,75.0,78.125,46.66666666666667,28.125,62.5,3.125,78.125,34.375,6.25,,81.25,28.125,40.625,56.25,53.125
TEN,78.125,68.75,31.25,25.0,62.5,6.451612903225806,31.25,65.625,78.125,78.125,21.875,87.5,,56.25,46.875,15.625,56.25,25.0,50.0,28.125,37.5,53.125,90.625,40.0,21.875,81.25,78.125,84.375,93.75,37.5,,93.75,87.5,21.875,18.75,90.625
