Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
BAL,8.425,L.Jackson,0.877,-0.952,8.623,7.863,0.903,1.73,-5.216,1.014
SF,7.176,B.Purdy,0.869,-0.952,8.624,5.772,0.194,8.153,-1.692,-1.12
KC,6.495,P.Mahomes,0.951,-0.952,7.179,5.678,1.581,3.076,-2.238,0.581
BUF,6.022,J.Allen,1.0,-0.952,5.755,5.917,0.094,5.566,-0.866,-0.581
MIA,3.948,T.Tagovailoa,0.947,-0.952,3.013,4.429,0.295,3.14,0.125,-0.185
DAL,3.861,D.Prescott,0.967,-0.952,3.702,3.785,-1.217,3.518,-0.912,0.175
DET,3.171,J.Goff,1.0,-0.952,3.896,2.489,0.361,4.757,1.726,0.611
CIN,2.045,J.Burrow,0.598,-0.952,1.226,2.536,1.837,1.753,2.306,0.121
CLE,1.496,J.Flacco,0.337,-0.952,1.668,1.298,0.153,-5.473,-5.106,1.817
GB,0.866,J.Love,0.869,-0.952,1.776,0.165,0.246,3.332,1.184,-0.496
NO,0.664,S.Rattler,0.0,-0.952,-0.033,1.137,-2.723,-0.877,-2.818,0.544
LA,0.641,M.Stafford,0.816,-0.952,0.312,0.847,0.733,2.062,0.387,-1.991
PIT,0.417,A.Rodgers,0.0,-0.952,-0.344,0.948,1.193,-2.239,-1.637,-0.753
PHI,-0.372,J.Hurts,0.98,-0.952,0.418,-0.926,-0.684,3.587,2.751,0.257
CHI,-0.737,C.Williams,0.0,-0.952,-0.929,-0.562,-0.692,-1.226,-0.058,0.855
LV,-1.26,G.Smith,0.0,-0.952,-1.117,-1.302,0.195,-3.748,-2.025,0.752
JAX,-1.402,T.Lawrence,0.938,-0.952,-2.741,-0.362,0.016,-2.667,-0.03,-0.251
HOU,-1.615,C.Stroud,0.762,-0.952,-2.413,-0.956,-1.113,-2.331,0.746,1.328
LAC,-1.753,J.Herbert,0.757,-0.952,-2.332,-1.248,1.345,-3.567,1.089,0.954
MIN,-1.874,J.McCarthy,0.0,-0.952,-3.046,-0.932,0.807,-2.593,0.161,-1.001
SEA,-1.927,S.Darnold,0.0,-0.952,-3.329,-0.815,0.511,0.386,4.876,0.712
TB,-2.352,B.Mayfield,0.86,-0.952,-2.856,-1.871,-0.607,-1.563,1.308,0.468
DEN,-3.208,B.Nix,0.0,-0.952,-4.154,-2.364,0.574,-4.54,-0.071,-0.127
NYJ,-3.232,J.Fields,0.0,-0.952,-5.565,-1.383,-0.029,-10.538,-4.392,0.53
IND,-3.968,D.Jones,0.0,-0.952,-5.196,-2.882,-1.41,-2.132,1.367,-0.313
ATL,-4.5,M.Penix,0.0,-0.952,-7.338,-2.222,-2.469,-3.789,-0.037,-1.539
NE,-4.969,D.Maye,0.0,-0.952,-5.99,-3.983,0.33,-7.705,-2.765,-1.503
TEN,-5.39,C.Ward,0.0,-0.952,-5.117,-5.32,-1.051,-2.386,1.272,-0.554
ARI,-6.196,K.Murray,0.541,-0.952,-6.525,-5.651,0.821,-3.037,4.714,0.54
NYG,-6.227,R.Wilson,0.0,-0.952,-6.62,-5.634,-0.14,-6.914,0.477,0.631
WAS,-7.454,J.Daniels,0.0,-0.952,-10.091,-5.175,0.044,-4.732,4.193,-1.396
CAR,-7.849,B.Young,0.811,-0.952,-10.478,-5.557,-0.753,-8.368,1.061,-0.377
