Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
BAL,9.895,L.Jackson,0.848,0.587,10.528,8.945,-0.294,2.791,-7.88,0.339
KC,8.099,P.Mahomes,1.0,0.0,9.305,6.825,-0.066,6.997,-3.088,-0.532
BUF,6.46,J.Allen,0.998,0.007,6.463,6.137,-0.599,6.813,-0.238,0.311
PHI,6.034,J.Hurts,0.957,0.101,8.576,3.894,-1.155,7.548,-2.116,0.064
SF,4.772,M.Jones,0.0,-3.04,3.846,5.206,-0.802,4.159,-1.451,-0.724
MIA,4.755,T.Tagovailoa,0.886,0.355,5.425,4.034,0.351,6.683,1.052,-0.48
DAL,4.557,D.Prescott,0.93,0.265,5.152,3.9,-0.556,3.17,-1.759,0.821
DET,3.114,J.Goff,0.989,0.03,5.804,1.013,-0.864,3.455,-1.995,1.295
JAX,2.919,T.Lawrence,1.0,0.0,2.541,3.048,0.18,-0.719,-2.321,0.699
CLE,2.707,D.Gabriel,0.0,-1.082,1.415,3.508,0.844,-7.338,-5.836,1.831
CIN,2.512,J.Flacco,0.0,-3.59,2.143,2.654,2.108,-0.431,-0.91,-0.083
LAC,1.922,J.Herbert,1.0,-0.0,3.48,0.699,0.29,3.995,0.803,0.048
NO,0.711,T.Shough,0.0,-2.0,-0.923,1.859,-2.65,-2.442,-4.536,-0.337
SEA,-0.03,S.Darnold,0.0,-2.264,-1.805,1.257,-0.427,-1.862,0.355,0.759
PIT,-0.036,A.Rodgers,0.0,4.098,3.057,-2.274,1.486,1.111,-1.098,-0.864
NYJ,-0.616,J.Fields,0.0,2.023,-0.887,-0.389,1.667,-6.974,-3.032,1.556
WAS,-1.274,M.Mariota,0.0,2.047,-2.0,-0.685,-0.822,-0.472,0.245,-0.96
TEN,-2.024,C.Ward,0.0,-2.256,-3.407,-0.922,1.149,-3.263,1.659,0.529
MIN,-2.769,J.McCarthy,0.0,-3.267,-3.94,-1.784,-0.353,-2.91,-0.453,-1.332
LA,-2.886,M.Stafford,0.771,0.834,-1.815,-3.519,0.476,0.725,0.446,-2.463
IND,-2.895,D.Jones,0.0,0.125,-4.116,-1.867,0.043,-3.677,-0.335,-0.501
LV,-2.968,G.Smith,0.0,-0.673,-4.044,-2.042,-0.726,-2.641,0.882,0.333
NE,-3.31,D.Maye,0.0,-1.254,-4.861,-2.023,1.752,-4.827,1.394,-0.46
GB,-3.657,J.Love,0.658,-1.049,-4.374,-2.957,-1.153,-2.493,1.442,0.311
ATL,-3.676,M.Penix,0.0,-0.774,-5.713,-2.019,-1.511,-4.119,0.623,0.34
CHI,-4.184,C.Williams,0.0,-0.322,-5.887,-2.743,-0.296,-0.422,5.493,0.16
TB,-4.346,B.Mayfield,0.637,-0.726,-4.97,-3.678,0.53,-2.381,2.336,-0.747
HOU,-5.952,D.Mills,0.291,-2.898,-6.274,-5.423,-0.839,-5.707,1.835,1.709
NYG,-6.47,J.Dart,0.0,-0.868,-8.506,-4.675,0.668,-7.46,1.505,-0.558
DEN,-6.514,B.Nix,0.0,-1.946,-7.586,-5.414,0.846,-4.138,3.218,-0.936
ARI,-6.742,J.Brissett,0.0,2.264,-6.24,-6.772,1.335,-4.231,3.084,-0.05
CAR,-7.465,B.Young,0.58,-0.825,-8.938,-6.029,-0.298,-6.668,2.537,0.579
