Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
BAL,8.407,T.Huntley,0.0,-4.059,8.385,8.006,-1.294,2.581,-4.354,3.301
KC,8.355,P.Mahomes,0.945,0.394,11.632,5.568,1.822,12.898,1.997,-0.796
NO,6.209,S.Rattler,0.0,-4.398,4.273,7.303,1.15,1.48,-0.126,2.141
PIT,5.741,A.Rodgers,0.0,1.216,8.554,3.42,-1.39,2.812,-6.756,0.132
TB,5.407,B.Mayfield,0.0,-1.953,6.152,4.601,1.26,2.13,-4.132,-1.066
GB,3.132,J.Love,0.0,-3.844,3.961,2.376,0.745,3.686,1.084,0.754
LA,2.616,M.Stafford,0.0,-1.233,2.624,2.48,-1.669,3.597,-1.819,-1.364
BUF,2.375,J.Allen,0.895,0.033,3.416,1.503,-0.563,4.799,1.996,1.156
SF,2.323,M.Jones,0.0,-3.122,1.773,2.605,-1.012,1.073,-1.787,-0.251
NE,2.137,D.Maye,0.0,-2.455,0.563,3.171,0.841,-1.242,-1.586,-0.448
IND,1.382,D.Jones,0.0,-2.664,-0.773,2.874,-3.348,0.492,-0.883,0.789
SEA,0.702,S.Darnold,0.0,-3.731,0.168,1.054,0.056,2.482,3.05,0.723
TEN,0.68,C.Ward,0.0,-2.257,-0.092,1.206,-0.258,6.163,4.907,-1.123
ARI,-0.588,J.Brissett,0.0,-1.079,-0.369,-0.718,-2.366,1.743,0.882,0.776
CHI,-0.998,C.Williams,0.0,-1.465,-1.951,-0.259,-0.529,-4.263,-3.677,-0.843
MIA,-1.022,T.Tagovailoa,0.0,-2.514,-4.481,1.534,-2.077,-0.29,3.65,1.245
LAC,-1.228,J.Herbert,0.448,-0.56,-2.17,-0.486,2.999,-0.203,1.575,-2.892
DEN,-1.244,B.Nix,0.0,-0.273,0.484,-2.434,1.263,-3.945,-1.147,2.185
CLE,-1.604,D.Gabriel,0.0,-1.735,-0.764,-2.133,0.416,2.458,2.122,-0.938
LV,-1.941,G.Smith,0.0,-4.894,-5.282,0.575,2.671,1.103,7.961,-0.723
CAR,-2.245,B.Young,0.0,-1.135,-3.597,-1.155,1.261,-1.067,2.769,-1.001
MIN,-2.493,C.Wentz,0.0,0.638,-0.474,-3.831,1.383,0.899,0.746,-2.073
HOU,-2.854,C.Stroud,0.0,-3.819,-5.41,-0.862,2.484,0.205,9.144,1.725
DAL,-3.062,D.Prescott,0.891,0.263,-6.039,-0.755,-1.279,2.949,7.019,-1.538
ATL,-3.523,M.Penix,0.0,-3.723,-4.676,-2.513,0.769,-0.884,4.033,0.016
DET,-3.655,J.Goff,0.0,1.993,-1.197,-5.254,0.455,2.72,5.746,1.077
CIN,-4.83,J.Flacco,0.0,-0.935,-8.206,-2.147,0.335,-3.187,6.206,0.762
PHI,-5.238,J.Hurts,0.0,-2.709,-10.768,-0.973,-0.127,-6.462,3.851,-0.804
NYG,-6.191,J.Dart,0.0,-0.285,-8.954,-3.884,-1.777,-4.74,5.0,2.26
WAS,-7.993,J.Daniels,0.0,0.122,-11.845,-4.808,-1.081,-6.592,3.571,-0.955
JAX,-9.838,T.Lawrence,0.0,-1.255,-12.776,-7.223,-1.012,-1.792,9.901,-0.724
NYJ,-11.026,T.Taylor,0.0,0.936,-12.664,-9.293,0.502,-6.544,5.365,-1.31
