Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
KC,9.27,P.Mahomes,0.923,0.555,13.09,6.044,1.244,13.494,1.394,-0.023
BAL,8.809,L.Jackson,0.922,0.39,10.57,7.097,1.889,6.238,-0.091,2.833
SF,5.683,B.Purdy,0.0,-3.32,6.13,5.077,-0.419,2.613,-3.869,0.111
LA,4.148,M.Stafford,0.0,-1.291,5.155,3.212,1.22,5.864,-0.058,-1.824
NO,4.047,S.Rattler,0.0,-4.189,2.074,5.275,1.299,0.226,0.245,1.074
BUF,3.59,J.Allen,0.847,-0.016,4.66,2.637,-2.794,3.983,-2.148,1.018
GB,3.493,J.Love,0.0,-3.809,4.849,2.337,-0.36,4.104,-0.391,0.71
NE,3.402,D.Maye,0.0,-3.22,2.516,3.874,-1.28,1.764,-2.233,-0.307
PIT,3.351,A.Rodgers,0.0,1.806,5.333,1.749,-1.679,0.743,-6.541,-0.562
SEA,2.313,S.Darnold,0.0,-3.66,2.446,2.102,1.865,2.322,2.569,1.133
TB,2.304,B.Mayfield,0.0,-1.748,1.778,2.57,-0.663,-0.149,-4.736,-2.051
DAL,1.459,D.Prescott,1.0,0.0,0.485,2.092,0.06,4.549,3.136,-1.088
IND,0.597,D.Jones,0.0,-1.975,-1.415,2.024,-3.258,0.072,-2.149,-0.852
TEN,0.073,C.Ward,0.0,-1.754,-1.31,1.07,-0.743,3.684,3.818,-0.533
ARI,-0.275,K.Murray,0.912,0.492,1.393,-1.47,0.739,1.916,1.902,0.648
LAC,-0.881,J.Herbert,0.282,-1.78,-3.426,1.005,0.131,-1.845,-0.318,-1.909
CHI,-0.964,C.Williams,0.0,-1.317,-1.805,-0.307,-1.907,-2.259,-2.86,-0.565
CLE,-2.633,J.Flacco,0.0,-1.289,-1.881,-3.048,-1.041,1.504,1.585,-1.025
HOU,-2.691,C.Stroud,0.0,-3.537,-5.121,-0.797,4.132,-1.841,7.143,0.384
MIN,-3.137,C.Wentz,0.0,0.957,-1.383,-4.251,1.77,-0.227,0.216,-2.204
ATL,-3.212,M.Penix,0.0,-3.601,-3.909,-2.548,1.273,-1.429,3.281,-0.287
LV,-3.655,G.Smith,0.0,-4.659,-6.898,-1.125,0.6,0.63,6.628,-1.418
DEN,-3.809,B.Nix,0.0,-0.493,-4.156,-3.369,1.712,-5.4,2.21,1.968
DET,-4.009,J.Goff,0.0,2.271,-1.481,-5.641,1.191,2.079,5.945,1.273
CAR,-4.89,B.Young,0.0,-0.545,-6.913,-3.182,0.978,-2.862,4.056,-1.02
MIA,-5.371,T.Tagovailoa,0.0,-2.261,-8.999,-2.478,-0.58,-2.194,7.44,0.877
PHI,-5.386,J.Hurts,0.0,-2.849,-10.821,-1.183,-3.074,-6.088,2.387,0.297
CIN,-5.389,J.Browning,0.0,-0.705,-10.391,-1.5,-0.503,-5.512,5.661,1.082
NYG,-5.73,J.Dart,0.0,-0.39,-10.101,-2.281,0.256,-6.027,6.235,1.86
JAX,-6.737,T.Lawrence,0.0,-1.237,-7.766,-5.657,-1.369,-0.09,7.588,0.876
WAS,-7.425,M.Mariota,0.0,2.235,-8.824,-6.044,-2.376,-4.82,1.672,-0.457
NYJ,-7.863,J.Fields,0.0,0.178,-9.85,-6.034,1.255,-6.059,4.862,-0.107
