Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
BUF,8.731,J.Allen,0.95,-0.048,9.334,7.861,-0.271,4.971,-3.756,1.156
DAL,6.239,D.Prescott,0.83,0.487,7.108,5.301,-1.4,3.892,-4.532,0.034
IND,5.975,P.Rivers,0.171,2.198,9.419,3.185,-0.314,7.152,-0.4,2.183
TB,5.821,B.Mayfield,0.0,-1.598,6.185,5.269,-0.493,5.884,-1.459,-0.616
KC,5.104,C.Oladokun,0.0,-6.953,1.868,7.194,0.526,0.794,0.737,1.456
LA,3.562,M.Stafford,0.795,0.251,5.043,2.314,0.33,2.66,-2.549,-0.384
NE,3.042,D.Maye,0.0,-2.244,1.944,3.686,0.671,0.327,1.198,2.236
GB,2.977,M.Willis,0.0,-4.171,3.874,2.18,0.026,5.906,0.741,-1.305
SF,2.896,B.Purdy,0.0,-3.166,1.192,3.986,0.351,1.853,-0.258,-1.154
ARI,2.335,J.Brissett,0.0,-0.989,3.223,1.577,0.212,3.38,-0.118,-0.495
CIN,1.976,J.Burrow,0.904,0.419,1.595,2.154,-1.613,3.976,1.386,0.471
LAC,0.816,J.Herbert,0.967,0.036,0.469,1.027,0.328,6.181,4.541,-1.151
BAL,0.767,T.Huntley,0.184,-3.219,-2.134,2.829,0.854,-1.015,3.587,1.839
TEN,0.482,C.Ward,0.0,-3.011,-1.629,1.987,-0.256,-0.329,0.647,-0.459
MIA,0.132,Q.Ewers,0.0,-1.745,-1.683,1.44,-1.629,-2.514,-2.729,-0.538
MIN,0.13,M.Brosmer,0.0,-2.744,0.718,-0.303,-0.192,1.759,0.048,-0.523
CLE,0.097,S.Sanders,0.0,-2.255,-0.458,0.494,0.124,1.3,0.863,-0.861
PHI,-0.013,J.Hurts,0.799,0.11,-0.261,0.167,-1.858,2.059,0.505,-0.274
NO,-0.17,T.Shough,0.0,-1.54,-1.367,0.706,0.541,-5.552,-2.992,0.696
LV,-0.492,G.Smith,0.0,-2.913,-3.006,1.353,0.431,-1.758,2.039,0.335
SEA,-1.687,S.Darnold,0.0,-2.799,-2.239,-1.204,0.429,-2.166,1.688,1.249
DEN,-1.762,B.Nix,0.0,-1.973,-3.369,-0.511,-1.207,-2.004,-0.1,-0.208
CAR,-2.925,B.Young,0.0,-0.7,-6.074,-0.499,-0.099,-4.694,-0.049,-1.138
WAS,-3.361,J.Johnson,0.0,1.396,-4.835,-2.127,1.622,-1.367,5.145,-0.191
CHI,-4.355,C.Williams,0.0,-0.213,-5.52,-3.296,1.294,-2.399,3.513,-0.896
PIT,-4.507,A.Rodgers,0.0,2.558,-1.902,-6.169,1.287,-0.567,3.185,-0.085
ATL,-6.195,K.Cousins,0.0,-0.115,-6.369,-5.762,-1.243,0.484,5.619,-0.109
DET,-6.688,J.Goff,0.688,0.389,-7.571,-5.716,0.321,-2.709,5.59,0.163
NYG,-7.728,J.Dart,0.0,-0.168,-8.136,-7.049,1.227,-5.685,3.564,0.065
HOU,-7.838,C.Stroud,0.0,-0.147,-6.212,-8.627,-0.229,-2.358,4.434,0.758
NYJ,-8.706,B.Cook,0.0,0.804,-10.983,-6.625,0.068,-2.679,7.642,-0.907
JAX,-10.547,T.Lawrence,0.817,0.014,-13.673,-7.76,0.03,-4.541,7.763,-1.444
