Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game,Rank,MP_Rating,Rating_Last,Rank_Last,Change,QB used,Diff,Abs_Diff
DET,7.555,J.Goff,1.0,-0.0,9.426,5.825,1.148,5.734,-2.201,0.64,8,3.74,4.04,7,-1,Goff,3.8149999999999995,3.8149999999999995
SEA,7.337,S.Darnold,0.654,0.314,7.531,6.834,0.841,4.058,-1.027,1.81,1,9.53,9.76,1,0,Darnold,-2.1929999999999996,2.1929999999999996
LA,6.59,M.Stafford,0.972,0.023,7.416,5.665,0.539,4.946,-3.804,-1.794,2,9.47,9.27,2,0,Stafford,-2.880000000000001,2.880000000000001
GB,5.002,J.Love,0.952,0.247,6.671,3.546,-0.402,9.072,-0.239,-2.475,9,3.57,4.02,8,-1,Love,1.432,1.432
BAL,4.426,L.Jackson,0.75,1.327,5.428,3.481,1.724,6.09,3.157,1.037,5,4.35,3.3,9,4,Jackson,0.07600000000000051,0.07600000000000051
KC,4.282,P.Mahomes,0.978,0.118,6.031,2.802,0.852,7.199,1.5,-0.26,18,-0.19,4.31,6,-12,Minshew,4.472,4.472
BUF,4.036,J.Allen,0.979,0.114,5.922,2.47,-1.267,9.121,0.53,-1.361,4,4.98,5.09,3,-1,Allen,-0.9440000000000008,0.9440000000000008
PHI,3.856,J.Hurts,0.94,0.227,7.107,1.311,0.073,5.164,-2.533,-0.64,3,5.49,4.41,4,1,Hurts,-1.6340000000000003,1.6340000000000003
DEN,2.901,B.Nix,0.953,0.094,3.117,2.601,-1.607,1.765,-3.445,-0.679,10,3.43,3.24,10,0,Nix,-0.5290000000000004,0.5290000000000004
HOU,2.798,D.Mills,0.11,-3.189,2.182,3.105,1.17,-4.406,-3.53,2.159,11,2.43,2.15,12,1,Stroud,0.3679999999999999,0.3679999999999999
IND,2.759,D.Jones,0.685,0.473,4.507,1.356,-1.675,6.03,0.726,0.586,16,0.76,-1.09,20,4,Rivers,1.9989999999999999,1.9989999999999999
LAC,1.811,J.Herbert,0.986,0.051,1.593,1.879,-1.752,3.733,-0.628,-1.245,15,0.79,-0.33,17,2,Herbert,1.021,1.021
ARI,1.532,J.Brissett,0.269,-0.032,3.199,0.249,0.007,2.891,-0.069,0.276,26,-5.03,-4.87,27,1,Brissett,6.562,6.562
SF,1.443,M.Jones,0.537,-1.796,1.596,1.261,1.449,2.398,2.562,0.531,6,3.99,4.4,5,-1,Purdy,-2.547,2.547
TB,1.244,B.Mayfield,1.0,0.0,3.411,-0.386,0.202,3.644,-1.079,-1.236,22,-1.55,-1.43,22,0,Mayfield,2.794,2.794
PIT,0.662,A.Rodgers,0.64,0.246,1.471,0.043,-0.861,2.112,2.951,3.019,12,1.6,0.98,13,1,Rodgers,-0.9380000000000001,0.9380000000000001
NE,0.286,D.Maye,0.854,0.267,-0.193,0.619,-3.296,3.102,1.283,0.756,14,0.97,0.82,14,0,Maye,-0.6839999999999999,0.6839999999999999
CHI,-0.772,C.Williams,0.949,0.008,0.85,-1.908,-0.599,3.136,1.219,-0.282,13,1.34,-0.14,16,3,Williams,-2.112,2.112
JAX,-0.982,T.Lawrence,0.836,0.273,-1.354,-0.663,0.438,1.163,3.019,0.006,7,3.82,2.83,11,4,Lawrence,-4.802,4.802
MIN,-1.366,J.McCarthy,0.235,-3.374,-3.009,-0.108,1.269,-5.651,-0.183,1.559,17,-0.1,-1.03,19,2,McCarthy,-1.266,1.266
WAS,-1.732,M.Mariota,0.247,-1.34,-3.281,-0.525,0.143,0.879,5.002,0.68,24,-2.85,-3.58,24,0,Mariota,1.118,1.118
ATL,-2.399,M.Penix,0.633,0.053,-2.567,-2.157,-0.513,1.12,1.023,-2.166,21,-1.47,-1.59,23,2,Cousins,-0.929,0.929
MIA,-2.785,T.Tagovailoa,0.906,0.375,-3.244,-2.314,-1.11,0.845,4.077,0.938,20,-1.2,-0.46,18,-2,Tagovailoa,-1.5850000000000002,1.5850000000000002
DAL,-2.786,D.Prescott,0.837,0.846,-2.299,-3.0,-0.351,5.811,8.467,0.73,19,-0.41,-0.03,15,-4,Prescott,-2.376,2.376
LV,-4.998,G.Smith,0.655,0.558,-7.643,-2.834,-0.229,-3.695,3.037,-0.704,32,-7.86,-6.61,30,-2,Smith,2.862,2.862
NYJ,-5.03,J.Fields,0.488,0.111,-9.596,-1.475,-0.252,-3.804,5.501,-0.4,27,-5.51,-4.83,26,-1,Cook,0.47999999999999954,0.47999999999999954
NYG,-5.102,J.Dart,0.478,0.868,-5.335,-4.681,0.986,-1.121,5.221,0.066,28,-5.66,-5.51,28,0,Dart,0.5579999999999998,0.5579999999999998
CAR,-5.11,B.Young,0.847,-0.219,-6.83,-3.611,-0.635,-1.594,4.63,-0.204,25,-4.91,-4.78,25,0,Young,-0.20000000000000018,0.20000000000000018
CIN,-5.437,J.Flacco,0.329,-1.46,-8.294,-3.099,-0.178,0.957,10.137,0.864,23,-2.52,-1.28,21,-2,Burrow,-2.9170000000000003,2.9170000000000003
CLE,-6.912,D.Gabriel,0.347,-1.143,-9.052,-5.02,0.593,-8.827,-0.645,-1.565,30,-7.17,-6.02,29,-1,Sanders,0.258,0.258
NO,-7.987,T.Shough,0.087,-1.34,-11.455,-5.079,1.754,-6.542,5.473,-1.173,29,-6.16,-6.61,31,2,Shough,-1.827,1.827
TEN,-8.804,C.Ward,0.681,-0.718,-11.815,-6.187,1.707,-8.067,5.681,0.414,31,-7.65,-8.41,32,1,Ward,-1.154,1.154
