Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
BUF,11.923,J.Allen,0.978,0.001,12.648,10.807,0.455,8.404,-3.12,0.904
KC,6.674,P.Mahomes,0.994,0.029,8.173,5.257,0.093,9.1,0.143,-0.731
LA,6.426,M.Stafford,0.916,0.215,7.036,5.667,0.247,2.709,-3.91,0.482
TB,5.066,B.Mayfield,0.0,-1.667,6.274,3.939,0.108,0.961,-5.066,-0.02
SF,3.957,B.Purdy,0.0,-2.955,2.037,5.151,-0.684,-2.554,-4.6,0.627
BAL,3.469,L.Jackson,0.779,1.107,4.526,2.532,-0.414,4.405,2.437,2.97
MIA,3.383,T.Tagovailoa,0.809,0.07,3.227,3.329,1.596,2.813,0.567,-0.408
PHI,2.664,J.Hurts,0.872,0.169,5.224,0.678,-2.7,8.2,-0.539,-0.771
DAL,2.614,D.Prescott,0.654,1.026,3.557,1.802,-0.482,3.478,-0.3,0.272
GB,2.222,J.Love,0.028,-4.539,0.832,3.119,0.634,0.881,-0.92,-1.505
CLE,0.37,J.Flacco,0.0,-1.427,-0.203,0.767,-2.492,4.022,1.561,-0.444
CIN,0.271,J.Browning,0.0,-3.601,-0.234,0.623,-0.917,-2.481,-2.676,0.863
NE,0.128,D.Maye,0.0,-2.516,-2.067,1.711,1.11,-0.063,2.879,-0.082
IND,-0.183,D.Jones,0.0,-0.968,-1.019,0.431,-0.176,-1.745,1.24,2.143
LAC,-0.708,J.Herbert,0.996,0.026,-0.493,-0.829,0.584,3.517,2.676,-1.675
MIN,-1.027,C.Wentz,0.0,-2.087,-0.855,-1.101,0.847,0.156,2.129,0.083
TEN,-1.059,C.Ward,0.0,-4.123,-4.516,1.496,0.511,-1.006,2.677,-1.269
LV,-1.177,G.Smith,0.0,-1.807,-2.539,-0.132,-0.37,-0.853,2.402,0.99
JAX,-1.868,T.Lawrence,0.915,0.172,-3.466,-0.618,-1.552,0.262,1.953,-0.448
NO,-1.893,S.Rattler,0.0,-1.864,-4.211,-0.12,-0.391,-6.778,-5.182,-2.28
CAR,-2.375,B.Young,0.0,-1.214,-5.2,-0.212,-1.455,-4.934,-1.343,-0.241
PIT,-2.454,A.Rodgers,0.0,4.17,0.697,-4.614,1.873,0.804,1.787,-0.495
SEA,-3.048,S.Darnold,0.0,-2.836,-5.475,-1.14,-0.787,-1.152,4.092,0.421
DEN,-3.173,B.Nix,0.0,-2.588,-3.792,-2.568,-0.33,-4.121,-2.042,-1.311
ARI,-3.41,K.Murray,0.905,0.364,-4.63,-2.358,2.298,-0.736,5.072,-0.896
CHI,-4.238,C.Williams,0.0,0.502,-3.999,-4.201,0.825,-1.456,2.881,-0.473
HOU,-4.771,C.Stroud,0.0,0.3,-5.021,-4.353,-0.903,-3.241,2.595,1.581
DET,-5.079,J.Goff,0.807,0.029,-3.56,-5.927,-0.377,1.279,5.459,0.75
WAS,-6.254,M.Mariota,0.0,1.694,-7.681,-4.91,0.288,-2.006,5.216,-0.923
NYG,-7.304,J.Dart,0.0,-0.05,-7.931,-6.488,-0.043,-5.952,3.459,1.524
ATL,-7.593,M.Penix,0.0,-2.523,-8.689,-6.423,0.335,-2.583,6.78,0.436
NYJ,-8.59,J.Fields,0.0,-0.742,-12.259,-5.507,2.283,-6.98,7.673,-0.213
