Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
KC,7.279,P.Mahomes,0.97,0.226,10.921,4.281,-0.786,13.504,2.361,0.558
BAL,7.056,L.Jackson,0.902,0.629,9.435,4.983,0.43,5.722,-0.511,3.224
NO,6.627,T.Shough,0.0,-3.981,4.65,7.73,-0.606,1.542,-4.325,-0.178
BUF,6.208,J.Allen,0.943,0.045,7.414,5.027,-0.156,5.431,-0.653,1.496
LA,5.982,M.Stafford,0.0,-0.795,6.526,5.292,0.429,1.494,-6.862,-2.038
PIT,4.976,A.Rodgers,0.0,1.143,7.381,2.988,-0.854,1.108,-8.037,-1.053
GB,3.718,J.Love,0.0,-4.691,3.432,3.742,-1.485,5.056,-0.064,-0.335
TB,2.217,B.Mayfield,0.0,-1.487,3.582,1.118,1.376,2.235,0.847,0.75
IND,1.935,P.Rivers,0.787,0.747,3.683,0.574,-1.466,4.834,1.221,1.207
SEA,1.712,S.Darnold,0.0,-3.935,-0.266,3.06,-0.329,0.015,2.108,2.142
SF,1.059,B.Purdy,0.0,-2.92,-0.392,2.058,2.156,-3.058,-2.182,-1.153
MIA,0.827,T.Tagovailoa,0.405,-1.084,-0.569,1.797,-1.48,-1.116,0.783,2.518
NE,0.624,D.Maye,0.0,-2.38,-0.938,1.724,0.87,-0.539,2.918,1.769
TEN,0.072,C.Ward,0.0,-2.95,-2.683,2.063,-0.137,3.785,5.2,-1.151
ARI,-0.741,J.Brissett,0.0,-1.484,-1.36,-0.256,0.061,1.187,2.585,-0.195
ATL,-0.781,K.Cousins,0.0,-0.989,-0.96,-0.613,0.204,0.032,1.66,0.723
MIN,-1.629,J.McCarthy,0.0,-2.406,-1.701,-1.496,-0.561,1.492,0.612,-2.236
CLE,-1.716,S.Sanders,0.0,-2.552,-1.197,-2.007,-1.022,4.789,4.087,-0.527
CHI,-2.146,C.Williams,0.0,-1.609,-4.599,-0.263,0.611,-5.09,0.248,0.233
DAL,-2.639,D.Prescott,0.473,1.606,-4.228,-1.358,-0.373,0.548,4.72,-0.092
WAS,-2.664,M.Mariota,0.0,0.702,-4.155,-1.452,-1.477,-3.503,-1.166,-0.655
CAR,-2.671,B.Young,0.0,-2.043,-5.841,-0.244,1.138,0.052,5.985,-0.947
LAC,-2.976,J.Herbert,0.741,-0.288,-3.948,-2.124,-0.228,1.229,1.016,-4.119
LV,-3.479,G.Smith,0.0,-5.091,-6.959,-0.786,1.021,-0.862,7.424,0.449
DEN,-3.99,B.Nix,0.0,-0.732,-4.027,-3.766,1.542,-5.006,0.603,0.251
NYG,-4.499,J.Dart,0.0,-0.684,-5.11,-3.833,-1.441,-2.846,1.191,0.137
HOU,-4.733,C.Stroud,0.0,-4.366,-7.06,-2.813,0.561,0.044,7.722,0.273
PHI,-4.768,J.Hurts,0.074,-1.86,-7.924,-2.247,1.027,-6.2,2.362,-0.542
CIN,-4.806,J.Burrow,0.573,1.367,-6.784,-3.135,-0.476,-0.393,5.931,-0.122
DET,-5.648,J.Goff,0.0,1.171,-5.653,-5.364,0.015,1.964,8.407,0.635
JAX,-9.324,T.Lawrence,0.0,-0.381,-10.762,-7.82,-0.158,-3.529,8.077,0.652
NYJ,-10.108,B.Cook,0.0,-0.096,-12.614,-7.793,1.608,-5.742,6.648,-1.689
