Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
BAL,8.437,L.Jackson,0.896,0.345,8.663,7.855,1.828,3.521,-2.866,0.8
DAL,7.108,D.Prescott,0.972,0.106,7.69,6.334,-1.212,3.537,-4.178,0.922
SF,6.912,M.Jones,0.0,-3.662,7.064,6.46,-0.434,5.405,-2.805,-0.543
KC,6.776,P.Mahomes,0.957,0.388,8.877,4.919,2.323,5.249,-1.139,0.556
BUF,6.513,J.Allen,1.0,0.0,6.463,6.226,-0.634,7.647,-0.138,-0.627
DET,4.35,J.Goff,1.0,-0.0,5.607,3.224,1.129,5.716,1.899,0.867
MIA,3.63,T.Tagovailoa,0.956,0.16,3.483,3.557,-0.096,3.648,-0.928,-0.951
NO,1.786,S.Rattler,0.0,-1.972,1.494,1.909,-4.1,-0.425,-4.485,1.326
PIT,1.547,A.Rodgers,0.0,2.075,3.476,0.073,-0.708,0.263,-3.533,0.301
GB,1.357,J.Love,0.889,0.071,3.121,0.013,1.005,5.06,1.733,-0.997
LA,0.988,M.Stafford,0.846,0.544,1.697,0.426,1.715,3.54,1.265,-2.05
PHI,0.696,J.Hurts,0.983,0.047,1.869,-0.187,0.266,4.62,3.715,0.808
LAC,0.18,J.Herbert,0.798,0.854,1.532,-0.808,0.546,-1.938,-1.59,1.232
MIN,0.095,J.McCarthy,0.0,-1.498,-0.471,0.501,-0.735,-0.5,-1.965,-1.373
CIN,-0.038,J.Browning,0.334,-0.483,-1.176,0.787,1.082,0.316,1.869,-0.618
SEA,-0.209,S.Darnold,0.0,-1.784,-1.78,0.939,-0.617,-0.683,-0.072,-0.646
JAX,-0.382,T.Lawrence,0.949,0.08,-1.422,0.39,0.355,-2.422,0.038,0.622
TB,-0.64,B.Mayfield,0.881,-0.227,-0.174,-0.945,-1.902,1.094,1.68,1.989
HOU,-1.013,C.Stroud,0.799,0.98,-0.355,-1.439,-2.368,1.449,0.943,0.928
CHI,-1.06,C.Williams,0.174,-1.298,-1.255,-0.866,-1.048,-3.776,-2.219,1.22
CLE,-1.063,J.Flacco,0.282,0.659,-0.25,-1.599,1.059,-6.593,-4.602,0.733
LV,-1.844,G.Smith,0.0,0.797,-1.451,-2.037,0.448,-4.058,-2.309,0.172
NE,-2.732,D.Maye,0.0,-0.393,-2.745,-2.587,-0.152,-6.024,-3.774,-0.505
NYJ,-3.348,T.Taylor,0.0,1.481,-4.546,-2.314,1.672,-8.084,-2.102,-0.066
IND,-3.666,D.Jones,0.0,0.126,-4.927,-2.571,-1.494,-0.498,2.961,-0.041
ATL,-4.269,M.Penix,0.0,-0.831,-8.092,-1.288,-1.431,-5.474,-0.811,-2.262
TEN,-4.756,C.Ward,0.0,-0.513,-4.438,-4.751,-0.928,-3.848,-1.176,-0.967
ARI,-5.285,K.Murray,0.621,1.26,-3.856,-6.058,1.922,0.21,6.301,0.598
DEN,-5.802,B.Nix,0.173,-2.07,-7.545,-4.252,0.573,-9.212,-0.068,1.149
NYG,-6.949,R.Wilson,0.0,0.966,-7.136,-6.468,0.497,-6.058,2.728,1.063
WAS,-7.202,J.Daniels,0.174,1.28,-9.343,-5.294,0.242,-1.189,5.555,-2.966
CAR,-8.19,B.Young,0.844,-0.391,-11.451,-5.423,0.648,-8.669,2.353,-1.184
