Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
BUF,8.105,J.Allen,0.906,-0.117,10.03,6.309,-1.614,5.592,-4.52,1.414
TB,5.85,B.Mayfield,0.0,-1.526,6.561,5.046,-0.466,7.481,0.677,0.426
BAL,5.741,L.Jackson,0.976,0.167,6.271,5.073,-0.516,6.397,1.473,1.998
ARI,5.624,J.Brissett,0.0,-1.618,7.421,4.043,0.333,4.592,-2.255,0.322
DAL,5.593,D.Prescott,0.666,1.11,6.682,4.527,-0.641,6.344,-0.442,0.367
LA,4.911,M.Stafford,0.641,0.546,6.823,3.283,-0.04,6.427,-2.198,-1.644
NO,4.104,T.Shough,0.0,-2.789,3.079,4.643,0.47,-0.47,-1.747,1.354
KC,3.319,P.Mahomes,0.971,0.143,3.11,3.307,0.566,9.077,6.818,0.416
GB,2.903,J.Love,0.0,-3.977,3.968,1.988,-0.742,5.77,1.555,0.436
SF,2.676,M.Jones,0.0,-0.573,2.172,2.909,1.183,1.652,-1.388,-1.368
CLE,2.105,D.Gabriel,0.0,-2.179,0.691,3.025,-0.172,3.734,3.417,0.765
TEN,1.837,C.Ward,0.0,-3.11,1.302,2.133,-0.081,4.479,2.783,-0.353
LV,1.737,G.Smith,0.0,-3.1,0.559,2.504,-1.546,2.459,1.105,0.503
IND,1.458,D.Jones,0.0,-1.248,1.753,1.172,0.374,0.892,0.274,0.784
SEA,1.088,S.Darnold,0.0,-2.401,0.371,1.554,1.206,-0.442,1.358,1.138
NE,1.0,D.Maye,0.0,-1.916,-0.886,2.317,-1.794,-0.188,2.985,3.889
PIT,0.012,A.Rodgers,0.0,1.825,3.61,-2.594,2.261,1.022,-0.433,-0.067
CAR,-0.54,B.Young,0.0,-0.668,-2.396,0.832,-1.866,-2.219,-2.524,-0.978
MIN,-0.54,J.McCarthy,0.0,-2.53,-0.361,-0.643,-0.006,0.863,-0.146,-1.372
CIN,-0.916,J.Flacco,0.0,-1.84,-2.394,0.2,-2.358,1.024,1.57,0.253
CHI,-2.277,C.Williams,0.0,0.264,-3.238,-1.469,1.52,-1.603,2.812,-0.438
LAC,-2.611,J.Herbert,0.933,0.024,-1.461,-3.315,1.166,4.542,4.218,-2.885
DEN,-2.82,B.Nix,0.0,-1.75,-4.554,-1.425,-1.675,-1.03,2.427,0.326
WAS,-4.185,J.Daniels,0.0,-0.441,-7.549,-1.542,1.066,-2.53,5.517,-0.486
PHI,-4.4,J.Hurts,0.755,0.178,-5.427,-3.438,0.61,-1.134,3.992,-0.887
MIA,-4.402,T.Tagovailoa,0.523,-0.312,-7.262,-2.113,1.203,-2.083,5.103,-1.187
NYG,-5.011,J.Dart,0.0,-0.639,-5.841,-4.161,0.687,-2.854,3.461,-0.185
ATL,-7.99,M.Penix,0.0,-3.313,-10.686,-5.642,-2.158,-1.301,6.419,-1.012
NYJ,-9.363,J.Fields,0.0,-0.779,-13.097,-6.195,0.123,-5.432,6.452,-1.454
HOU,-9.802,D.Mills,0.516,-2.921,-10.919,-8.507,1.521,-3.581,7.594,-1.037
DET,-10.11,J.Goff,0.671,-0.237,-12.428,-7.931,1.371,-3.961,10.519,0.358
JAX,-11.24,T.Lawrence,0.638,-0.068,-14.876,-8.05,-0.135,-3.925,11.039,0.035
