Side,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense
Category,1st_Down,3rd_Down,Overall,Pass,Pass_BehindLoS,Pass_Deep,Pass_Intermediate,Pass_Short,Pressured,Quick_Game_Proxy,Redzone,Run,Target_RB,Target_TE,Target_WR,Vs_Man,Vs_Zone,1st_Down,3rd_Down,Overall,Pass,Pass_BehindLoS,Pass_Deep,Pass_Intermediate,Pass_Short,Pressured,Quick_Game_Proxy,Redzone,Run,Scramble,Target_RB,Target_TE,Target_WR,Vs_Man,Vs_Zone
Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARI,37.5,15.625,18.75,15.625,15.625,56.25,18.75,6.25,6.25,3.125,43.75,40.625,15.625,6.25,43.75,12.5,18.75,65.625,28.125,56.25,50.0,87.5,90.0,37.5,18.75,62.5,50.0,37.5,62.5,,59.375,75.0,56.25,18.75,53.125
ATL,50.0,62.5,40.625,37.5,31.25,28.125,71.875,56.25,81.25,37.5,56.25,28.125,65.625,90.625,21.875,43.75,71.875,34.375,87.5,62.5,68.75,3.125,53.333333333333336,59.375,78.125,96.875,46.875,21.875,40.625,,34.375,56.25,75.0,46.875,71.875
BAL,78.125,68.75,84.375,87.5,90.625,81.25,34.375,84.375,90.625,84.375,84.375,43.75,71.875,59.375,90.625,100.0,28.125,87.5,78.125,96.875,87.5,100.0,56.66666666666667,40.625,81.25,68.75,93.75,96.875,96.875,,96.875,90.625,37.5,53.125,90.625
BUF,93.75,71.875,78.125,81.25,68.75,100.0,84.375,75.0,87.5,78.125,34.375,37.5,40.625,53.125,93.75,62.5,90.625,53.125,25.0,34.375,18.75,21.875,6.666666666666667,53.125,28.125,37.5,18.75,53.125,75.0,80.0,31.25,34.375,28.125,43.75,21.875
CAR,28.125,40.625,25.0,56.25,18.75,18.75,65.625,68.75,62.5,34.375,9.375,3.125,53.125,9.375,62.5,37.5,40.625,62.5,9.375,18.75,12.5,96.875,3.3333333333333335,15.625,31.25,25.0,100.0,25.0,68.75,,100.0,28.125,6.25,68.75,6.25
CHI,96.875,96.875,96.875,93.75,75.0,90.625,90.625,93.75,96.875,81.25,90.625,90.625,81.25,65.625,96.875,90.625,93.75,40.625,37.5,21.875,34.375,25.0,40.0,28.125,43.75,75.0,21.875,46.875,21.875,,37.5,25.0,43.75,21.875,28.125
CIN,12.5,12.5,3.125,9.375,9.375,3.125,28.125,50.0,18.75,28.125,46.875,6.25,6.25,21.875,12.5,40.625,3.125,18.75,15.625,12.5,6.25,15.625,23.333333333333336,18.75,6.25,12.5,9.375,6.25,31.25,,18.75,46.875,9.375,6.25,12.5
CLE,9.375,53.125,31.25,43.75,56.25,87.5,78.125,12.5,28.125,53.125,6.25,12.5,18.75,40.625,53.125,59.375,43.75,81.25,31.25,50.0,37.5,31.25,43.333333333333336,25.0,56.25,53.125,37.5,12.5,59.375,,65.625,53.125,40.625,25.0,56.25
DAL,3.125,87.5,43.75,40.625,12.5,59.375,75.0,31.25,50.0,15.625,78.125,50.0,50.0,75.0,28.125,34.375,37.5,56.25,84.375,90.625,81.25,56.25,73.33333333333334,71.875,53.125,46.875,31.25,40.625,87.5,,53.125,68.75,84.375,59.375,81.25
DEN,62.5,81.25,68.75,68.75,71.875,43.75,68.75,59.375,71.875,62.5,96.875,62.5,78.125,46.875,65.625,81.25,59.375,75.0,6.25,28.125,31.25,9.375,60.0,56.25,34.375,50.0,12.5,34.375,37.5,,46.875,43.75,21.875,15.625,46.875
DET,21.875,31.25,28.125,18.75,21.875,65.625,53.125,25.0,84.375,9.375,59.375,53.125,21.875,18.75,18.75,15.625,65.625,9.375,68.75,37.5,53.125,59.375,76.66666666666667,75.0,15.625,59.375,28.125,28.125,12.5,,25.0,21.875,78.125,28.125,62.5
GB,53.125,93.75,65.625,78.125,78.125,75.0,96.875,43.75,100.0,68.75,65.625,18.75,93.75,43.75,81.25,75.0,84.375,78.125,62.5,81.25,59.375,84.375,66.66666666666667,50.0,65.625,56.25,81.25,93.75,90.625,,68.75,59.375,68.75,71.875,68.75
HOU,81.25,6.25,37.5,31.25,34.375,84.375,25.0,9.375,25.0,40.625,3.125,56.25,25.0,15.625,46.875,53.125,15.625,31.25,90.625,71.875,71.875,68.75,63.333333333333336,96.875,71.875,78.125,65.625,90.625,71.875,20.0,43.75,93.75,65.625,87.5,75.0
IND,75.0,37.5,56.25,46.875,81.25,37.5,3.125,90.625,31.25,87.5,68.75,71.875,84.375,50.0,31.25,56.25,62.5,28.125,75.0,40.625,28.125,18.75,16.666666666666668,6.25,90.625,9.375,90.625,68.75,81.25,,12.5,12.5,53.125,31.25,25.0
JAX,25.0,25.0,21.875,28.125,6.25,31.25,50.0,40.625,53.125,12.5,71.875,9.375,9.375,28.125,50.0,28.125,31.25,21.875,12.5,15.625,9.375,34.375,83.33333333333334,9.375,21.875,93.75,25.0,9.375,43.75,40.0,40.625,3.125,15.625,12.5,15.625
KC,31.25,65.625,53.125,65.625,40.625,71.875,100.0,15.625,75.0,18.75,75.0,21.875,31.25,78.125,75.0,71.875,56.25,100.0,100.0,100.0,100.0,81.25,100.0,31.25,100.0,100.0,87.5,100.0,100.0,100.0,56.25,100.0,100.0,96.875,96.875
LA,84.375,75.0,71.875,59.375,53.125,96.875,21.875,62.5,40.625,56.25,15.625,78.125,56.25,25.0,71.875,21.875,87.5,50.0,71.875,75.0,93.75,50.0,46.66666666666667,81.25,62.5,21.875,40.625,75.0,25.0,,6.25,62.5,93.75,50.0,84.375
LAC,59.375,21.875,50.0,53.125,46.875,50.0,46.875,34.375,65.625,50.0,25.0,46.875,46.875,93.75,34.375,84.375,34.375,84.375,50.0,59.375,62.5,37.5,30.0,87.5,68.75,84.375,78.125,43.75,18.75,,84.375,65.625,50.0,78.125,43.75
LV,6.25,28.125,9.375,12.5,37.5,15.625,15.625,21.875,59.375,25.0,21.875,31.25,12.5,62.5,9.375,9.375,25.0,46.875,96.875,68.75,78.125,53.125,,100.0,75.0,87.5,56.25,59.375,28.125,,90.625,87.5,46.875,100.0,50.0
MIA,15.625,18.75,6.25,3.125,3.125,21.875,56.25,37.5,3.125,6.25,28.125,25.0,3.125,81.25,6.25,31.25,6.25,6.25,40.625,25.0,43.75,40.625,70.0,43.75,25.0,15.625,43.75,50.0,9.375,,9.375,15.625,81.25,62.5,34.375
MIN,68.75,90.625,87.5,90.625,93.75,34.375,81.25,81.25,68.75,100.0,100.0,59.375,87.5,100.0,78.125,68.75,81.25,15.625,93.75,65.625,75.0,90.625,86.66666666666667,90.625,46.875,81.25,62.5,56.25,46.875,,78.125,71.875,62.5,75.0,65.625
NE,90.625,100.0,90.625,100.0,62.5,78.125,93.75,100.0,46.875,65.625,62.5,68.75,34.375,34.375,100.0,96.875,78.125,68.75,43.75,53.125,46.875,71.875,36.66666666666667,65.625,12.5,40.625,34.375,31.25,65.625,,75.0,81.25,25.0,40.625,18.75
NO,87.5,59.375,75.0,62.5,96.875,25.0,59.375,46.875,37.5,75.0,18.75,93.75,59.375,71.875,59.375,65.625,75.0,96.875,56.25,93.75,96.875,62.5,26.666666666666668,78.125,93.75,43.75,71.875,71.875,78.125,,50.0,96.875,96.875,90.625,78.125
NYG,34.375,9.375,15.625,6.25,25.0,12.5,12.5,18.75,12.5,46.875,31.25,75.0,28.125,12.5,3.125,25.0,12.5,37.5,18.75,31.25,25.0,12.5,96.66666666666667,12.5,40.625,18.75,15.625,62.5,50.0,,28.125,31.25,34.375,34.375,40.625
NYJ,40.625,34.375,34.375,25.0,59.375,40.625,6.25,28.125,9.375,59.375,40.625,65.625,68.75,56.25,15.625,3.125,46.875,25.0,21.875,9.375,21.875,28.125,10.0,46.875,50.0,3.125,84.375,18.75,6.25,,3.125,84.375,31.25,9.375,59.375
PHI,18.75,46.875,46.875,34.375,50.0,68.75,9.375,65.625,21.875,43.75,50.0,84.375,62.5,68.75,25.0,87.5,9.375,71.875,65.625,46.875,40.625,78.125,33.333333333333336,34.375,59.375,71.875,68.75,81.25,53.125,,81.25,40.625,12.5,56.25,37.5
