Rank,Team,Rating,Rating_Last,Rank_Last,Change,QB used
1,SF,4.99,2.83,5,-4,Purdy
2,SEA,4.84,5.13,1,1,Nix
3,JAC,4.58,2.48,8,-5,Lawrence
4,BAL,4.18,2.59,7,-3,Jackson
5,BUF,3.45,2.76,6,-1,Allen
6,GB,2.78,3.3,3,3,Love
7,DET,2.61,2.87,4,3,Goff
8,LAR,1.86,4.08,2,6,Stafford
9,KC,1.68,1.47,13,-4,Mahomes
10,CHI,1.39,-0.49,17,-7,Williams
11,NE,1.31,1.57,12,-1,Maye
12,PHI,1.25,2.38,9,3,Hurts
13,DEN,1.09,2.34,10,3,Nix
14,HOU,1.08,1.85,11,3,Stroud
15,MIN,0.85,0.28,15,0,Murray
16,TB,-0.38,-0.64,19,-3,Mayfield
17,ATL,-0.42,-0.55,18,-1,Rush
18,WAS,-0.75,-1.3,23,-5,Daniels
19,IND,-0.91,0.65,14,5,Jones
20,CIN,-1.2,-1.19,22,-2,Burrow
21,PIT,-1.24,-0.84,20,1,Rodgers
22,ARI,-1.32,-2.42,25,-3,Brissett
23,NO,-1.37,-1.72,24,-1,Shough
24,NYG,-1.78,-3.58,30,-6,Dart
25,LAC,-1.8,-0.37,16,9,Herbert
26,DAL,-2.23,-1.13,21,5,Prescott
27,LV,-2.84,-3.16,27,0,Cousins
28,NYJ,-3.29,-5.11,32,-4,Smith
29,MIA,-3.33,-3.54,29,0,Willis
30,CAR,-3.38,-2.7,26,4,Young
31,CLE,-5.26,-3.27,28,3,Watson
32,TEN,-5.67,-4.46,31,1,Ward
