Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game,Rank,MP_Rating,Rating_Last,Rank_Last,Change,QB used,Diff,Abs_Diff
BAL,9.478,L.Jackson,0.99,0.045,11.769,7.349,0.792,10.189,-2.453,-1.12,5,4.35,3.3,9,4,Jackson,5.128,5.128
DET,7.205,J.Goff,1.0,0.0,8.181,6.141,0.122,8.547,1.622,1.051,8,3.74,4.04,7,-1,Goff,3.465,3.465
PHI,6.248,J.Hurts,0.855,0.239,10.123,3.132,0.05,5.708,-4.663,-0.262,3,5.49,4.41,4,1,Hurts,0.758,0.758
BUF,4.873,J.Allen,0.947,0.302,7.367,2.826,0.444,8.881,1.497,-0.089,4,4.98,5.09,3,-1,Allen,-0.1070000000000002,0.1070000000000002
WAS,4.089,J.Daniels,0.783,0.896,4.902,3.297,0.283,6.427,2.273,0.647,24,-2.85,-3.58,24,0,Mariota,6.939,6.939
KC,4.023,P.Mahomes,0.94,0.343,5.544,2.721,1.202,4.469,0.319,0.784,18,-0.19,4.31,6,-12,Minshew,4.213,4.213
GB,2.715,J.Love,0.869,0.694,4.263,1.46,0.424,4.852,0.017,-1.434,9,3.57,4.02,8,-1,Love,-0.855,0.855
TB,2.685,B.Mayfield,1.0,-0.0,3.646,1.856,-0.652,6.101,2.127,0.475,22,-1.55,-1.43,22,0,Mayfield,4.235,4.235
MIN,2.523,S.Darnold,0.86,-0.094,4.06,1.285,-0.692,1.7,-2.927,0.56,17,-0.1,-1.03,19,2,McCarthy,2.623,2.623
DEN,2.427,B.Nix,0.858,0.262,2.827,2.017,-0.146,1.318,-1.237,0.499,10,3.43,3.24,10,0,Nix,-1.0030000000000001,1.0030000000000001
LA,1.394,M.Stafford,0.926,0.056,1.274,1.412,1.036,1.562,0.586,-0.729,2,9.47,9.27,2,0,Stafford,-8.076,8.076
LAC,1.217,J.Herbert,0.959,0.189,3.441,-0.453,-0.807,1.375,-2.405,0.322,15,0.79,-0.33,17,2,Herbert,0.42700000000000005,0.42700000000000005
CIN,1.15,J.Burrow,0.926,0.033,1.344,0.952,-0.31,5.174,3.385,-0.209,23,-2.52,-1.28,21,-2,Burrow,3.67,3.67
HOU,0.824,C.Stroud,0.925,0.292,1.561,0.249,-0.66,-1.543,-3.585,-0.075,11,2.43,2.15,12,1,Stroud,-1.6060000000000003,1.6060000000000003
PIT,0.391,R.Wilson,0.624,0.119,1.951,-0.758,1.302,-1.273,0.114,2.133,12,1.6,0.98,13,1,Rodgers,-1.209,1.209
SF,0.085,J.Dobbs,0.063,-4.631,-2.451,1.918,1.034,1.185,1.364,-3.039,6,3.99,4.4,5,-1,Purdy,-3.9050000000000002,3.9050000000000002
SEA,-0.535,G.Smith,0.979,0.052,-1.466,0.166,0.267,-0.4,1.084,-0.264,1,9.53,9.76,1,0,Darnold,-10.065,10.065
ARI,-0.631,K.Murray,0.932,0.206,-0.415,-0.757,0.085,3.092,3.309,-0.142,26,-5.03,-4.87,27,1,Brissett,4.399,4.399
NYJ,-1.357,A.Rodgers,0.848,0.761,-2.1,-0.752,-0.591,-0.737,0.838,-0.022,27,-5.51,-4.83,26,-1,Cook,4.153,4.153
DAL,-1.457,T.Lance,0.064,-0.894,-2.745,-0.453,1.234,-2.215,2.837,1.186,19,-0.41,-0.03,15,-4,Prescott,-1.0470000000000002,1.0470000000000002
MIA,-1.56,T.Huntley,0.253,-2.559,-3.781,0.126,-1.658,-2.839,-0.417,0.08,20,-1.2,-0.46,18,-2,Tagovailoa,-0.3600000000000001,0.3600000000000001
ATL,-1.641,M.Penix,0.19,1.311,-2.541,-0.907,-1.072,4.502,4.026,-2.11,21,-1.47,-1.59,23,2,Cousins,-0.17100000000000004,0.17100000000000004
IND,-3.682,J.Flacco,0.357,-0.314,-5.462,-2.21,-1.882,-2.314,0.828,-0.634,16,0.76,-1.09,20,4,Rivers,-4.442,4.442
LV,-4.23,A.O'Connell,0.443,0.007,-6.733,-2.208,0.359,-6.263,0.916,0.169,32,-7.86,-6.61,30,-2,Smith,3.63,3.63
NE,-4.325,J.Milton,0.066,0.436,-6.418,-2.594,-0.336,-2.911,4.303,0.88,14,0.97,0.82,14,0,Maye,-5.295,5.295
JAX,-4.542,M.Jones,0.464,-0.392,-6.739,-2.726,-1.696,-1.443,4.78,0.839,7,3.82,2.83,11,4,Lawrence,-8.362,8.362
CHI,-4.838,C.Williams,0.851,0.0,-5.913,-3.82,0.67,-4.7,2.167,0.322,13,1.34,-0.14,16,3,Williams,-6.178,6.178
NO,-5.495,S.Rattler,0.386,-2.991,-8.627,-2.954,-1.031,-4.26,4.262,0.835,29,-6.16,-6.61,31,2,Shough,0.665,0.665
NYG,-6.217,D.Lock,0.302,-0.447,-7.477,-4.996,0.851,-5.694,3.523,0.587,28,-5.66,-5.51,28,0,Dart,-0.5569999999999995,0.5569999999999995
TEN,-6.755,M.Rudolph,0.368,1.615,-7.399,-5.955,-0.608,-3.611,2.311,-1.201,31,-7.65,-8.41,32,1,Ward,0.8950000000000005,0.8950000000000005
CLE,-7.304,B.Zappe,0.064,-2.294,-10.91,-4.331,1.65,-12.263,0.538,-0.059,30,-7.17,-6.02,29,-1,Sanders,-0.13400000000000034,0.13400000000000034
CAR,-8.125,B.Young,0.781,-0.388,-9.711,-6.573,-0.397,-0.934,8.459,-0.117,25,-4.91,-4.78,25,0,Young,-3.215,3.215
